generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 30.98, 31.45, 31.215, 31.215, 0.23499999999999943,0.95,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 2, 30.26, 31.45, 30.855, 30.855, 0.5949999999999989,0.09999999999999998,0.0,[1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
2, 2, 31.1, 31.45, 31.275, 31.275, 0.17499999999999893,0.19999999999999996,0.0,[1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300]
3, 2, 31.19, 31.45, 31.32, 31.32, 0.129999999999999,0.6333333333333333,0.0,[1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300]
4, 3, 30.8, 31.45, 31.07, 31.106666666666666, 0.26662499674428236,0.5416666666666667,0.0,[1. 1. 1. 1. 1. 1. 1. 1.]
5, 4, 30.54, 31.45, 31.015, 31.005000000000003, 0.43084219849035277,0.5,0.0,[1. 1. 1. 1. 1. 2. 4. 1.]
6, 5, 30.46, 31.45, 31.02, 30.956, 0.33826616738893606,0.44666666666666666,0.0,[1. 1. 1. 1. 1. 6. 4. 1.]
7, 6, 30.96, 31.45, 31.22, 31.185000000000002, 0.17202228537798986,0.5976190476190477,0.0,[ 1.  1.  1.  1.  1. 11.  5.  1.]
8, 7, 30.24, 31.66, 31.45, 31.108571428571427, 0.5761058576196513,0.2466666666666667,0.00667726550079494,[ 1.  1.  1.  1.  1. 12. 10.  1.]
9, 6, 30.9, 31.95, 31.384999999999998, 31.375000000000004, 0.37633097135367455,0.22999999999999998,0.009159823120656954,[ 1.  1.  1.  1.  1. 13. 15.  1.]
10, 5, 31.15, 31.95, 31.44, 31.492, 0.2587199257884865,0.19999999999999996,0.0,[ 1.  1.  1.  1.  1. 13. 19.  1.]
11, 5, 30.66, 31.95, 31.54, 31.45, 0.44698993277253996,0.21999999999999997,0.0,[ 1.  1.  1.  1.  1. 14. 22.  1.]
12, 5, 30.78, 31.95, 31.4, 31.365999999999996, 0.4415699265122114,0.44999999999999996,0.0,[ 1.  1.  1.  2.  1. 15. 24.  1.]
13, 6, 31.33, 31.97, 31.8, 31.711666666666662, 0.25938495630154695,0.18499999999999994,0.0006259780907668099,[ 1.  1.  1.  8.  1. 15. 24.  1.]
14, 5, 30.61, 32.34, 31.73, 31.656, 0.5773595067200341,0.15000000000000002,0.011573350015639805,[ 1.  1.  1. 12.  1. 15. 24.  1.]
15, 4, 30.74, 32.34, 31.32, 31.43, 0.583566620018659,0.20833333333333337,0.0,[ 1.  1.  1. 16.  1. 15. 24.  1.]
16, 4, 31.1, 32.34, 31.585, 31.652500000000003, 0.5438462558481035,0.19166666666666654,0.0,[ 1.  1.  1. 16.  1. 19. 24.  1.]
17, 4, 31.36, 32.34, 31.9, 31.875000000000004, 0.34917760523836705,0.475,0.0,[ 1.  1.  1. 16.  1. 23. 24.  1.]
18, 5, 30.32, 32.34, 31.21, 31.338, 0.6552984053086052,0.43333333333333335,0.0,[ 1.  1.  1. 17.  1. 26. 24.  1.]
19, 6, 30.92, 32.34, 31.555, 31.58833333333334, 0.4472663884333617,0.430952380952381,0.0,[ 1.  1.  1. 19.  1. 28. 26.  1.]
20, 7, 30.33, 32.34, 31.07, 31.209999999999997, 0.6847523014095798,0.39642857142857146,0.0,[ 1.  1.  1. 19.  1. 28. 32.  1.]
21, 8, 30.6, 32.34, 31.27, 31.29625, 0.5621596192363877,0.36111111111111116,0.0,[ 1.  1.  1. 19.  1. 28. 40.  1.]
22, 9, 30.48, 32.34, 31.4, 31.494444444444444, 0.505615381075623,0.41555555555555546,0.0,[ 1.  1.  1. 19.  1. 28. 48.  1.]
23, 10, 30.8, 32.34, 31.36, 31.432, 0.5009550878072813,0.35090909090909095,0.0,[ 1.  1.  1. 26.  1. 30. 49.  1.]
24, 11, 30.38, 32.34, 31.3, 31.36636363636364, 0.5197424664244397,0.3075757575757575,0.0,[ 1.  1.  1. 36.  1. 30. 49.  1.]
25, 12, 30.39, 32.34, 31.28, 31.203333333333333, 0.6061536292246564,0.34935897435897434,0.0,[ 1.  1.  1. 48.  1. 30. 49.  1.]
