generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 112.19, 112.83, 112.50999999999999, 112.50999999999999, 0.3200000000000003,0.9,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 2, 111.76, 112.83, 112.295, 112.295, 0.5349999999999966,0.4,0.0,[1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
2, 2, 111.21, 112.83, 112.02, 112.02, 0.8100000000000023,0.19999999999999996,0.0,[1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300]
3, 2, 112.83, 125.15, 118.99000000000001, 118.99000000000001, 6.160000000000004,0.30000000000000004,0.1091908180448463,[1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300]
4, 2, 124.37, 125.15, 124.76, 124.76, 0.39000000000000057,0.19999999999999996,0.0,[1. 1. 1. 1. 1. 1. 1. 1.]
5, 2, 120.93, 125.15, 123.04, 123.04, 2.1099999999999994,0.19999999999999996,0.0,[1. 1. 1. 1. 1. 3. 1. 1.]
6, 2, 118.23, 125.15, 121.69, 121.69, 3.460000000000001,0.7333333333333334,0.0,[1. 1. 1. 1. 1. 5. 1. 1.]
7, 3, 120.1, 135.04, 125.15, 126.76333333333332, 6.204999776166169,0.19999999999999996,0.0790251697962444,[1. 1. 1. 1. 1. 7. 1. 1.]
8, 2, 133.29, 135.04, 134.165, 134.165, 0.875,0.19999999999999996,0.0,[1. 1. 1. 1. 1. 9. 1. 1.]
9, 2, 134.0, 135.04, 134.51999999999998, 134.51999999999998, 0.519999999999996,0.19999999999999996,0.0,[ 1.  1.  1.  1.  1. 11.  1.  1.]
10, 2, 128.45, 135.04, 131.745, 131.745, 3.2950000000000017,0.6333333333333333,0.0,[ 1.  1.  1.  1.  1. 13.  1.  1.]
11, 3, 120.81, 141.62, 135.04, 132.48999999999998, 8.684887256992267,0.30000000000000004,0.04872630331753564,[ 1.  1.  1.  1.  1. 15.  1.  1.]
12, 2, 141.62, 146.74, 144.18, 144.18, 2.5600000000000023,0.4,0.03615308572235563,[ 1.  1.  1.  1.  1. 17.  1.  1.]
13, 2, 142.6, 146.74, 144.67000000000002, 144.67000000000002, 2.0700000000000074,0.19999999999999996,0.0,[ 1.  1.  1.  1.  1. 19.  1.  1.]
14, 2, 138.99, 146.74, 142.865, 142.865, 3.875,0.09999999999999998,0.0,[ 1.  1.  1.  1.  1. 21.  1.  1.]
15, 2, 138.67, 146.74, 142.70499999999998, 142.70499999999998, 4.035000000000011,0.7,0.0,[ 1.  1.  1.  1.  1. 23.  1.  1.]
16, 3, 133.4, 148.38, 146.74, 142.84, 6.708581568906101,0.30000000000000004,0.011176230066784696,[ 1.  1.  1.  1.  1. 25.  1.  1.]
17, 2, 145.4, 148.38, 146.89, 146.89, 1.4899999999999947,0.19999999999999996,0.0,[ 1.  1.  1.  1.  1. 27.  1.  1.]
18, 2, 146.98, 148.38, 147.68, 147.68, 0.7000000000000028,0.19999999999999996,0.0,[ 1.  1.  1.  1.  1. 29.  1.  1.]
19, 2, 138.86, 148.38, 143.62, 143.62, 4.759999999999991,0.6666666666666667,0.0,[ 1.  1.  1.  1.  1. 31.  1.  1.]
20, 3, 134.15, 148.38, 136.19, 139.57333333333335, 6.282697580569102,0.6499999999999999,0.0,[ 1.  1.  1.  1.  1. 33.  1.  1.]
21, 4, 140.49, 148.38, 144.035, 144.235, 2.828166367100771,0.5399999999999999,0.0,[ 1.  1.  1.  1.  1. 37.  1.  1.]
22, 5, 139.54, 159.79, 145.43, 147.62399999999997, 6.719204119536776,0.23333333333333328,0.07689715595093677,[ 1.  1.  1.  1.  1. 41.  1.  1.]
23, 4, 137.25, 159.79, 143.715, 146.1175, 8.336244283248899,0.3666666666666667,0.0,[ 2.  1.  1.  1.  1. 44.  1.  1.]
24, 4, 139.72, 159.79, 145.385, 147.57000000000002, 7.547082217652061,0.35,0.0,[ 2.  5.  1.  1.  1. 44.  1.  1.]
25, 4, 140.43, 159.79, 143.485, 146.7975, 7.612579638335479,0.58,0.0,[ 2.  9.  1.  1.  1. 44.  1.  1.]
26, 5, 127.2, 159.79, 144.46, 144.01600000000002, 12.214834587500558,0.56,0.0,[ 2. 12.  1.  1.  1. 45.  1.  1.]
27, 6, 137.79, 159.79, 144.285, 147.48166666666665, 8.343828890596665,0.5142857142857142,0.0,[ 2. 12.  2.  2.  2. 47.  2.  1.]
28, 7, 132.42, 159.79, 153.8, 150.75142857142856, 8.869935462112501,0.5,0.0,[ 2. 12.  2.  2.  2. 47.  8.  1.]
29, 8, 140.43, 159.79, 147.525, 147.695, 5.791029701184405,0.48611111111111116,0.0,[ 2. 12.  2.  2.  2. 47. 16.  1.]
30, 9, 134.67, 159.79, 144.53, 145.38666666666666, 7.102353287623912,0.5488888888888889,0.0,[ 2. 12.  2.  2.  2. 47. 24.  1.]
31, 10, 141.57, 159.79, 150.93, 150.499, 4.8255060874482405,0.3927272727272727,0.0,[ 2. 12.  2.  2.  2. 47. 34.  1.]
32, 11, 137.75, 160.57, 150.88, 150.1718181818182, 7.283567829750643,0.2666666666666666,0.004881406846486021,[ 2. 12.  2.  2.  2. 47. 44.  1.]
33, 10, 137.95, 160.57, 149.18, 149.695, 6.174791089583517,0.3977777777777778,0.0,[ 2. 12.  2.  2.  2. 47. 54.  1.]
34, 10, 142.18, 160.57, 154.3, 153.39100000000002, 5.39164622355733,0.38888888888888884,0.0,[ 2. 12.  2.  2.  2. 47. 64.  1.]
35, 10, 148.48, 160.57, 151.73, 152.767, 3.4594538586314476,0.47090909090909083,0.0,[ 2. 12.  2.  2.  2. 47. 74.  1.]
36, 11, 141.55, 160.57, 146.5, 149.08272727272725, 6.373959937845246,0.43181818181818177,0.0,[ 2. 12.  2.  2.  2. 47. 84.  1.]
37, 12, 133.23, 160.57, 148.49, 149.39666666666668, 7.76434729316566,0.43974358974358974,0.0,[ 2. 12.  2.  2.  2. 47. 96.  1.]
38, 13, 141.09, 160.57, 152.39, 151.83384615384614, 5.6636187649587475,0.4307692307692309,0.0,[  2.  12.   2.   2.   2.  47. 108.   1.]
39, 14, 143.25, 163.86, 154.825, 154.53571428571428, 6.158340122242723,0.40512820512820524,0.020489506134396342,[  2.  12.   2.   2.   2.  47. 122.   1.]
40, 13, 141.02, 163.86, 154.35, 154.11692307692306, 6.335223127168129,0.3717948717948717,0.0,[  2.  12.   2.   2.   2.  47. 134.   1.]
41, 13, 142.93, 163.86, 151.33, 151.01461538461538, 5.370144841743263,0.37948717948717947,0.0,[  2.  15.   2.   2.   2.  47. 142.   2.]
42, 13, 148.07, 163.86, 154.5, 154.66, 4.0206065367151975,0.4032967032967033,0.0,[  2.  15.   2.   2.   2.  47. 142.  14.]
43, 14, 144.62, 163.86, 149.095, 151.16428571428568, 4.938784862531204,0.4638095238095239,0.0,[  2.  15.   2.   2.   2.  47. 146.  24.]
44, 15, 123.73, 163.86, 149.82, 148.648, 10.85745716086414,0.4866666666666667,0.0,[  9.  15.   2.   2.   2.  47. 153.  24.]
45, 16, 133.74, 163.86, 145.37, 146.3675, 6.796004800616315,0.513235294117647,0.0,[ 15.  15.   6.   5.   5.  47. 153.  24.]
46, 17, 127.92, 163.86, 147.83, 146.93823529411767, 9.756030554479155,0.42614379084967324,0.0,[ 15.  15.   9.   9.  14.  47. 153.  24.]
47, 18, 135.71, 163.86, 145.98, 147.51611111111112, 6.671342642551124,0.40584795321637435,0.0,[ 15.  15.  11.  11.  28.  47. 153.  24.]
48, 19, 129.52, 163.86, 141.0, 142.63526315789474, 8.603606568374657,0.4542105263157895,0.0,[ 18.  18.  17.  17.  28.  47. 153.  24.]
49, 20, 131.72, 163.86, 142.22500000000002, 143.71650000000002, 8.349822917283937,0.5033333333333332,0.0,[ 22.  22.  22.  24.  28.  47. 153.  24.]
50, 21, 125.86, 163.86, 142.99, 143.13857142857145, 9.558563493246346,0.5454545454545454,0.0,[ 30.  22.  22.  36.  28.  47. 153.  24.]
