generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 42.06, 42.12, 42.09, 42.09, 0.029999999999997584,1.0,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 2, 42.0, 42.12, 42.06, 42.06, 0.05999999999999872,0.125,0.0,[1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
2, 2, 41.99, 42.12, 42.055, 42.055, 0.06499999999999773,0.07499999999999996,0.0,[1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300]
3, 2, 42.03, 42.12, 42.075, 42.075, 0.04499999999999815,0.6166666666666667,0.0,[1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300]
4, 3, 41.9, 42.12, 41.95, 41.99, 0.09416297927883577,0.5208333333333333,0.0,[1. 1. 1. 1. 1. 1. 1. 1.]
5, 4, 42.03, 42.26, 42.11, 42.1275, 0.08347903928531882,0.06666666666666676,0.0033238366571700043,[2. 1. 1. 2. 1. 2. 1. 2.]
6, 3, 42.1, 42.26, 42.25, 42.203333333333326, 0.07318166133366598,0.08333333333333337,0.0,[2. 1. 1. 2. 1. 3. 1. 3.]
7, 3, 41.96, 42.26, 41.98, 42.06666666666666, 0.13695092389449373,0.09999999999999998,0.0,[3. 1. 1. 2. 1. 4. 1. 3.]
8, 3, 41.98, 42.26, 42.02, 42.086666666666666, 0.1236482466066088,0.5,0.0,[4. 1. 1. 2. 1. 4. 1. 4.]
9, 4, 41.8, 42.26, 42.215, 42.1225, 0.18739997331910233,0.4275,0.0,[4. 1. 1. 2. 1. 6. 1. 6.]
10, 5, 41.97, 42.26, 42.04, 42.087999999999994, 0.10684568311354417,0.38,0.0,[6. 1. 1. 2. 1. 7. 1. 7.]
11, 6, 41.79, 42.26, 41.99, 41.99666666666666, 0.1423220136013945,0.3511904761904763,0.0,[11.  1.  1.  2.  1.  8.  1.  7.]
12, 7, 41.92, 42.26, 42.06, 42.06142857142857, 0.10273802626494305,0.3098214285714286,0.0,[11.  1.  1.  2.  1. 11.  1. 10.]
13, 8, 41.95, 42.26, 42.105000000000004, 42.1, 0.10805091392487085,0.54375,0.0,[15.  1.  1.  2.  1. 11.  1. 14.]
14, 9, 41.85, 42.26, 42.05, 42.04333333333333, 0.12578641509408728,0.35111111111111115,0.0,[18.  1.  1.  2.  1. 13.  1. 17.]
15, 10, 41.77, 42.34, 42.03, 42.041999999999994, 0.1802109874563703,0.4208333333333333,0.001893043066729896,[18.  1.  1.  2.  1. 22.  1. 18.]
16, 9, 41.78, 42.34, 42.13, 42.10555555555555, 0.14361299160599902,0.4388888888888888,0.0,[21.  1.  1.  2.  1. 27.  1. 18.]
17, 9, 41.98, 42.42, 42.18, 42.20333333333334, 0.1513641671965702,0.10357142857142843,0.0018894662257911735,[29.  1.  1.  2.  1. 27.  1. 18.]
18, 8, 41.98, 42.42, 42.125, 42.16, 0.13095800853708917,0.1428571428571428,0.0,[31.  1.  1.  2.  1. 31.  1. 20.]
19, 8, 41.88, 42.42, 42.06, 42.05500000000001, 0.1589024858207071,0.12142857142857144,0.0,[32.  1.  1.  3.  1. 33.  1. 24.]
20, 8, 41.96, 42.42, 42.129999999999995, 42.1475, 0.1294942083646987,0.2812499999999999,0.0,[32.  1.  1.  3.  1. 41.  1. 24.]
21, 9, 41.81, 42.42, 42.11, 42.168888888888894, 0.19087194336892988,0.288888888888889,0.0,[32.  1.  1.  3.  1. 49.  1. 24.]
22, 10, 41.93, 42.42, 42.16, 42.18300000000001, 0.15582361823549107,0.27954545454545443,0.0,[32.  1.  1.  3.  1. 58.  1. 25.]
23, 11, 41.83, 42.42, 41.99, 42.03272727272727, 0.16954971966363372,0.27121212121212135,0.0,[32.  1.  1.  3.  1. 59.  1. 34.]
24, 12, 41.96, 42.42, 42.165, 42.1575, 0.12028611723719457,0.27403846153846156,0.0,[33.  1.  1.  3.  1. 69.  1. 35.]
25, 13, 41.85, 42.42, 42.11, 42.09846153846154, 0.15668911669270744,0.22280219780219768,0.0,[35.  1.  1.  8.  1. 71.  1. 38.]
26, 14, 41.8, 42.42, 42.1, 42.1, 0.18154102251872148,0.5342857142857143,0.0,[37.  1.  1. 18.  1. 72.  1. 39.]
27, 15, 41.56, 42.42, 42.05, 42.02266666666666, 0.22625845595002358,0.5808333333333333,0.0,[42.  1.  1. 19.  1. 77.  1. 42.]
28, 16, 41.87, 42.42, 42.06, 42.10125, 0.1439997829859481,0.3920955882352941,0.0,[43.  2.  2. 20. 13. 77.  1. 42.]
