generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 461.23, 465.96, 463.595, 463.595, 2.3649999999999807,0.86,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 2, 465.96, 468.33, 467.145, 467.145, 1.1850000000000023,0.040000000000000036,0.005086273499871244,[1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
2, 2, 460.91, 468.33, 464.62, 464.62, 3.7099999999999795,0.06000000000000005,0.0,[1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300]
3, 2, 463.67, 468.33, 466.0, 466.0, 2.329999999999984,0.07999999999999996,0.0,[1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300]
4, 2, 460.75, 468.33, 464.53999999999996, 464.53999999999996, 3.789999999999992,0.6266666666666667,0.0,[1. 1. 1. 1. 1. 1. 1. 1.]
5, 3, 458.74, 468.33, 460.61, 462.56, 4.1508151809815095,0.4966666666666666,0.0,[1. 1. 1. 2. 1. 1. 2. 1.]
6, 4, 460.01, 468.33, 464.79499999999996, 464.4825, 3.153405896804274,0.41800000000000004,0.0,[2. 2. 2. 2. 1. 1. 3. 1.]
7, 5, 458.55, 468.33, 462.2, 462.68199999999996, 3.440973118174555,0.3693333333333332,0.0,[2. 2. 2. 4. 2. 2. 3. 1.]
8, 6, 462.07, 469.64, 463.315, 464.8333333333334, 3.0370087622893367,0.09800000000000009,0.002797172933615191,[2. 2. 2. 5. 2. 2. 6. 3.]
9, 5, 462.07, 471.02, 466.09, 466.96000000000004, 3.1399171963604346,0.09000000000000008,0.0029384209181500627,[2. 2. 2. 6. 2. 2. 8. 4.]
10, 4, 462.88, 471.02, 467.595, 467.27250000000004, 3.150629897337994,0.08999999999999997,0.0,[ 2.  2.  2.  7.  2.  2. 11.  4.]
11, 4, 458.89, 471.02, 466.79499999999996, 465.875, 4.518475959878506,0.07999999999999996,0.0,[ 2.  2.  2. 11.  2.  2. 11.  4.]
12, 4, 466.29, 471.1, 470.065, 469.38, 1.9537783907086215,0.07333333333333336,0.000169844167975969,[ 2.  2.  2. 11.  2.  2. 15.  4.]
13, 3, 467.91, 471.1, 470.71, 469.9066666666667, 1.420805718206702,0.07333333333333336,0.0,[ 2.  2.  2. 11.  2.  2. 17.  4.]
14, 3, 468.97, 471.1, 470.77, 470.28000000000003, 0.9360555539069156,0.07333333333333336,0.0,[ 2.  2.  2. 11.  2.  2. 19.  4.]
15, 3, 468.23, 471.1, 468.9, 469.41, 1.225914624542299,0.4866666666666666,0.0,[ 2.  2.  2. 11.  2.  2. 21.  4.]
16, 4, 466.94, 473.43, 469.95000000000005, 470.0675, 2.4372256255833227,0.07333333333333336,0.004945871364890647,[ 2.  2.  2. 11.  2.  2. 25.  4.]
17, 3, 468.4, 473.43, 470.85, 470.89333333333326, 2.0537174965305245,0.07333333333333336,0.0,[ 2.  2.  2. 11.  2.  2. 27.  4.]
18, 3, 469.05, 476.82, 473.43, 473.09999999999997, 3.180660308803811,0.07999999999999996,0.007160509473417372,[ 2.  2.  2. 11.  2.  2. 29.  4.]
19, 2, 476.82, 479.56, 478.19, 478.19, 1.3700000000000045,0.07999999999999996,0.005746403254897045,[ 2.  2.  2. 12.  2.  2. 30.  4.]
20, 2, 480.5, 480.85, 480.675, 480.675, 0.17500000000001137,0.12,0.0026899658019851956,[ 2.  2.  2. 13.  2.  2. 31.  4.]
21, 2, 476.29, 480.85, 478.57000000000005, 478.57000000000005, 2.280000000000001,0.07999999999999996,0.0,[ 2.  2.  2. 13.  2.  2. 31.  6.]
22, 2, 480.85, 481.13, 480.99, 480.99, 0.13999999999998636,0.07999999999999996,0.0005823021732348398,[ 2.  2.  2. 13.  2.  2. 31.  8.]
23, 2, 479.06, 481.13, 480.095, 480.095, 1.0349999999999966,0.07999999999999996,0.0,[ 2.  2.  2. 13.  2.  2. 31. 10.]
24, 2, 481.13, 483.67, 482.4, 482.4, 1.2700000000000102,0.07999999999999996,0.005279238459460064,[ 2.  2.  2. 13.  2.  2. 31. 12.]
25, 2, 480.14, 483.67, 481.905, 481.905, 1.7650000000000148,0.020000000000000018,0.0,[ 2.  2.  2. 13.  2.  2. 31. 14.]
26, 2, 479.68, 483.67, 481.675, 481.675, 1.9950000000000045,0.06000000000000005,0.0,[ 2.  2.  2. 13.  2.  2. 31. 16.]
27, 2, 479.05, 483.67, 481.36, 481.36, 2.3100000000000023,0.6066666666666667,0.0,[ 2.  2.  2. 13.  2.  2. 31. 18.]
28, 3, 479.92, 486.33, 483.67, 483.3066666666667, 2.629452837040847,0.06000000000000005,0.0054996175078048425,[ 2.  2.  2. 13.  2.  2. 31. 20.]
29, 2, 486.18, 486.33, 486.255, 486.255, 0.07499999999998863,0.020000000000000018,0.0,[ 2.  2.  2. 13.  2.  2. 31. 22.]
30, 2, 483.74, 486.33, 485.03499999999997, 485.03499999999997, 1.2949999999999875,0.06000000000000005,0.0,[ 2.  2.  2. 13.  2.  2. 31. 24.]
31, 2, 484.72, 486.33, 485.525, 485.525, 0.8049999999999784,0.6199999999999999,0.0,[ 2.  2.  2. 13.  2.  2. 31. 26.]
32, 3, 480.9, 486.33, 485.44, 484.22333333333336, 2.3778748682150863,0.4833333333333334,0.0,[ 2.  2.  2. 13.  2.  2. 33. 26.]
33, 4, 484.11, 490.26, 486.29999999999995, 486.74249999999995, 2.2190242788216565,0.07333333333333336,0.00808093270001852,[ 2.  2.  2. 13.  2.  2. 36. 27.]
34, 3, 482.92, 490.26, 483.14, 485.44, 3.4094378813327326,0.08000000000000007,0.0,[ 2.  2.  2. 14.  2.  2. 37. 27.]
35, 3, 478.46, 490.26, 482.44, 483.72, 4.901618780226253,0.07333333333333325,0.0,[ 2.  2.  2. 14.  2.  2. 39. 27.]
36, 3, 474.37, 490.26, 476.79, 480.47333333333336, 6.990385460680174,0.4866666666666667,0.0,[ 2.  2.  2. 14.  2.  2. 41. 27.]
37, 4, 480.37, 490.26, 482.21500000000003, 483.765, 3.824986928082233,0.42000000000000004,0.0,[ 2.  2.  2. 16.  2.  2. 43. 27.]
38, 5, 470.74, 490.26, 484.65, 482.1119999999999, 6.862032934925327,0.368,0.0,[ 2.  2.  2. 18.  2.  2. 45. 27.]
39, 6, 478.05, 490.26, 487.41499999999996, 485.4333333333334, 4.733774627316158,0.3276190476190477,0.0,[ 2.  2.  2. 18.  2.  2. 51. 27.]
40, 7, 475.32, 490.26, 482.94, 482.8914285714286, 5.3967779503049735,0.28,0.0,[ 2.  2.  2. 19.  2.  2. 54. 29.]
41, 8, 478.83, 490.26, 481.675, 482.31500000000005, 3.271161873096465,0.26888888888888884,0.0,[ 2.  2.  2. 19.  2.  2. 54. 37.]
42, 9, 479.4, 490.26, 482.71, 482.6777777777777, 3.165893862816202,0.2613333333333334,0.0,[ 2.  2.  2. 19.  2.  2. 54. 45.]
43, 10, 481.85, 490.26, 483.725, 485.04400000000004, 3.005928142853707,0.23563636363636364,0.0,[ 2.  2.  2. 20.  2.  2. 54. 54.]
44, 11, 476.51, 490.26, 483.1, 483.58363636363646, 3.8964395699553767,0.23424242424242403,0.0,[ 2.  2.  2. 20.  2.  2. 54. 64.]
