generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 245.63, 246.74, 246.185, 246.185, 0.5550000000000068,0.26,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 2, 246.74, 247.37, 247.055, 247.055, 0.3149999999999977,0.06000000000000005,0.0025532949663613336,[1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
2, 2, 247.37, 248.57, 247.97, 247.97, 0.5999999999999943,0.020000000000000018,0.004851032865747619,[1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300]
3, 2, 248.57, 250.01, 249.29, 249.29, 0.7199999999999989,0.07999999999999996,0.005793136742165176,[1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300]
4, 2, 248.47, 250.01, 249.24, 249.24, 0.769999999999996,0.040000000000000036,0.0,[1. 1. 1. 1. 1. 1. 1. 1.]
5, 2, 246.09, 250.01, 248.05, 248.05, 1.9599999999999937,0.06000000000000005,0.0,[2. 1. 1. 2. 1. 1. 1. 1.]
6, 2, 244.16, 250.01, 247.08499999999998, 247.08499999999998, 2.924999999999997,0.5133333333333332,0.0,[2. 1. 1. 3. 1. 1. 2. 1.]
7, 3, 236.49, 250.01, 243.5, 243.33333333333334, 5.5207749053511925,0.45333333333333337,0.0,[3. 1. 1. 4. 1. 1. 2. 1.]
8, 4, 236.28, 250.01, 244.865, 244.005, 5.153787442260301,0.37,0.0,[4. 1. 1. 7. 1. 1. 2. 1.]
9, 5, 240.72, 250.01, 243.65, 244.092, 3.21353636979574,0.28933333333333344,0.0,[ 5.  1.  1. 10.  1.  1.  2.  1.]
10, 6, 238.7, 250.01, 243.02, 243.43333333333337, 3.9677393507582592,0.27333333333333343,0.0,[ 7.  1.  1. 11.  1.  1.  5.  1.]
11, 7, 243.36, 250.01, 246.77, 246.53857142857143, 2.2952026276651045,0.24071428571428566,0.0,[ 7.  1.  1. 11.  1.  1. 11.  1.]
12, 8, 245.36, 252.32, 248.745, 249.0275, 2.8352237566019327,0.05428571428571427,0.009239630414783418,[ 9.  1.  1. 11.  1.  1. 17.  1.]
13, 7, 242.9, 252.74, 249.77, 248.51857142857145, 3.6122230138850537,0.07600000000000018,0.0016645529486367149,[11.  1.  1. 12.  1.  1. 20.  1.]
14, 6, 246.26, 252.74, 250.03, 250.01333333333332, 2.2161427952388135,0.09866666666666679,0.0,[11.  1.  1. 13.  1.  1. 25.  1.]
15, 6, 245.03, 252.74, 248.29000000000002, 248.74, 2.3413457668614446,0.07466666666666655,0.0,[11.  1.  1. 13.  1.  1. 31.  1.]
16, 6, 243.43, 252.74, 246.10500000000002, 247.35000000000002, 3.5234500138358746,0.28761904761904766,0.0,[11.  1.  1. 13.  1.  1. 37.  1.]
17, 7, 239.95, 252.74, 246.18, 245.79857142857145, 4.003863950062775,0.24285714285714277,0.0,[11.  1.  1. 14.  1.  1. 42.  1.]
18, 8, 243.58, 252.74, 245.555, 246.27125, 2.7530094328752313,0.21777777777777785,0.0,[12.  1.  1. 16.  1.  1. 47.  1.]
19, 9, 237.57, 252.74, 246.93, 247.03555555555556, 4.674172799333023
