generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 316.23, 345.94, 331.08500000000004, 331.08500000000004, 14.85499999999999,0.55,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 2, 316.17, 345.94, 331.055, 331.055, 14.884999999999991,0.15000000000000002,0.0,[1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
2, 2, 328.14, 345.94, 337.03999999999996, 337.03999999999996, 8.900000000000006,0.09999999999999998,0.0,[1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300 1.e-300 1.e-300]
3, 2, 345.94, 349.1, 347.52, 347.52, 1.5800000000000125,0.19999999999999996,0.009134531999768818,[1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e+000 1.e-300 1.e-300]
4, 2, 346.08, 349.1, 347.59000000000003, 347.59000000000003, 1.5100000000000193,0.09999999999999998,0.0,[1. 1. 1. 1. 1. 1. 1. 1.]
5, 2, 345.3, 349.1, 347.20000000000005, 347.20000000000005, 1.9000000000000057,0.09999999999999998,0.0,[2. 1. 1. 1. 1. 1. 1. 2.]
6, 2, 338.55, 349.1, 343.82500000000005, 343.82500000000005, 5.275000000000006,0.6499999999999999,0.0,[3. 1. 1. 1. 1. 1. 1. 3.]
7, 3, 331.84, 349.1, 343.78, 341.5733333333333, 7.217060035468445,0.5499999999999999,0.0,[4. 1. 1. 1. 1. 1. 1. 4.]
8, 4, 333.94, 353.26, 350.485, 347.0425, 7.71153154373371,0.19999999999999984,0.01191635634488676,[8. 1. 1. 1. 1. 1. 1. 4.]
9, 3, 325.73, 353.26, 342.38, 340.45666666666665, 11.321061002495393,0.18333333333333324,0.0,[10.  1.  1.  1.  1.  1.  1.  4.]
10, 3, 324.74, 353.69, 353.26, 343.8966666666667, 13.54694635538044,0.0,0.001217233765498519,[12.  1.  1.  1.  1.  1.  1.  4.]
11, 2, 334.39, 353.69, 344.03999999999996, 344.03999999999996, 9.650000000000006,0.09999999999999998,0.0,[14.  1.  1.  1.  1.  1.  1.  4.]
12, 2, 330.0, 353.69, 341.845, 341.845, 11.844999999999999,0.050000000000000044,0.0,[16.  1.  1.  1.  1.  1.  1.  4.]
13, 2, 349.35, 353.69, 351.52, 351.52, 2.1699999999999875,0.6333333333333333,0.0,[17.  1.  1.  1.  1.  1.  1.  5.]
14, 3, 348.01, 353.69, 351.35, 351.01666666666665, 2.3307986232667637,0.5583333333333333,0.0,[18.  1.  1.  1.  1.  1.  1.  6.]
15, 4, 329.69, 353.69, 340.41499999999996, 341.0525, 8.509254888061587,0.4650000000000001,0.0,[20.  1.  1.  1.  1.  1.  1.  8.]
16, 5, 308.8, 353.69, 340.67, 336.67400000000004, 14.907931580202531,0.44333333333333325,0.0,[21.  1.  1.  1.  1.  1.  1. 11.]
17, 6, 325.41, 367.21, 341.475, 343.91, 13.460697109238675,0.25,0.038225564760100604,[21.  1.  1.  1.  1.  1.  1. 17.]
18, 5, 341.67, 367.21, 353.63, 352.872, 8.819520168353822,0.22999999999999998,0.0,[21.  1.  1.  1.  1.  1.  1. 21.]
19, 5, 308.05, 367.21, 352.26, 345.87, 21.082469494819616,0.21999999999999997,0.0,[21.  1.  1.  1.  1.  1.  1. 25.]
20, 5, 309.12, 367.21, 361.49, 352.77200000000005, 21.955476218929974,0.4666666666666667,0.0,[21.  1.  1.  1.  1.  1.  1. 29.]
21, 6, 351.11, 367.21, 356.815, 357.83833333333337, 5.654294582193443,0.40714285714285714,0.0,[21.  1.  1.  1.  1.  1.  1. 35.]
22, 7, 338.3, 368.56, 360.49, 356.03428571428566, 11.203225118742564,0.1466666666666666,0.0036763704692138635,[24.  1.  1.  1.  1.  1.  1. 38.]
23, 6, 350.3, 368.56, 361.20500000000004, 360.9533333333334, 5.697396091393174,0.13333333333333341,0.0,[26.  1.  1.  1.  1.  1.  1. 42.]
24, 6, 352.74, 370.67, 364.29499999999996, 362.33166666666665, 7.079749093168641,0.15500000000000003,0.0057249837204254765,[32.  1.  1.  1.  1.  1.  1. 42.]
25, 5, 344.63, 370.67, 348.72, 352.98199999999997, 9.377107016559005,0.20500000000000007,0.0,[36.  1.  1.  1.  1.  1.  1. 42.]
26, 5, 343.56, 370.67, 348.17, 353.254, 9.99218214405642,0.21999999999999997,0.0,[40.  1.  1.  1.  1.  1.  1. 42.]
27, 5, 330.51, 370.67, 354.37, 352.648, 13.090106798647598,0.4733333333333333,0.0,[44.  1.  1.  1.  1.  1.  1. 42.]
28, 6, 352.85, 372.97, 362.625, 363.2633333333333, 7.405596232279727,0.19999999999999996,0.006204980171041658,[49.  1.  1.  1.  1.  1.  1. 43.]
29, 5, 324.94, 372.97, 349.36, 350.686, 16.230550945670338,0.21500000000000008,0.0,[49.  1.  1.  1.  1.  1.  1. 47.]
30, 5, 336.51, 372.97, 347.12, 349.6840000000001, 12.791656030397323,0.21500000000000008,0.0,[49.  1.  1.  1.  1.  1.  1. 51.]
31, 5, 352.48, 372.97, 354.13, 357.90200000000004, 7.693668565775378,0.43666666666666665,0.0,[49.  1.  1.  1.  1.  1.  1. 55.]
32, 6, 340.9, 372.97, 358.925, 356.8933333333334, 10.111248961209283,0.42380952380952386,0.0,[49.  1.  1.  1.  1.  1.  1. 61.]
33, 7, 333.71, 372.97, 362.83, 358.5057142857143, 12.029919673336941,0.3767857142857143,0.0,[49.  1.  1.  1.  1.  1.  1. 67.]
34, 8, 343.44, 372.97, 359.78999999999996, 356.66999999999996, 10.21299417409019,0.36249999999999993,0.0,[50.  1.  1.  1.  1.  1.  1. 74.]
35, 9, 340.53, 372.97, 361.96, 359.5344444444444, 9.567417056646097,0.3355555555555556,0.0,[50.  1.  1.  1.  1.  1.  1. 82.]
