generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 100, 20.53, 22.95, 21.15, 21.289000000000005, 0.5522924949698305,0.9962626262626263,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 100, 20.91, 23.21, 21.91, 21.952099999999994, 0.5863809256788628,0.9711111111111111,0.011328976034858456,[12. 13. 12. 12. 13. 12. 13. 13.]
2, 100, 21.32, 24.28, 22.65, 22.616500000000006, 0.6117767158040587,0.9312828282828283,0.04610081861266697,[25. 26. 24. 26. 25. 25. 24. 25.]
3, 100, 21.41, 25.65, 23.29, 23.280299999999993, 0.7998668076623755,0.8958585858585859,0.05642504118616134,[44. 40. 30. 37. 42. 37. 34. 36.]
4, 100, 22.37, 25.65, 24.13, 24.082399999999996, 0.7400906971446135,0.8271919191919193,0.0,[93. 55. 30. 42. 49. 48. 37. 46.]
5, 100, 23.26, 26.25, 24.65, 24.653399999999998, 0.7055511604412539,0.7864141414141415,0.023391812865497134,[123. 116.  30.  42.  50.  55.  37.  47.]
6, 100, 24.11, 27.19, 25.33, 25.387600000000006, 0.6728062425394106,0.7419494949494949,0.03580952380952386,[135. 147.  30.  80.  52.  67.  37.  52.]
7, 100, 24.43, 27.62, 25.845, 25.9305, 0.7148641479330182,0.6988686868686869,0.01581463773446119,[140. 157.  30. 131.  58.  72.  37.  75.]
8, 100, 24.64, 28.59, 26.28, 26.361699999999995, 0.7972992600021652,0.6707777777777777,0.03511947863866759,[143. 161.  30. 146.  59. 113.  37. 111.]
9, 100, 25.67, 28.59, 26.895, 26.896499999999996, 0.6221918916218693,0.6811515151515152,0.0,[156. 186.  30. 152.  88. 129.  37. 122.]
10, 100, 25.99, 30.0, 27.605, 27.550499999999996, 0.7151075093998106,0.6526464646464646,0.049317943336831066,[157. 193.  30. 172. 118. 134.  64. 132.]
11, 100, 26.73, 30.0, 27.74, 27.782799999999998, 0.544935005298797,0.5789696969696969,0.0,[160. 193.  30. 172. 121. 134. 157. 133.]
12, 100, 26.67, 30.0, 28.015, 28.114200000000004, 0.6232017008962667,0.5322020202020201,0.0,[177. 204.  30. 195. 127. 140. 188. 139.]
13, 100, 26.89, 30.0, 28.375, 28.402899999999995, 0.6336707267974434,0.5047474747474747,0.0,[192. 207.  30. 236. 130. 146. 214. 145.]
14, 100, 27.57, 30.3, 28.72, 28.726399999999998, 0.6057995047868561,0.4766666666666667,0.010000000000000024,[213. 244.  30. 242. 134. 158. 220. 159.]
15, 100, 27.87, 30.8, 29.23, 29.183400000000002, 0.6160344470887971,0.4362121212121213,0.0165016501650165,[218. 245.  30. 257. 204. 158. 223. 165.]
16, 100, 27.69, 30.8, 29.35, 29.3312, 0.6500835023287393,0.4587676767676767,0.0,[227. 252.  32. 261. 242. 189. 227. 170.]
17, 100, 28.0, 31.14, 29.68, 29.646, 0.6093521149548919,0.4513737373737373,0.011038961038961034,[245. 258.  92. 262. 242. 189. 230. 182.]
18, 100, 28.4, 31.65, 29.715, 29.773899999999998, 0.5464154005882338,0.4722929292929292,0.01637764932562614,[245. 258. 192. 262. 242. 189. 230. 182.]
19, 100, 28.59, 31.65, 29.765, 29.836600000000004, 0.5898139028541122,0.48557575757575755,0.0,[247. 272. 238. 270. 248. 197. 240. 188.]
20, 100, 29.23, 32.03, 30.075, 30.159299999999998, 0.549412877533827,0.4648888888888889,0.012006319115323936,[270. 289. 266. 274. 263. 203. 245. 190.]
21, 100, 29.35, 32.03, 30.35, 30.358699999999995, 0.4850023814374523,0.4213131313131313,0.0,[304. 321. 270. 278. 281. 204. 251. 191.]
