generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 100, 121.51, 192.65, 148.88, 149.8728, 13.708044943025246,0.9904080808080808,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 100, 143.48, 207.68, 167.945, 168.35460000000003, 12.676043106584956,0.9604686868686869,0.07801712950947313,[13. 13. 12. 13. 13. 12. 12. 12.]
2, 100, 153.03, 231.7, 184.635, 185.17219999999995, 14.437261068499106,0.9116606060606061,0.11565870570107849,[26. 28. 21. 26. 32. 22. 23. 22.]
3, 100, 168.53, 246.86, 202.35000000000002, 203.61140000000003, 16.63241864672724,0.8735717171717172,0.06542943461372476,[53. 43. 21. 35. 77. 24. 24. 23.]
4, 100, 196.72, 261.89, 225.265, 226.95170000000002, 15.533976377927193,0.8270707070707071,0.06088471198250009,[105.  57.  21.  37. 109.  24.  24.  23.]
5, 100, 221.09, 286.4, 248.285, 247.23620000000003, 13.717298406027334,0.7478020202020202,0.09358891137500475,[133. 102.  21.  50. 123.  24.  24.  23.]
6, 100, 237.57, 293.62, 261.9, 262.5827, 12.405541653229012,0.6712525252525252,0.02520949720670401,[153. 116.  21.  92. 142.  26.  26.  24.]
7, 100, 252.89, 317.76, 277.61, 278.5046, 13.54565202712664,0.6025171717171717,0.0822151079626728,[177. 137.  21. 106. 160.  32.  39.  28.]
8, 100, 266.32, 333.82, 295.5, 295.52189999999996, 14.755009637069032,0.5553898989898991,0.05054128902316214,[196. 153.  30. 113. 169.  45.  62.  32.]
9, 100, 279.37, 352.77, 310.92499999999995, 311.11839999999995, 14.667350457393454,0.5296565656565656,0.05676712000479297,[207. 170.  34. 118. 178.  54. 104.  35.]
10, 100, 296.38, 356.81, 324.0, 324.15319999999997, 13.505834878303524,0.5066060606060606,0.011452220993848742,[220. 180.  38. 122. 198.  92. 108.  42.]
11, 100, 299.91, 370.88, 332.51, 334.6675000000001, 15.265857484923671,0.48108282828282833,0.03943275132423417,[225. 182.  98. 127. 202. 106. 114.  46.]
12, 100, 321.96, 370.88, 348.54499999999996, 347.44249999999994, 10.989612402173247,0.4533535353535354,0.0,[239. 201. 110. 134. 208. 111. 121.  76.]
13, 100, 329.48, 379.42, 356.6, 356.43409999999994, 11.41978713418074,0.43937777777777787,0.02302631578947374,[255. 210. 118. 146. 223. 118. 132.  98.]
14, 100, 344.44, 396.17, 368.99, 368.2025, 10.705715891522622,0.4271636363636364,0.04414632860682093,[267. 225. 125. 165. 243. 130. 142. 103.]
15, 100, 355.92, 398.41, 377.55, 377.1493, 10.59708754847293,0.4357858585858586,0.005654138374940073,[275. 237. 141. 178. 269. 144. 152. 104.]
16, 100, 361.36, 417.24, 384.045, 384.7298, 11.45488777596708,0.4052444444444443,0.047262869907883795,[290. 251. 145. 192. 287. 157. 159. 119.]
17, 100, 369.4, 427.56, 395.53499999999997, 394.71659999999997, 11.66606079360124,0.3657212121212121,0.02473396606269771,[295. 256. 162. 216. 326. 162. 161. 122.]
18, 100, 379.27, 428.3, 403.555, 403.41970000000003, 10.527153979590116,0.31648888888888893,0.0017307512395921252,[299. 269. 172. 235. 343. 168. 166. 148.]
19, 100, 390.37, 441.74, 409.975, 410.439, 10.182612582240374,0.29932525252525266,0.031379873920149425,[334. 278. 179. 249. 352. 175. 171. 162.]
20, 100, 395.53, 443.31, 418.11, 417.5467, 9.584831250992371,0.2656888888888891,0.003554126861954981,[348. 282. 199. 256. 377. 195. 175. 168.]
21, 100, 399.74, 456.63, 424.47, 423.73949999999996, 10.752914058523853,0.27174141414141406,0.03004669418691208,[370. 286. 232. 261. 391. 206. 179. 175.]
22, 100, 404.3, 456.63, 432.4, 431.9256, 11.858743552333019,0.27141414141414133,0.0,[395. 292. 246. 272. 402. 223. 185. 185.]
23, 100, 415.77, 462.48, 439.675, 440.2163, 11.702788868897873,0.2623070707070706,0.012811247618421968,[441. 301. 252. 283. 414. 223. 185. 201.]
24, 100, 432.3, 465.32, 448.57, 448.24199999999996, 7.990825113841501,0.24792323232323243,0.006140806088911898,[449. 318. 252. 290. 461. 230. 193. 207.]
25, 100, 435.19, 470.71, 453.485, 452.01239999999996, 8.888847970350263,0.2522545454545454,0.011583426459210837,[463. 327. 263. 293. 483. 241. 223. 207.]
26, 100, 437.92, 483.39, 457.805, 457.2468999999999, 8.800180077134783,0.22632323232323226,0.0269380297847932,[467. 390. 265. 294. 507. 245. 223. 209.]
27, 100, 440.61, 485.26, 463.685, 462.9302, 9.141481168825978,0.23288888888888903,0.003868511967562433,[484. 433. 265. 295. 517. 251. 224. 231.]
28, 100, 440.22, 489.39, 467.36, 465.7077999999999, 10.107861651209914,0.2528080808080807,0.008510901372460116,[519. 435. 269. 295. 519. 263. 265. 235.]
29, 100, 450.92, 493.32, 469.57, 469.6332, 10.421984924187909,0.26186262626262635,0.008030405198308112,[527. 440. 269. 312. 539. 281. 288. 244.]
