generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 100, 20.73, 21.28, 20.994999999999997, 20.9846, 0.10939305279587026,0.9999393939393939,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 100, 20.81, 21.34, 20.99, 21.012999999999998, 0.11365298060323804,0.9758888888888889,0.0028195488721803907,[12. 13. 12. 13. 12. 13. 13. 12.]
2, 100, 20.78, 21.34, 21.015, 21.012000000000004, 0.11455129855222054,0.9584040404040404,0.0,[25. 25. 25. 26. 25. 25. 25. 24.]
3, 100, 20.83, 21.34, 21.02, 21.03, 0.11018166816671468,0.9425555555555556,0.0,[37. 40. 34. 39. 36. 38. 41. 35.]
4, 100, 20.89, 21.34, 21.045, 21.0518, 0.09972341751063267,0.9211616161616162,0.0,[45. 55. 39. 60. 48. 51. 58. 44.]
5, 100, 20.84, 21.34, 21.03, 21.0363, 0.10901976884950733,0.9072828282828282,0.0,[55. 69. 42. 73. 55. 62. 97. 47.]
6, 100, 20.81, 21.34, 21.06, 21.062799999999996, 0.10032028708092885,0.8856161616161616,0.0,[ 78.  87.  42. 105.  59.  69. 112.  48.]
7, 100, 20.9, 21.34, 21.06, 21.054700000000004, 0.09593179869052788,0.8831616161616161,0.0,[ 95. 108.  42. 111.  65. 106. 124.  49.]
8, 100, 20.83, 21.34, 21.045, 21.0573, 0.11612798973546365,0.851040404040404,0.0,[104. 121.  44. 114. 106. 110. 129.  72.]
9, 100, 20.88, 21.34, 21.045, 21.054499999999997, 0.0952089806688423,0.8264040404040404,0.0,[105. 123.  44. 120. 111. 113. 132. 152.]
10, 100, 20.83, 21.34, 21.06, 21.053699999999996, 0.10796902333539915,0.8025858585858585,0.0,[126. 126.  84. 127. 117. 121. 139. 160.]
11, 100, 20.82, 21.34, 21.05, 21.044800000000006, 0.09915119767304871,0.7983434343434344,0.0,[127. 131. 124. 137. 121. 124. 167. 169.]
12, 100, 20.85, 21.34, 21.05, 21.05, 0.10528057750601484,0.7453838383838384,0.0,[131. 138. 154. 153. 126. 131. 182. 185.]
