generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 100, 112.79, 142.56, 126.16, 126.4474, 7.063009503037639,0.9998030303030303,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 100, 121.78, 148.7, 134.375, 134.68110000000001, 5.852083713516066,0.9762020202020202,0.043069584736251304,[13. 12. 12. 13. 13. 12. 13. 12.]
2, 100, 131.43, 158.13, 141.235, 142.3646, 5.867457272106889,0.9138030303030302,0.06341627437794221,[25. 25. 23. 26. 25. 23. 28. 25.]
3, 100, 137.49, 161.32, 149.14, 148.90729999999996, 5.4211404436705015,0.8733333333333333,0.02017327515335482,[35. 35. 31. 39. 37. 29. 56. 38.]
4, 100, 142.03, 164.92, 153.495, 153.4556, 5.582770874753862,0.7999191919191919,0.02231589387552687,[41. 47. 32. 46. 47. 30. 98. 59.]
5, 100, 153.21, 170.64, 159.97, 160.0389, 3.8758580714468875,0.6513888888888888,0.03468348290080039,[ 46.  61.  40.  69.  62.  36. 113.  73.]
6, 100, 153.17, 176.25, 164.25, 164.54809999999998, 5.102710984368994,0.6548232323232324,0.03287623066104087,[ 49.  87.  42.  99.  72.  39. 122.  90.]
7, 100, 160.48, 177.69, 169.98000000000002, 169.4865, 4.2105910214600515,0.6286969696969698,0.008170212765957434,[ 82. 102.  44. 106.  80.  49. 128. 109.]
8, 100, 161.27, 189.26, 173.31, 173.08599999999996, 5.3729302991942856,0.5778585858585858,0.06511339974112214,[103. 107.  87. 108. 101.  51. 130. 113.]
9, 100, 167.1, 196.06, 178.41, 178.5573, 6.284673079007372,0.564530303030303,0.035929409278241634,[104. 110. 132. 118. 108.  56. 151. 121.]
10, 100, 173.06, 196.06, 184.61, 184.58300000000003, 5.7580490619653455,0.46232323232323236,0.0,[112. 116. 148. 123. 113. 101. 157. 130.]
11, 100, 177.34, 201.71, 191.225, 190.4345, 4.639869906581435,0.4030656565656565,0.028817708864633303,[123. 130. 153. 137. 126. 105. 191. 135.]
12, 100, 185.53, 205.77, 192.805, 193.08079999999998, 4.088705829477098,0.4086666666666666,0.02012790640027764,[126. 134. 160. 162. 141. 131. 204. 142.]
13, 100, 183.81, 207.34, 196.035, 196.22789999999998, 5.1953427788741715,0.41514646464646454,0.007629878019147558,[137. 142. 169. 176. 149. 146. 227. 154.]
14, 100, 190.61, 209.98, 200.26999999999998, 200.39270000000005, 4.72103820255672,0.3832020202020202,0.012732709559178096,[150. 152. 177. 183. 164. 175. 240. 159.]
15, 100, 194.5, 210.97, 203.685, 203.71989999999994, 4.135647831960549,0.34263131313131323,0.004714734736641629,[158. 156. 182. 188. 191. 190. 260. 175.]
16, 100, 196.63, 214.57, 206.48000000000002, 206.31849999999994, 4.133652712795308,0.28494949494949495,0.01706403754088256,[160. 163. 184. 205. 215. 199. 264. 210.]
