generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 100, 42.8, 62.37, 48.09, 48.971900000000005, 4.056884197262722,0.9943030303030304,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 100, 46.38, 66.04, 54.215, 54.54200000000001, 4.778820775044823,0.9692070707070707,0.05884239217572565,[13. 13. 12. 12. 13. 12. 13. 12.]
2, 100, 51.65, 80.23, 61.224999999999994, 61.2663, 4.87992103522178,0.9068737373737373,0.2148697758933979,[26. 24. 23. 22. 36. 21. 25. 23.]
3, 100, 54.11, 85.66, 68.535, 68.6711, 6.894054379681089,0.8546666666666667,0.06768041879596151,[ 48.  25.  23.  22. 110.  21.  28.  23.]
4, 100, 65.04, 94.88, 77.885, 78.55979999999998, 6.8156223457583085,0.7452474747474747,0.10763483539575064,[123.  25.  23.  22. 133.  21.  30.  23.]
5, 100, 71.07, 105.15, 86.035, 86.22319999999999, 7.391817622209032,0.7068585858585859,0.10824198988195627,[161.  44.  27.  23. 157.  21.  44.  23.]
6, 100, 80.56, 109.75, 95.39500000000001, 94.92679999999999, 6.558992129893129,0.6072373737373737,0.04374702805515924,[173.  98.  37.  24. 168.  21.  54.  25.]
7, 100, 86.75, 112.68, 102.42, 102.148, 5.759364027390525,0.5682171717171717,0.026697038724373637,[187. 112.  45.  43. 175.  21.  85.  32.]
8, 100, 93.71, 119.48, 106.84, 107.0734, 5.156835312476054,0.517449494949495,0.06034788782392613,[197. 119.  71.  61. 185.  21. 105.  41.]
9, 100, 102.57, 126.28, 112.37, 112.32529999999998, 4.879447398015476,0.4891414141414141,0.05691329092735183,[211. 134. 106.  72. 191.  27. 110.  49.]
10, 100, 103.77, 130.19, 116.945, 116.38740000000001, 5.0675369993715895,0.47185858585858587,0.030962939499524837,[221. 138. 124. 104. 193.  29. 112.  79.]
11, 100, 108.54, 133.12, 120.14, 120.1049, 4.93435254010088,0.4917373737373737,0.022505568784084853,[232. 142. 150. 112. 200.  38. 117. 109.]
12, 100, 112.85, 133.12, 124.325, 124.2868, 3.841780545528337,0.4780808080808081,0.0,[236. 149. 161. 115. 205. 102. 120. 112.]
13, 100, 116.04, 137.34, 126.855, 126.83300000000001, 4.345124048862128,0.458010101010101,0.031700721153846145,[237. 153. 180. 134. 228. 120. 130. 118.]
14, 100, 118.83, 138.51, 130.645, 129.75089999999997, 4.451382278573703,0.43846969696969684,0.008519003931847877,[252. 177. 187. 150. 232. 131. 145. 126.]
15, 100, 126.88, 141.91, 133.24, 133.2806, 3.688248587066768,0.4345656565656566,0.02454696411811426,[252. 190. 193. 156. 276. 140. 160. 133.]
16, 100, 126.64, 145.91, 135.815, 135.84990000000002, 4.620184302600926,0.40680808080808084,0.02818687900782186,[257. 201. 211. 178. 295. 146. 170. 142.]
17, 100, 130.05, 147.08, 139.485, 139.2869, 4.046320475444326,0.3790707070707071,0.008018641628401178,[275. 221. 216. 185. 311. 152. 184. 156.]
18, 100, 133.09, 148.92, 141.53500000000003, 141.3853, 3.743457881424606,0.35831313131313125,0.012510198531411306,[281. 243. 232. 217. 319. 156. 195. 157.]
19, 100, 134.28, 152.82, 143.725, 143.16100000000003, 4.091012221932367,0.36397979797979796,0.02618855761482679,[285. 252. 239. 226. 323. 177. 226. 172.]
20, 100, 137.06, 152.82, 144.42000000000002, 144.84529999999998, 3.8635769579497192,0.365,0.0,[303. 258. 241. 232. 341. 183. 256. 186.]
21, 100, 141.29, 158.73, 147.7, 147.9332, 3.490578714196257,0.3569949494949495,0.03867294856694148,[319. 265. 256. 242. 345. 203. 274. 196.]
22, 100, 139.51, 158.73, 150.32, 150.00789999999998, 4.352689351424013,0.34977777777777785,0.0,[355. 273. 260. 266. 349. 203. 289. 205.]
23, 100, 141.14, 160.52, 151.225, 151.3274, 4.251248197882594,0.33364646464646475,0.011277011277011407,[361. 279. 269. 292. 354. 209. 313. 223.]
24, 100, 144.97, 163.32, 155.41, 154.91859999999997, 4.153341791858697,0.3298080808080808,0.017443309244953794,[366. 300. 288. 294. 358. 216. 353. 225.]
25, 100, 148.5, 168.8, 156.24, 156.354, 3.8645248090806716,0.3470202020202021,0.033553759490570774,[369. 317. 296. 297. 397. 217. 372. 235.]
26, 100, 147.01, 168.8, 159.255, 158.9793, 4.331123700611656,0.3388232323232323,0.0,[404. 323. 301. 308. 400. 229. 384. 251.]
27, 100, 152.84, 169.35, 160.675, 160.99200000000002, 4.126030053210956,0.33199494949494945,0.003258293838862458,[409. 381. 315. 309. 408. 235. 385. 258.]
28, 100, 154.47, 171.39, 163.485, 163.27509999999998, 4.269917679534348,0.3311616161616162,0.012046058458813062,[431. 386. 321. 309. 430. 265. 398. 260.]
29, 100, 155.57, 172.44, 164.825, 165.2249, 3.608969242041277,0.30895454545454537,0.006126378435147975,[485. 386. 321. 323. 431. 284. 402. 268.]
30, 100, 160.75, 174.09, 167.57, 167.4871, 3.444809224035491,0.27360606060606074,0.009568545581071711,[515. 393. 321. 326. 449. 285. 433. 278.]
31, 100, 161.79, 176.27, 168.16, 168.36270000000002, 3.328365020546876,0.2794696969696969,0.012522258601872633,[534. 403. 322. 347. 465. 300. 442. 287.]
32, 100, 160.15, 181.38, 169.31, 169.47930000000005, 3.8796835579722226,0.2744040404040403,0.028989618199353178,[538. 403. 354. 347. 472. 353. 446. 287.]
33, 100, 159.78, 181.38, 171.585, 171.46380000000002, 4.217830906994731,0.2754040404040403,0.0,[538. 450. 357. 367. 472. 361. 461. 294.]
34, 100, 165.71, 181.97, 174.095, 173.996, 4.023560363658038,0.2601969696969697,0.003252839342816206,[541. 463. 431. 369. 475. 362. 463. 296.]
35, 100, 166.81, 182.37, 176.055, 176.05960000000002, 3.670156105671802,0.23948989898989925,0.0021981645326152976,[543. 547. 431. 369. 476. 362. 463. 309.]
36, 100, 169.97, 185.35, 177.265, 177.08190000000002, 3.2491348679302314,0.23130303030303057,0.01634040686516417,[565. 582. 437. 371. 494. 365. 474. 312.]
37, 100, 169.24, 185.35, 177.26999999999998, 177.3651, 3.0165190186703614,0.2338080808080809,0.0,[567. 588. 464. 373. 525. 373. 475. 335.]
38, 100, 169.59, 185.35, 177.39999999999998, 177.28010000000003, 3.3173424589571687,0.25456565656565655,0.0,[569. 588. 464. 373. 529. 405. 483. 389.]
39, 100, 166.54, 185.35, 177.19, 177.24290000000002, 3.4490042896465067,0.2676313131313133,0.0,[577. 588. 465. 385. 534. 456. 498. 397.]
40, 100, 168.27, 187.03, 177.835, 178.1207, 3.6685267492550744,0.25056565656565655,0.009063933099541446,[586. 607. 467. 388. 537. 494. 522. 399.]
41, 100, 172.42, 187.03, 179.86, 179.31939999999997, 3.3316010625523593,0.2355353535353537,0.0,[587. 607. 467. 456. 541. 494. 523. 425.]
42, 100, 173.77, 188.29, 180.675, 180.6007, 3.131136296937583,0.23898989898989886,0.006736887130406838,[629. 607. 471. 508. 542. 494. 524. 425.]
43, 100, 171.7, 191.42, 181.33999999999997, 181.2347, 3.743021628310475,0.24143939393939406,0.016623293855223303,[629. 609. 472. 514. 619. 508. 524. 425.]
44, 100, 170.25, 191.42, 183.295, 182.83350000000002, 3.708436968589325,0.2298787878787878,0.0,[629. 609. 499. 514. 692. 508. 524. 425.]
45, 100, 177.05, 191.42, 183.69, 183.7366, 3.2304251175348413,0.214020202020202,0.0,[682. 609. 511. 515. 703. 529. 526. 425.]
46, 100, 174.67, 191.86, 183.885, 183.82969999999997, 3.929015514095103,0.213419191919192,0.0022986103855397876,[690. 624. 538. 530. 716. 534. 542. 426.]
47, 100, 178.36, 192.61, 185.36, 185.18579999999997, 3.281368671758782,0.20230303030303032,0.003909100385697905,[696. 625. 548. 531. 718. 540. 616. 426.]
48, 100, 177.04, 193.06, 186.315, 186.12020000000004, 3.4498799921156684,0.2114191919191919,0.002336327293494567,[696. 630. 573. 531. 784. 540. 616. 430.]
49, 100, 179.53, 193.92, 187.51999999999998, 187.3746, 3.1872010981423804,0.21404040404040403,0.004454573707655575,[703. 630. 577. 531. 873. 540. 616. 430.]
50, 100, 180.81, 193.92, 187.78, 187.7299, 2.9135471490950673,0.22404040404040382,0.0,[703. 631. 580. 531. 967. 542. 616. 430.]
51, 100, 181.43, 195.24, 187.63, 187.64079999999996, 2.93585138588451,0.22620707070707058,0.006806930693069419,[726. 635. 581. 532. 970. 587. 637. 432.]
52, 100, 175.64, 195.24, 187.16500000000002, 187.08849999999998, 3.449582982042902,0.23870707070707087,0.0,[760. 636. 584. 549. 972. 624. 640. 435.]
53, 100, 180.38, 195.28, 188.09, 188.10479999999998, 3.299216416060032,0.2422676767676769,0.00020487604998971543,[829. 637. 584. 549. 972. 654. 640. 435.]
54, 100, 183.73, 196.79, 189.89, 189.80440000000002, 3.0550123796803192,0.23689393939393932,0.007732486685784468,[929. 637. 584. 549. 972. 654. 640. 435.]
55, 100, 181.48, 196.79, 190.12, 189.9872, 3.29156074833809,0.2382020202020202,0.0,[991. 654. 585. 555. 975. 657. 648. 435.]
56, 100, 183.58, 199.04, 189.94, 190.16580000000002, 3.2177915345777133,0.24000000000000032,0.0114335078001931,[1027.  662.  587.  555.  993.  657.  671.  448.]
57, 100, 181.06, 199.04, 190.505, 190.5584, 3.465842096807067,0.24464646464646467,0.0,[1027.  666.  630.  560.  994.  701.  674.  448.]
58, 100, 180.3, 199.45, 189.82999999999998, 190.10819999999995, 3.795611513313764,0.2431464646464646,0.002059887459807057,[1027.  666.  730.  560.  994.  701.  674.  448.]
59, 100, 184.14, 199.45, 191.0, 190.96219999999997, 3.6069789519762927,0.24637878787878786,0.0,[1027.  674.  730.  573. 1052.  718.  678.  448.]
60, 100, 183.54, 199.64, 191.675, 191.6116, 3.500513596602647,0.23816161616161613,0.0009526197041865016,[1029.  678.  730.  573. 1089.  718.  678.  505.]
61, 100, 183.73, 199.64, 191.14, 191.7155, 3.2325093580684348,0.23025252525252515,0.0,[1030.  678.  737.  573. 1095.  756.  678.  553.]
62, 100, 183.89, 201.14, 191.52499999999998, 191.6015, 3.538773057148481,0.22658080808080816,0.007513524343818874,[1030.  678.  773.  573. 1100.  807.  678.  561.]
