generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 100, 10.14, 29.31, 14.325, 15.683800000000002, 4.31505035428325,0.9987272727272727,0,[1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300 1.e-300]
1, 100, 11.16, 60.57, 21.18, 22.564, 7.079969632703236,0.9767676767676767,1.0665301944728762,[12. 19. 11. 11. 14. 11. 11. 11.]
2, 100, 14.46, 80.63, 31.66, 32.3874, 11.18731805393947,0.9395959595959595,0.33118705629849754,[19. 83. 13. 11. 40. 11. 11. 12.]
3, 100, 17.49, 90.17, 44.239999999999995, 46.07769999999999, 14.802681571593707,0.9216363636363636,0.11831824382984009,[ 71. 104.  13.  11.  67.  11.  11.  12.]
4, 100, 28.68, 105.36, 68.77000000000001, 66.4373, 16.020865822732553,0.8511111111111112,0.1684595763557724,[113. 117.  13.  11. 112.  11.  11.  12.]
5, 100, 36.77, 119.03, 83.58, 83.0562, 16.2872027543099,0.788080808080808,0.12974563401670464,[133. 141.  21.  14. 146.  11.  11.  23.]
6, 100, 68.61, 137.29, 98.85499999999999, 98.3387, 15.228228830366321,0.7477575757575757,0.15340670419222038,[153. 160.  29.  18. 174.  12.  14.  40.]
7, 100, 64.42, 152.71, 109.765, 108.34899999999998, 16.389006589784508,0.7266666666666666,0.11231699322601804,[182. 173.  37.  29. 191.  16.  17.  55.]
8, 100, 83.39, 152.71, 117.385, 116.6197, 14.645088969002547,0.6698585858585859,0.0,[197. 194.  48.  38. 202.  22.  22.  77.]
9, 100, 94.92, 163.52, 126.56, 125.8821, 15.661655486888993,0.6048080808080807,0.07078776766420013,[199. 209.  59.  64. 211.  27.  34.  97.]
10, 100, 101.18, 163.52, 134.415, 134.2679, 12.187023450785675,0.5586868686868688,0.0,[202. 215.  81.  84. 230.  34.  51. 103.]
11, 100, 108.46, 163.82, 138.02, 138.40729999999996, 12.899118485772583,0.5527676767676767,0.0018346379647748467,[217. 221. 103. 101. 236.  48.  70. 104.]
12, 100, 110.17, 175.22, 143.18, 142.1208, 13.811003054086985,0.5095555555555555,0.06958857282383107,[227. 230. 103. 109. 241.  71. 102. 117.]
13, 100, 102.65, 175.22, 145.735, 144.0356, 14.827248383971991,0.5054545454545455,0.0,[248. 244. 108. 121. 246. 101. 107. 125.]
14, 100, 104.68, 176.48, 149.685, 148.68390000000002, 13.79487288053065,0.493939393939394,0.007190959936080305,[275. 257. 111. 138. 256. 108. 124. 131.]
15, 100, 127.38, 176.48, 152.065, 152.343, 11.200071740841663,0.4514949494949496,0.0,[285. 278. 115. 143. 281. 109. 145. 144.]
16, 100, 133.84, 177.08, 156.905, 156.9264, 10.848519670443523,0.4410303030303031,0.0033998186763373912,[305. 294. 126. 153. 286. 111. 172. 153.]
17, 100, 117.94, 177.34, 157.425, 156.3761, 13.353622871340946,0.4562424242424242,0.0014682629320080804,[382. 305. 126. 153. 286. 114. 178. 156.]
18, 100, 122.85, 184.67, 158.305, 157.6103, 12.452302072709287,0.45466666666666666,0.04133303259275958,[427. 326. 135. 162. 290. 118. 184. 158.]
19, 100, 128.9, 184.67, 158.745, 157.9927, 11.982700434793484,0.46212121212121215,0.0,[432. 345. 138. 169. 312. 141. 193. 170.]
20, 100, 130.2, 185.49, 160.375, 160.00190000000003, 12.135900435896794,0.47410101010101013,0.004440353062219211,[461. 350. 143. 193. 342. 146. 193. 172.]
21, 100, 126.87, 189.01, 161.175, 161.37230000000002, 13.079422070947935,0.456040404040404,0.018976764246050902,[561. 350. 143. 193. 342. 146. 193. 172.]
