generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 16.09, 16.39, 16.240000000000002, 16.240000000000002, 0.15000000000000036,0.9,0,[1.e-300 1.e-300 1.e-300]
1, 2, 16.39, 16.71, 16.55, 16.55, 0.16000000000000014,0.19999999999999996,0.01952410006101283,[1.e+000 1.e+000 1.e-300]
2, 2, 16.41, 16.71, 16.560000000000002, 16.560000000000002, 0.15000000000000036,0.09999999999999998,0.0,[1. 1. 2.]
3, 2, 16.59, 16.71, 16.65, 16.65, 0.0600000000000005,0.19999999999999996,0.0,[2. 2. 2.]
4, 2, 16.19, 16.71, 16.450000000000003, 16.450000000000003, 0.2599999999999998,0.7,0.0,[2. 3. 3.]
5, 3, 16.07, 16.71, 16.43, 16.403333333333332, 0.26195843605851354,0.6499999999999999,0.0,[3. 4. 3.]
6, 4, 16.29, 16.71, 16.384999999999998, 16.442500000000003, 0.16238457439055035,0.5599999999999999,0.0,[4. 5. 5.]
7, 5, 15.8, 16.71, 16.39, 16.384, 0.3298241955951688,0.5666666666666667,0.0,[8. 5. 5.]
8, 6, 15.62, 17.32, 16.675, 16.675, 0.5508100095919344,0.30000000000000004,0.03650508677438656,[14.  5.  5.]
9, 5, 16.32, 17.32, 16.62, 16.816000000000003, 0.41480597874186925,0.30000000000000004,0.0,[18.  5.  5.]
10, 5, 16.09, 17.32, 16.51, 16.672000000000004, 0.46438776900344847,0.36,0.0,[22.  5.  5.]
11, 5, 15.72, 17.32, 16.82, 16.69, 0.5297546601965856,0.5866666666666667,0.0,[25.  6.  5.]
12, 6, 16.78, 17.65, 17.134999999999998, 17.19333333333333, 0.33219806675469277,0.3600000000000001,0.019053117782909832,[26. 11.  5.]
13, 5, 16.01, 17.65, 16.69, 16.822, 0.5414572928680517,0.37,0.0,[26. 15.  5.]
14, 5, 16.11, 17.65, 16.88, 16.91, 0.6528399497579787,0.36,0.0,[26. 19.  5.]
15, 5, 16.56, 17.65, 17.08, 17.112000000000002, 0.3589651793698101,0.56,0.0,[27. 22.  5.]
16, 6, 16.71, 17.65, 16.835, 16.985, 0.3327035717672209,0.5523809523809523,0.0,[33. 22.  5.]
17, 7, 15.72, 17.65, 16.94, 16.754285714285714, 0.6207336015406548,0.3928571428571428,0.0,[39. 22.  5.]
18, 8, 15.83, 17.65, 16.545, 16.7225, 0.5762106819558273,0.5333333333333333,0.0,[41. 22. 11.]
19, 9, 15.41, 17.65, 16.52, 16.56, 0.7243234391102114,0.5022222222222222,0.0,[41. 22. 19.]
20, 10, 16.37, 17.65, 16.695, 16.783, 0.335232754962876,0.49090909090909096,0.0,[41. 22. 29.]
21, 11, 15.81, 17.65, 16.61, 16.799090909090907, 0.51988555638288,0.4712121212121213,0.0,[41. 32. 29.]
22, 12, 16.3, 17.65, 16.65, 16.823333333333334, 0.42407415494095935,0.5205128205128204,0.0,[41. 43. 30.]
23, 13, 15.99, 17.65, 16.63, 16.657692307692308, 0.44096317387062955,0.4351648351648352,0.0,[41. 55. 30.]
