generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 483.45, 529.5, 506.475, 506.475, 23.025000000000006,0.52,0,[1.e-300 1.e-300 1.e-300]
1, 2, 529.5, 542.21, 535.855, 535.855, 6.355000000000018,0.06000000000000005,0.024003777148253136,[1.e+000 1.e+000 1.e-300]
2, 2, 542.21, 546.93, 544.5699999999999, 544.5699999999999, 2.359999999999957,0.040000000000000036,0.008705114254624433,[1. 2. 1.]
3, 2, 546.93, 548.32, 547.625, 547.625, 0.69500000000005,0.040000000000000036,0.0025414586875836032,[2. 2. 2.]
4, 2, 548.25, 548.32, 548.2850000000001, 548.2850000000001, 0.03500000000002501,0.07999999999999996,0.0,[2. 4. 2.]
5, 2, 548.32, 551.42, 549.87, 549.87, 1.5499999999999545,0.020000000000000018,0.005653632915085915,[2. 6. 2.]
6, 2, 541.93, 551.42, 546.675, 546.675, 4.7450000000000045,0.040000000000000036,0.0,[2. 8. 2.]
7, 2, 551.42, 559.24, 555.3299999999999, 555.3299999999999, 3.910000000000025,0.06000000000000005,0.014181567589133602,[ 2. 10.  2.]
8, 2, 559.24, 559.66, 559.45, 559.45, 0.20999999999997954,0.06000000000000005,0.0007510192403976094,[ 2. 12.  2.]
9, 2, 556.5, 559.66, 558.0799999999999, 558.0799999999999, 1.579999999999984,0.06000000000000005,0.0,[ 2. 14.  2.]
10, 2, 553.17, 559.66, 556.415, 556.415, 3.2450000000000045,0.040000000000000036,0.0,[ 2. 16.  2.]
11, 2, 558.94, 559.66, 559.3, 559.3, 0.3599999999999568,0.6266666666666667,0.0,[ 2. 18.  2.]
12, 3, 551.32, 559.66, 553.98, 554.9866666666667, 3.4784032096478774,0.49,0.0,[ 2. 20.  2.]
13, 4, 555.7, 562.72, 559.035, 559.1225, 2.522502477699472,0.06666666666666676,0.005467605331808704,[ 2. 24.  2.]
14, 3, 552.88, 562.72, 559.1, 558.2333333333335, 4.063638216617673,0.08000000000000007,0.0,[ 2. 26.  2.]
15, 3, 552.45, 562.72, 559.07, 558.08, 4.2507489536158936,0.08000000000000007,0.0,[ 2. 28.  2.]
16, 3, 553.03, 568.04, 562.72, 561.2633333333333, 6.213771443781592,0.040000000000000036,0.009454080181973159,[ 2. 30.  2.]
17, 2, 564.13, 568.04, 566.085, 566.085, 1.954999999999984,0.07999999999999996,0.0,[ 2. 32.  2.]
18, 2, 558.34, 568.04, 563.19, 563.19, 4.849999999999966,0.040000000000000036,0.0,[ 3. 33.  2.]
19, 2, 568.04, 569.29, 568.665, 568.665, 0.625,0.040000000000000036,0.002200549257094571,[ 4. 33.  3.]
20, 2, 564.31, 569.29, 566.8, 566.8, 2.490000000000009,0.040000000000000036,0.0,[ 5. 33.  4.]
21, 2, 560.59, 569.29, 564.94, 564.94, 4.349999999999966,0.09999999999999998,0.0,[ 6. 33.  5.]
22, 2, 560.25, 569.29, 564.77, 564.77, 4.519999999999982,0.6266666666666667,0.0,[ 7. 33.  6.]
23, 3, 548.03, 569.29, 554.72, 557.3466666666667, 8.875863651248558,0.49,0.0,[ 8. 33.  7.]
24, 4, 551.89, 569.29, 563.52, 562.055, 7.019919871337565,0.4179999999999999,0.0,[11. 33.  8.]
25, 5, 551.3, 569.29, 555.62, 558.25, 6.594188350358213,0.3693333333333334,0.0,[15. 33.  8.]
26, 6, 548.05, 569.85, 561.065, 559.5866666666667, 9.432006973892438,0.08000000000000007,0.0009836814277434333,[21. 33.  8.]
27, 5, 545.82, 569.85, 554.09, 556.07, 8.444773531599287,0.08399999999999996,0.0,[25. 33.  8.]
28, 5, 549.33, 569.85, 554.77, 557.338, 7.084163747401656,0.09400000000000008,0.0,[29. 33.  8.]
29, 5, 545.77, 569.85, 551.69, 554.16, 8.257384573822407,0.376,0.0,[33. 33.  8.]
30, 6, 556.82, 570.07, 565.9300000000001, 564.7916666666666, 5.376325934646763,0.08800000000000008,0.0003860665087304155,[39. 33.  8.]
31, 5, 560.53, 570.07, 563.16, 563.9639999999999, 3.5200829535680245,0.08800000000000008,0.0,[43. 33.  8.]
32, 5, 559.42, 574.08, 564.96, 565.956, 5.454944912645802,0.10666666666666669,0.007034223867244357,[47. 33.  8.]
33, 4, 563.37, 574.08, 568.76, 568.7425, 4.389546531248992,0.10000000000000009,0.0,[51. 33.  8.]
34, 4, 566.42, 574.35, 571.355, 570.87, 3.436371632987358,0.06666666666666676,0.00047031772575247666,[55. 33.  8.]
35, 3, 566.02, 575.0, 574.35, 571.79, 4.0886265012430245,0.040000000000000036,0.0011317141116043827,[57. 33.  8.]
36, 2, 565.8, 575.0, 570.4, 570.4, 4.600000000000023,0.040000000000000036,0.0,[59. 33.  8.]
37, 2, 574.99, 575.0, 574.995, 574.995, 0.0049999999999954525,0.06000000000000005,0.0,[61. 33.  8.]
38, 2, 575.0, 576.71, 575.855, 575.855, 0.8550000000000182,0.040000000000000036,0.002973913043478324,[63. 33.  8.]
39, 2, 559.78, 576.71, 568.245, 568.245, 8.465000000000032,0.020000000000000018,0.0,[65. 33.  8.]
40, 2, 562.33, 576.71, 569.52, 569.52, 7.189999999999998,0.040000000000000036,0.0,[67. 33.  8.]
41, 2, 565.73, 576.71, 571.22, 571.22, 5.490000000000009,0.6199999999999999,0.0,[69. 33.  8.]
42, 3, 559.31, 576.71, 574.62, 570.2133333333333, 7.756890843344137,0.4933333333333333,0.0,[71. 33.  8.]
43, 4, 566.2, 576.71, 567.185, 569.3199999999999, 4.300377890371971,0.40800000000000003,0.0,[71. 37.  8.]
44, 5, 548.6, 576.71, 559.88, 562.324, 9.293246149758442,0.3666666666666666,0.0,[71. 41.  8.]
45, 6, 561.63, 576.71, 565.0250000000001, 566.435, 4.789543297643323,0.2952380952380954,0.0,[71. 47.  8.]
46, 7, 554.44, 576.71, 562.67, 563.9257142857143, 7.629800329053484,0.2914285714285715,0.0,[71. 53.  8.]
47, 8, 560.68, 576.71, 563.2, 565.4625, 4.96802211649669,0.2733333333333333,0.0,[71. 61.  8.]
48, 9, 554.38, 576.71, 561.53, 563.4088888888889, 7.698499773685286,0.24533333333333318,0.0,[71. 69.  8.]
49, 10, 559.17, 576.71, 566.27, 567.042, 5.179445530170203,0.23490909090909107,0.0,[71. 79.  8.]
