generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 21.03, 21.18, 21.105, 21.105, 0.07499999999999929,1.0,0,[1.e-300 1.e-300 1.e-300]
1, 2, 21.1, 21.18, 21.14, 21.14, 0.03999999999999915,0.09999999999999998,0.0,[1.e+000 1.e+000 1.e-300]
2, 2, 21.15, 21.18, 21.165, 21.165, 0.015000000000000568,0.09999999999999998,0.0,[2. 1. 1.]
3, 2, 21.03, 21.18, 21.105, 21.105, 0.07499999999999929,0.6499999999999999,0.0,[2. 2. 2.]
4, 3, 20.83, 21.18, 20.86, 20.956666666666667, 0.15839472494022339,0.55,0.0,[3. 3. 2.]
5, 4, 21.02, 21.18, 21.075, 21.0875, 0.06977642868476427,0.475,0.0,[5. 4. 3.]
6, 5, 20.98, 21.18, 21.11, 21.09, 0.0779743547584716,0.4700000000000001,0.0,[7. 6. 3.]
7, 6, 20.97, 21.4, 21.189999999999998, 21.175, 0.13022416570411696,0.16999999999999993,0.010387157695939512,[ 7. 12.  3.]
8, 5, 21.03, 21.4, 21.1, 21.152, 0.13437261625792565,0.22999999999999987,0.0,[10. 13.  3.]
9, 5, 20.91, 21.4, 21.03, 21.095999999999997, 0.16596385148579737,0.20500000000000007,0.0,[13. 14.  3.]
10, 5, 20.89, 21.4, 21.05, 21.094, 0.19022092419079373,0.45333333333333325,0.0,[15. 16.  3.]
11, 6, 20.98, 21.4, 21.155, 21.165, 0.12592987466575659,0.430952380952381,0.0,[18. 17.  5.]
12, 7, 20.86, 21.4, 21.09, 21.092857142857138, 0.17252033302229178,0.4017857142857143,0.0,[24. 17.  5.]
13, 8, 20.95, 21.4, 21.015, 21.05375, 0.13701619429833808,0.36388888888888893,0.0,[30. 19.  5.]
14, 9, 20.79, 21.4, 21.04, 21.071111111111108, 0.1595441035815937,0.6655555555555556,0.0,[31. 26.  5.]
15, 10, 20.94, 21.4, 21.145, 21.134, 0.11490865937778551,0.46545454545454545,0.0,[31. 36.  5.]
16, 11, 20.84, 21.4, 21.05, 21.07363636363636, 0.14060083584859015,0.5151515151515151,0.0,[31. 43.  8.]
17, 12, 20.94, 21.4, 21.105, 21.109166666666663, 0.1416249938707459,0.5435897435897434,0.0,[31. 55.  8.]
18, 13, 20.93, 21.4, 21.09, 21.114615384615384, 0.13562478696844685,0.639010989010989,0.0,[31. 64. 11.]
