generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 267.84, 280.79, 274.315, 274.315, 6.475000000000023,0.9333333333333333,0,[1.e-300 1.e-300 1.e-300]
1, 2, 279.4, 280.79, 280.095, 280.095, 0.6950000000000216,0.06666666666666665,0.0,[1.e+000 1.e+000 1.e-300]
2, 2, 280.48, 280.79, 280.635, 280.635, 0.15500000000000114,0.033333333333333326,0.0,[1. 2. 1.]
3, 2, 280.79, 284.27, 282.53, 282.53, 1.7399999999999807,0.1333333333333333,0.012393603760817554,[2. 2. 2.]
4, 2, 283.67, 284.27, 283.97, 283.97, 0.29999999999998295,0.1333333333333333,0.0,[2. 3. 3.]
5, 2, 284.27, 290.09, 287.17999999999995, 287.17999999999995, 2.9099999999999966,0.09999999999999998,0.02047349350969147,[2. 4. 4.]
6, 2, 287.61, 290.09, 288.85, 288.85, 1.2399999999999807,0.06666666666666665,0.0,[2. 4. 6.]
7, 2, 287.25, 290.09, 288.66999999999996, 288.66999999999996, 1.4199999999999875,0.1333333333333333,0.0,[2. 4. 8.]
8, 2, 288.81, 290.09, 289.45, 289.45, 0.6399999999999864,0.6333333333333333,0.0,[ 2.  4. 10.]
9, 3, 286.53, 290.09, 287.24, 287.9533333333333, 1.5384046570681185,0.5277777777777778,0.0,[ 2.  5. 11.]
10, 4, 285.43, 290.09, 287.6, 287.68, 1.6723934943666723,0.45333333333333337,0.0,[ 2.  7. 13.]
11, 5, 283.49, 295.02, 290.09, 289.356, 3.7260789041564775,0.1499999999999999,0.01699472577475958,[ 2. 11. 13.]
12, 4, 290.34, 297.26, 293.34000000000003, 293.57, 2.7294504941471254,0.14444444444444438,0.007592705579282792,[ 2. 15. 13.]
13, 3, 293.27, 297.26, 296.55, 295.6933333333333, 1.737897836148292,0.12222222222222223,0.0,[ 2. 17. 13.]
14, 3, 297.26, 298.52, 297.73, 297.83666666666664, 0.5198931514156373,0.1333333333333333,0.004238713584067789,[ 2. 19. 13.]
15, 2, 297.64, 298.52, 298.08, 298.08, 0.4399999999999977,0.1333333333333333,0.0,[ 2. 20. 14.]
