generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 161.83, 172.67, 167.25, 167.25, 5.4199999999999875,0.5,0,[1.e-300 1.e-300 1.e-300]
1, 2, 172.67, 176.33, 174.5, 174.5, 1.8300000000000125,0.09999999999999998,0.021196501998031074,[1.e+000 1.e+000 1.e-300]
2, 2, 176.33, 177.18, 176.755, 176.755, 0.42499999999999716,0.09999999999999998,0.004820507003913085,[1. 2. 1.]
3, 2, 175.52, 177.18, 176.35000000000002, 176.35000000000002, 0.8299999999999983,0.06666666666666665,0.0,[2. 2. 2.]
4, 2, 177.18, 178.37, 177.775, 177.775, 0.5949999999999989,0.09999999999999998,0.0067163336719719925,[3. 3. 2.]
5, 2, 177.26, 178.37, 177.815, 177.815, 0.5550000000000068,0.06666666666666665,0.0,[3. 5. 2.]
6, 2, 176.76, 178.37, 177.565, 177.565, 0.8050000000000068,0.1333333333333333,0.0,[3. 7. 2.]
7, 2, 178.37, 178.51, 178.44, 178.44, 0.06999999999999318,0.06666666666666665,0.0007848853506754855,[3. 9. 2.]
8, 2, 175.62, 178.51, 177.065, 177.065, 1.4449999999999932,0.06666666666666665,0.0,[ 3. 11.  2.]
9, 2, 177.21, 178.51, 177.86, 177.86, 0.6499999999999915,0.0,0.0,[ 4. 12.  2.]
10, 2, 171.17, 178.51, 174.83999999999997, 174.83999999999997, 3.6700000000000017,0.6333333333333333,0.0,[ 5. 13.  2.]
11, 3, 173.46, 180.43, 178.51, 177.46666666666667, 2.939572909265711,0.06666666666666665,0.0107556999607866,[ 7. 13.  2.]
12, 2, 180.43, 180.49, 180.46, 180.46, 0.030000000000001137,0.09999999999999998,0.00033253893476695824,[ 9. 13.  2.]
13, 2, 176.13, 180.49, 178.31, 178.31, 2.180000000000007,0.06666666666666665,0.0,[11. 13.  2.]
14, 2, 174.42, 180.49, 177.45499999999998, 177.45499999999998, 3.035000000000011,0.09999999999999998,0.0,[13. 13.  2.]
15, 2, 180.42, 180.49, 180.45499999999998, 180.45499999999998, 0.0350000000000108,0.6111111111111112,0.0,[15. 13.  2.]
16, 3, 175.61, 180.49, 176.75, 177.61666666666667, 2.0843757392135953,0.49444444444444446,0.0,[17. 13.  2.]
17, 4, 171.86, 180.49, 177.365, 176.77, 3.162902148344141,0.44666666666666666,0.0,[20. 14.  2.]
18, 5, 169.76, 180.49, 174.69, 174.89000000000001, 3.462294037195576,0.3866666666666666,0.0,[20. 18.  2.]
19, 6, 169.01, 180.49, 175.73000000000002, 175.255, 3.9215887511738643,0.36190476190476184,0.0,[20. 24.  2.]
20, 7, 174.9, 180.49, 178.94, 177.78285714285715, 2.2898703287411237,0.31904761904761914,0.0,[20. 30.  2.]
21, 8, 177.51, 181.26, 180.65, 180.06625, 1.294400802495118,0.1063492063492062,0.004266164330433718,[20. 38.  2.]
22, 7, 168.82, 181.26, 175.55, 175.8628571428571, 3.8869698601709732,0.1444444444444445,0.0,[22. 42.  2.]
23, 7, 173.36, 183.05, 179.75, 179.32142857142858, 2.8953530678925996,0.1133333333333334,0.009875317223877416,[24. 46.  2.]
24, 6, 179.7, 186.98, 181.53500000000003, 182.235, 2.6452457352767795,0.10333333333333328,0.021469543840480623,[24. 52.  2.]
25, 5, 181.3, 186.98, 183.79, 184.22799999999998, 1.9523462807606584,0.15666666666666662,0.0,[24. 56.  2.]
26, 5, 175.75, 186.98, 180.32, 180.69, 3.8772361289970423,0.14666666666666672,0.0,[24. 60.  2.]
27, 5, 179.57, 186.98, 184.06, 183.66, 2.7987640129171334,0.41333333333333333,0.0,[24. 64.  2.]
28, 6, 180.54, 187.64, 184.715, 184.60999999999999, 2.4170367532717956,0.13666666666666671,0.0035297892822761614,[24. 70.  2.]
29, 5, 179.71, 187.64, 185.86, 184.25, 3.034317056604329,0.15333333333333332,0.0,[24. 74.  2.]
30, 5, 179.84, 187.64, 184.41, 184.05, 2.508856313143496,0.1433333333333333,0.0,[25. 77.  2.]
31, 5, 180.24, 187.64, 185.04, 184.574, 2.922831503867433,0.4177777777777777,0.0,[26. 80.  2.]
32, 6, 184.48, 187.64, 187.16, 186.68166666666664, 1.0833192306774397,0.3555555555555555,0.0,[27. 85.  2.]
33, 7, 178.23, 188.09, 183.92, 184.03, 3.037188549582376,0.12888888888888872,0.002398209337028443,[30. 88.  2.]
34, 6, 178.24, 188.09, 186.27, 185.17666666666665, 3.344287002569537,0.12222222222222212,0.0,[33. 91.  2.]
35, 6, 179.02, 189.85, 188.60500000000002, 186.87, 3.7344923796057357,0.1266666666666666,0.009357222606199112,[35. 95.  2.]
36, 5, 181.09, 189.85, 188.8, 187.012, 3.1728939471718847,0.1433333333333333,0.0,[35. 99.  2.]
37, 5, 177.51, 189.85, 187.06, 185.14000000000001, 4.483128372018811,0.1533333333333331,0.0,[39. 99.  2.]
38, 5, 182.17, 189.85, 188.14, 186.602, 3.1574888756732,0.4044444444444444,0.0,[43. 99.  2.]
39, 6, 183.82, 189.85, 185.42000000000002, 186.27499999999998, 2.460276068520223,0.34285714285714286,0.0,[49. 99.  2.]
40, 7, 181.98, 189.85, 186.35, 186.3, 2.782403893860744,0.3130952380952382,0.0,[55. 99.  2.]
41, 8, 184.08, 192.42, 188.35500000000002, 188.18375, 2.5282253533852517,0.0873015873015871,0.01353700289702393,[63. 99.  2.]
42, 7, 185.43, 192.42, 187.77, 188.58571428571432, 2.298657105745854,0.15079365079365092,0.0,[69. 99.  2.]
43, 7, 174.69, 192.42, 182.56, 182.63857142857142, 4.859504467892725,0.1682539682539682,0.0,[75. 99.  2.]
44, 7, 174.52, 193.19, 186.91, 186.86285714285714, 5.771500706762774,0.14888888888888874,0.004001663028791239,[81. 99.  2.]
45, 6, 185.63, 193.19, 188.015, 188.9416666666667, 2.895907553005718,0.12,0.0,[87. 99.  2.]
46, 6, 186.03, 193.19, 190.02499999999998, 189.68833333333336, 2.7594408652639877,0.11333333333333329,0.0,[93. 99.  2.]
47, 6, 185.03, 193.19, 189.935, 189.55166666666665, 2.6607982302726763,0.33333333333333337,0.0,[99. 99.  2.]
48, 7, 177.75, 196.02, 188.8, 187.59714285714287, 6.133891131098048,0.11777777777777765,0.014648791345307792,[105.  99.   2.]
49, 6, 186.48, 196.02, 190.435, 190.86166666666665, 3.1345675760603586,0.10444444444444445,0.0,[111.  99.   2.]
50, 6, 184.07, 196.02, 190.755, 190.89499999999998, 4.056824497066648,0.11555555555555541,0.0,[117.  99.   2.]
51, 6, 190.0, 196.02, 191.955, 192.41166666666666, 1.9362628666813047,0.35079365079365077,0.0,[123.  99.   2.]
52, 7, 188.18, 196.02, 192.02, 191.49428571428572, 2.3502696328163686,0.33690476190476193,0.0,[129.  99.   2.]
53, 8, 181.55, 196.02, 189.55, 189.14, 4.222857444906233,0.3111111111111111,0.0,[131. 105.   2.]
54, 9, 184.95, 196.02, 189.14, 189.55444444444444, 3.3035674693717683,0.30148148148148146,0.0,[139. 105.   2.]
55, 10, 188.27, 196.02, 190.25, 191.436, 2.7446391383932416,0.28787878787878796,0.0,[149. 105.   2.]
56, 11, 175.72, 196.02, 189.88, 188.81363636363633, 4.98735906199094,0.28888888888888875,0.0,[159. 105.   2.]
57, 12, 183.61, 196.02, 190.1, 189.94500000000002, 3.000626323508698,0.26025641025641033,0.0,[171. 105.   2.]
58, 13, 183.83, 196.02, 189.17, 189.33000000000004, 3.6022813284404593,0.26080586080586066,0.0,[178. 110.   2.]
59, 14, 180.69, 197.28, 189.42, 188.9592857142857, 4.979573223660432,0.13589743589743586,0.006427915518824563,[184. 111.   9.]
60, 13, 185.32, 197.28, 190.95, 190.83076923076925, 3.5596574198573623,0.16538461538461524,0.0,[184. 111.  21.]
61, 13, 184.3, 197.28, 192.81, 191.89076923076925, 4.179253635129786,0.1367521367521367,0.0,[184. 111.  33.]
62, 13, 184.56, 197.28, 190.7, 190.53615384615384, 3.1085874567609255,0.24395604395604376,0.0,[184. 111.  45.]
63, 14, 184.92, 197.28, 192.005, 191.16071428571428, 3.1666148312979137,0.24857142857142844,0.0,[184. 111.  59.]
64, 15, 187.05, 197.28, 192.03, 191.79733333333337, 2.46586149020761,0.2191666666666665,0.0,[186. 111.  71.]
65, 16, 187.37, 197.28, 190.925, 191.22625, 2.9307355625337466,0.24730392156862735,0.0,[186. 111.  87.]
66, 17, 180.96, 197.28, 189.48, 189.27588235294118, 4.089831089311678,0.23311546840958608,0.0,[186. 111. 103.]
67, 18, 185.28, 197.28, 191.25, 191.30666666666667, 2.4528056497724307,0.2146198830409357,0.0,[186. 111. 121.]
68, 19, 177.17, 197.28, 191.4, 190.8026315789474, 4.560359914357249,0.25192982456140345,0.0,[186. 124. 126.]
69, 20, 188.46, 197.28, 192.36, 192.70549999999997, 2.4557900459933455,0.23190476190476184,0.0,[186. 144. 126.]
70, 21, 187.76, 198.17, 193.43, 192.7866666666667, 3.135351933361189,0.17228070175438592,0.004511354420113475,[186. 164. 126.]
71, 20, 189.6, 198.36, 193.68, 193.4635, 2.7041288338390963,0.18362573099415191,0.0009587727708534398,[186. 184. 126.]
72, 19, 186.43, 198.36, 192.63, 192.19684210526316, 2.7371769025990775,0.17680311890838196,0.0,[186. 202. 126.]
73, 19, 186.38, 198.36, 193.19, 193.77, 3.2329227447751094,0.17290448343079912,0.0,[186. 220. 126.]
74, 19, 188.95, 198.36, 192.61, 192.84736842105264, 2.3386744831100716,0.22140350877192982,0.0,[186. 238. 126.]
75, 20, 188.19, 198.36, 193.785, 193.3095, 2.5954507797297985,0.19698412698412704,0.0,[186. 254. 130.]
76, 21, 186.32, 198.41, 194.38, 193.6552380952381, 3.227405885976301,0.12947368421052619,0.00025206694898156353,[186. 254. 150.]
77, 20, 184.95, 198.61, 193.91500000000002, 193.33499999999998, 3.6834582935062556,0.153411306042885,0.0010080137089865282,[186. 254. 170.]
78, 19, 187.04, 198.92, 193.82, 193.5305263157895, 3.3193221782453843,0.15490196078431362,0.001560847892855213,[186. 254. 188.]
79, 18, 186.3, 198.92, 192.49, 192.27499999999998, 3.4232006627975755,0.17625272331154684,0.0,[186. 254. 206.]
80, 18, 188.99, 198.92, 192.435, 192.86833333333334, 2.7805979572746553,0.17647058823529405,0.0,[186. 254. 224.]
81, 18, 186.94, 198.92, 192.2, 192.31333333333333, 2.8228571026926264,0.26608187134502925,0.0,[186. 254. 242.]
82, 19, 183.16, 198.92, 192.2, 191.29315789473682, 4.042734942730542,0.25596491228070173,0.0,[193. 254. 253.]
83, 20, 185.56, 199.16, 193.54, 192.67649999999998, 3.769376971065642,0.1949317738791423,0.0012065151819827525,[213. 254. 253.]
84, 19, 187.11, 199.57, 193.35, 193.3763157894737, 3.5092947417518983,0.15599128540305007,0.0020586463145209712,[231. 254. 253.]
85, 18, 190.84, 199.57, 193.02, 193.1833333333333, 1.9818285608105546,0.166230936819172,0.0,[249. 254. 253.]
86, 18, 189.45, 199.57, 193.945, 193.74777777777777, 2.743862961340688,0.1708061002178648,0.0,[267. 254. 253.]
87, 18, 188.18, 199.57, 192.67, 193.0088888888889, 3.034960898318291,0.2378167641325536,0.0,[285. 254. 253.]
88, 19, 186.96, 199.57, 193.4, 193.4478947368421, 3.0289403722082984,0.23842105263157887,0.0,[303. 254. 253.]
89, 20, 185.63, 199.57, 194.10000000000002, 193.811, 3.3638087044301423,0.2238095238095238,0.0,[323. 254. 253.]
90, 21, 189.04, 199.57, 193.94, 193.83380952380952, 2.365519123918382,0.22712842712842718,0.0,[330. 266. 254.]
91, 22, 190.16, 199.57, 194.11, 194.20590909090907, 2.3776930360233046,0.20803689064558617,0.0,[330. 288. 254.]
92, 23, 184.25, 201.43, 194.92, 194.34130434782605, 3.6124534651407196,0.14689754689754686,0.009320038081876102,[330. 310. 254.]
93, 22, 189.84, 201.43, 194.42000000000002, 194.57000000000005, 2.6341067142046803,0.1675324675324673,0.0,[330. 332. 254.]
94, 22, 189.59, 201.43, 193.345, 193.405, 2.5250432039508097,0.16450216450216437,0.0,[330. 354. 254.]
95, 22, 185.92, 201.43, 191.755, 191.92363636363635, 2.9421939022908905,0.23636363636363622,0.0,[330. 376. 254.]
96, 23, 180.73, 201.43, 192.3, 192.29347826086953, 3.565733790809225,0.24057971014492752,0.0,[330. 398. 254.]
97, 24, 189.14, 201.43, 194.19, 193.94208333333333, 2.6139624760866207,0.23455555555555552,0.0,[330. 422. 254.]
98, 25, 176.87, 201.43, 192.19, 192.3, 4.686777997729358,0.234871794871795,0.0,[330. 446. 254.]
99, 26, 189.88, 201.43, 193.675, 193.89615384615385, 2.1736128678787967,0.20341880341880336,0.0,[330. 462. 264.]
100, 27, 186.58, 201.43, 192.39, 192.1762962962963, 3.726104259041277,0.22425044091710766,0.0,[330. 462. 290.]
