generation number, pop_size, worst, best, median, avg, std, diversity, improvement, number_of_selections
0, 2, 569.31, 601.87, 585.5899999999999, 585.5899999999999, 16.28000000000003,0.42000000000000004,0,[1.e-300 1.e-300 1.e-300]
1, 2, 594.14, 601.87, 598.005, 598.005, 3.865000000000009,0.06000000000000005,0.0,[1.e+000 1.e+000 1.e-300]
2, 2, 599.55, 601.87, 600.71, 600.71, 1.160000000000025,0.040000000000000036,0.0,[1. 1. 2.]
3, 2, 598.24, 601.87, 600.0550000000001, 600.0550000000001, 1.8149999999999977,0.48,0.0,[2. 2. 2.]
4, 3, 591.34, 601.87, 595.52, 596.2433333333333, 4.3291749278073155,0.3633333333333334,0.0,[2. 2. 4.]
5, 4, 592.16, 610.97, 600.5899999999999, 601.0775, 6.729328997010053,0.05999999999999994,0.015119544087593704,[3. 3. 6.]
6, 3, 603.13, 617.18, 610.97, 610.4266666666667, 5.748740924952352,0.07999999999999996,0.010164165179959609,[3. 3. 8.]
7, 2, 613.93, 617.18, 615.555, 615.555, 1.625,0.06000000000000005,0.0,[ 3.  3. 10.]
8, 2, 617.18, 617.94, 617.56, 617.56, 0.38000000000005224,0.040000000000000036,0.0012314073690011093,[ 3.  3. 12.]
9, 2, 612.97, 617.94, 615.455, 615.455, 2.4850000000000136,0.06000000000000005,0.0,[ 3.  4. 13.]
10, 2, 610.21, 617.94, 614.075, 614.075, 3.865000000000009,0.07999999999999996,0.0,[ 3.  6. 13.]
11, 2, 613.65, 617.94, 615.7950000000001, 615.7950000000001, 2.1450000000000387,0.4733333333333333,0.0,[ 3.  8. 13.]
12, 3, 597.88, 617.94, 616.12, 610.6466666666666, 9.057922253781816,0.3466666666666667,0.0,[ 3. 10. 13.]
13, 4, 600.08, 617.94, 606.41, 607.71, 6.486331783065075,0.30200000000000005,0.0,[ 3. 14. 13.]
14, 5, 589.69, 624.44, 609.01, 608.6800000000001, 12.12686109428157,0.07666666666666666,0.010518820597469008,[ 3. 14. 17.]
15, 4, 611.79, 624.44, 617.495, 617.8050000000001, 4.976487214893668,0.06666666666666665,0.0,[ 3. 17. 18.]
16, 4, 610.39, 624.44, 618.89, 618.1525, 5.049061175109707,0.07000000000000006,0.0,[ 3. 21. 18.]
17, 4, 606.97, 624.44, 611.54, 613.6225, 6.531991943503922,0.3420000000000001,0.0,[ 3. 25. 18.]
18, 5, 600.02, 624.44, 611.85, 612.338, 8.107173120144912,0.29866666666666664,0.0,[ 3. 29. 18.]
19, 6, 612.43, 624.44, 616.135, 617.2383333333333, 4.0859654781812695,0.22761904761904772,0.0,[ 3. 35. 18.]
20, 7, 607.18, 624.44, 617.75, 617.1400000000001, 5.161962528230643,0.20571428571428574,0.0,[ 3. 41. 18.]
21, 8, 614.08, 624.44, 617.71, 618.4975000000001, 3.658844592217612,0.1905555555555556,0.0,[ 3. 49. 18.]
22, 9, 598.86, 624.44, 613.36, 611.1866666666666, 7.988714261729222,0.18399999999999994,0.0,[ 3. 57. 18.]
23, 10, 614.68, 624.44, 619.1949999999999, 619.3370000000001, 3.5180279987515863,0.1607272727272726,0.0,[ 3. 67. 18.]
24, 11, 598.11, 624.44, 611.43, 612.7790909090909, 8.068924063169149,0.1836363636363636,0.0,[ 3. 70. 25.]
25, 12, 603.9, 624.44, 612.7750000000001, 612.73, 7.002674489079175,0.1610256410256411,0.0,[ 3. 70. 37.]
