n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,162.7000,36,39,298,716,14,82,564,919,137,95
10,161.8500,564,298,39,716,14,82,36,919,862,95
10,161.8500,564,298,39,716,14,82,36,919,862,95
10,161.8500,564,298,39,716,14,82,36,919,862,95
10,161.0800,564,298,39,716,14,82,36,919,862,95
10,156.8400,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
10,155.5600,39,937,298,716,14,82,36,919,862,95
