n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,97.9100,257,620,372,86,217,409,57
7,97.9100,257,620,372,86,217,409,57
7,97.9100,257,620,372,86,217,409,57
7,97.9100,257,620,372,86,217,409,57
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
7,96.7300,372,257,620,217,57,93,86
