n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,192.9700,162,104,9,22,914,26,31
7,192.9700,162,104,9,22,914,26,31
7,192.9700,162,104,9,22,914,26,31
7,192.9700,162,104,9,22,914,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
7,191.4400,162,104,9,22,410,26,31
