n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,70.2900,36,165,341,621,176,595,217
7,70.2900,36,165,341,621,176,595,217
7,70.2900,36,165,341,621,176,595,217
7,70.2900,36,165,341,621,176,595,217
7,70.2900,36,165,341,621,176,595,217
7,70.2900,36,165,341,621,176,595,217
7,70.2900,36,165,341,621,176,595,217
7,68.4800,36,165,341,621,176,595,217
7,65.4200,36,165,456,176,621,595,217
7,65.4200,36,165,456,176,621,595,217
7,65.4200,36,165,456,176,621,595,217
7,65.4200,36,165,456,176,621,595,217
7,65.4200,36,165,456,176,621,595,217
7,65.4200,36,165,456,176,621,595,217
7,65.4200,36,165,456,176,621,595,217
7,65.4200,36,165,456,176,621,595,217
