n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,53.2600,100,488,937,458,14,82,36,411,62,95
10,52.9500,100,488,937,458,14,111,82,308,62,95
10,52.9500,100,488,937,458,14,111,82,308,62,95
10,52.9500,100,488,937,458,14,111,82,308,62,95
10,52.9500,100,488,937,458,14,111,82,308,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
10,52.7100,937,458,266,14,111,82,36,411,62,95
