n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,58.5200,520,937,3,14,111,30,95
7,57.9100,3,520,182,14,111,308,95
7,57.9100,3,520,182,14,111,308,95
7,57.8100,3,520,937,14,111,30,95
7,57.8100,3,520,937,14,111,30,95
7,57.8100,3,520,937,14,111,30,95
7,57.8100,3,520,937,14,111,30,95
7,57.8100,3,520,937,14,111,30,95
7,57.2500,3,520,937,14,111,30,95
7,56.8900,3,520,937,14,111,30,95
7,56.6000,520,937,3,14,111,308,95
7,56.6000,520,937,3,14,111,308,95
7,56.6000,520,937,3,14,111,308,95
7,56.6000,520,937,3,14,111,308,95
7,56.6000,520,937,3,14,111,308,95
7,56.6000,520,937,3,14,111,308,95
