n_nodes,influence,n0,n1,n2,n3,n4
5,697.8300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,697.4300,104,923,325,31,967
5,696.8300,738,821,234,605,967
