n_nodes,influence,n0,n1,n2,n3,n4
5,711.8000,480,265,239,594,349
5,711.8000,480,265,239,594,349
5,711.8000,480,265,239,594,349
5,711.8000,480,265,239,594,349
5,711.8000,480,265,239,594,349
5,705.5000,480,265,239,594,349
5,705.5000,480,265,239,594,349
5,705.1000,480,265,239,594,349
5,704.8000,480,265,239,594,349
5,704.8000,480,265,239,594,349
5,704.8000,480,265,239,594,349
5,704.8000,480,265,239,594,349
5,704.8000,480,265,239,594,349
5,704.8000,480,265,239,594,349
5,704.8000,480,265,239,594,349
5,704.8000,480,265,239,594,349
