n_nodes,influence,n0,n1,n2,n3,n4
5,84.2000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
5,82.6000,257,620,217,181,241
