n_nodes,influence,n0,n1,n2,n3,n4
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
5,999.7500,855,399,443,622,780
