n_nodes,influence,n0,n1,n2,n3,n4
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,700.2400,743,230,545,929,834
5,699.3800,743,230,545,929,834
5,699.3800,716,686,7,982,571
5,699.2500,716,571,982,143,686
5,699.2500,716,571,982,143,686
5,699.2500,716,571,982,143,686
5,699.2500,716,571,982,143,686
5,699.2500,716,571,982,143,686
5,699.2500,716,571,982,143,686
5,699.2500,716,571,982,143,686
5,699.2500,716,571,982,143,686
5,699.2500,716,571,982,143,686
