n_nodes,influence,n0,n1,n2,n3,n4
5,227.1000,3,5,0,20,154
5,227.1000,3,5,0,20,154
5,225.4200,3,5,7,13,20
5,224.0400,3,5,7,20,62
5,222.8600,3,5,7,20,267
5,222.8600,3,5,7,20,267
5,221.8000,7,3,5,154,20
5,221.5800,7,3,5,154,20
5,221.0300,7,3,5,154,20
5,221.0300,7,3,5,154,20
5,221.0300,7,3,5,154,20
5,221.0300,7,3,5,154,20
5,220.7800,7,3,5,154,20
5,220.7800,7,3,5,154,20
5,220.7800,7,3,5,154,20
5,220.2300,7,3,5,484,20
5,220.0000,7,3,5,154,20
5,219.4700,7,3,5,154,20
5,219.2600,7,3,5,154,20
5,219.2300,7,3,5,154,20
5,219.2300,7,3,5,154,20
5,219.2300,7,3,5,154,20
5,219.1400,7,3,5,154,20
5,219.1400,7,3,5,154,20
5,219.1400,7,3,5,154,20
5,219.1400,7,3,5,154,20
5,219.1400,7,3,5,154,20
5,219.1400,7,3,5,154,20
5,218.7200,7,3,5,154,20
5,218.6700,7,3,5,154,20
5,218.6700,7,3,5,154,20
5,218.6700,7,3,5,154,20
5,218.5600,7,3,5,154,20
5,218.5600,7,3,5,154,20
5,218.5600,7,3,5,154,20
5,218.5600,7,3,5,154,20
5,218.4500,7,3,5,154,20
5,218.3800,3,5,7,20,78
5,218.3800,3,5,7,20,78
5,218.1400,7,3,5,61,13
5,217.9400,7,3,5,154,20
5,217.9400,7,3,5,154,20
5,217.9400,7,3,5,154,20
5,217.9400,7,3,5,154,20
5,217.9400,7,3,5,154,20
5,217.9200,3,5,7,91,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.4000,7,3,5,154,20
5,217.3500,3,740,5,7,20
5,217.3200,7,3,5,154,20
5,217.3200,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.2800,7,3,5,154,20
5,217.1900,7,3,5,154,20
5,217.1900,7,3,5,154,20
5,217.1900,7,3,5,154,20
5,217.1900,7,3,5,154,20
5,217.1900,7,3,5,154,20
5,217.1900,7,3,5,154,20
5,216.7400,7,3,5,484,20
5,216.5900,7,3,5,154,20
5,216.5700,7,3,5,154,20
5,216.2400,7,3,5,154,20
5,216.2100,7,3,5,154,20
5,216.1800,7,3,5,154,20
5,216.0300,7,3,5,154,20
5,216.0300,7,3,5,154,20
5,216.0300,7,3,5,154,20
5,215.9900,7,3,5,154,20
5,215.7500,7,3,5,154,20
5,215.6700,7,3,5,154,20
5,215.6700,7,3,5,154,20
5,215.6700,7,3,5,154,20
5,215.6700,7,3,5,154,20
5,215.6700,7,3,5,154,20
5,215.6700,7,3,5,154,20
5,215.6100,7,3,5,154,20
5,215.2900,7,3,5,154,20
5,215.2700,7,3,5,154,20
5,215.2600,3,5,7,13,154
5,215.2600,3,5,7,13,154
5,215.2100,7,3,5,154,20
5,215.1300,7,3,5,154,20
5,215.0100,7,3,5,154,20
5,214.9400,3,5,7,20,300
5,214.8900,7,3,5,154,20
5,214.7400,7,3,5,154,20
5,214.7400,7,3,5,154,20
5,214.4900,7,3,5,154,20
5,214.1000,7,3,5,154,20
5,214.1000,7,3,5,154,20
5,214.0400,7,3,5,154,20
5,214.0200,7,3,5,484,20
5,214.0200,7,3,5,484,20
5,214.0200,7,3,5,484,20
5,214.0200,7,3,5,484,20
5,213.6500,7,3,5,154,20
5,213.3700,7,3,5,154,20
5,213.3500,3,5,7,20,330
5,213.0100,7,3,5,484,20
5,212.7600,7,3,5,154,20
5,211.6200,3,5,7,20,992
5,210.6200,3,5,7,2,154
5,210.0500,3,29,5,7,267
5,209.9200,7,3,5,154,20
5,209.2500,7,3,5,154,78
5,209.2500,7,3,5,154,78
