n_nodes,influence,n0,n1,n2,n3,n4
5,152.5400,33,14,561,27,82
5,152.5400,33,14,561,27,82
5,152.5400,33,14,561,27,82
5,152.5400,33,14,561,27,82
5,147.5300,33,118,14,27,335
5,145.9100,33,14,561,27,335
5,145.9100,33,14,561,27,335
5,145.9100,33,14,561,27,335
5,145.9100,33,14,561,27,335
5,145.9100,33,14,561,27,335
5,145.9100,33,14,561,27,335
5,145.9100,33,14,561,27,335
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
5,138.8300,33,14,561,27,380
