n_nodes,influence,n0,n1,n2,n3,n4
5,142.8600,22,426,554,9,5
5,139.4900,5,9,426,164,22
5,138.4900,22,426,554,9,5
5,135.8500,22,426,554,9,5
5,135.6500,22,426,554,9,5
5,135.6500,22,426,554,9,5
5,135.6500,22,426,554,9,5
5,135.6500,22,426,554,9,5
5,135.6500,22,426,554,9,5
5,135.6500,22,426,554,9,5
5,135.6500,22,426,554,9,5
5,134.7000,22,426,554,9,5
5,134.7000,22,426,554,9,5
5,134.7000,22,426,554,9,5
5,134.7000,22,426,554,9,5
5,133.8300,22,426,554,9,5
5,133.8300,22,426,554,9,5
5,133.8300,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.7100,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.5200,22,426,554,9,5
5,133.4400,22,426,554,9,5
5,133.3300,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.2600,22,426,554,9,5
5,133.0500,22,426,554,9,5
5,132.3400,22,426,554,9,5
5,132.3400,22,426,554,9,5
5,132.1800,22,426,554,9,5
5,131.6800,22,426,554,9,5
5,131.5000,22,426,554,9,5
5,131.2300,22,426,554,9,5
5,131.2300,22,426,554,9,5
5,131.1800,22,426,554,9,5
5,131.0500,22,426,554,9,5
