n_nodes,influence,n0,n1,n2,n3,n4
5,92.3300,0,8,7,27,574
5,92.3300,0,8,7,27,574
5,85.8600,0,8,247,27,22
5,85.2000,0,8,247,27,62
5,85.2000,0,8,247,27,62
5,84.5900,0,8,247,27,62
5,83.7600,0,620,22,8,27
5,82.9100,0,8,234,14,22
5,82.9100,0,8,234,14,22
5,82.4000,0,8,394,14,22
5,82.4000,0,8,394,14,22
5,82.4000,0,8,394,14,22
5,82.4000,0,8,394,14,22
5,81.3600,0,574,8,14,62
5,81.1400,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,81.0100,14,62,394,8,0
5,80.9000,0,8,118,27,574
5,80.9000,0,8,118,27,574
5,80.8100,14,62,394,8,0
5,80.3700,14,62,394,8,0
5,80.3700,14,62,394,8,0
5,80.2700,0,8,891,14,62
5,80.2200,14,62,394,8,0
5,80.1900,14,62,394,8,0
5,79.9200,0,8,118,27,574
5,79.8800,0,38,8,394,27
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.8100,0,620,22,8,100
5,79.7900,14,62,394,8,0
5,79.7900,14,62,394,8,0
5,79.7300,0,8,247,27,574
5,79.5100,0,100,8,60,62
5,79.5100,0,100,8,60,62
5,79.3600,0,8,900,14,62
5,79.3400,14,62,394,8,0
5,79.2400,6,8,14,222,62
5,79.2400,6,8,14,222,62
5,79.2400,6,8,14,222,62
5,79.2400,6,8,14,222,62
5,78.9900,0,8,247,27,574
5,78.9900,0,8,247,27,574
5,78.9900,0,8,247,27,574
5,78.9900,0,8,247,27,574
5,78.9900,0,8,247,27,574
5,78.9900,0,8,247,27,574
5,78.9400,14,62,394,8,0
5,78.8600,0,8,514,14,62
5,78.7700,14,62,394,8,0
5,78.7500,0,8,234,14,62
5,78.7500,0,8,234,14,62
5,78.7500,0,8,234,14,62
5,78.7500,0,8,234,14,62
5,78.7500,0,8,234,14,62
5,78.7500,0,8,234,14,62
5,78.7500,0,8,234,14,62
5,78.7500,0,8,234,14,62
5,78.7000,0,100,8,353,22
5,78.6800,0,620,22,8,100
5,78.6800,0,620,22,8,100
5,78.6800,0,620,22,8,100
5,78.6800,0,620,22,8,100
5,78.6800,0,620,22,8,100
5,78.6800,0,620,22,8,100
5,78.6700,0,8,234,14,62
5,78.6700,14,62,394,8,0
5,78.6700,14,62,394,8,0
5,78.6700,14,62,394,8,0
5,78.6700,14,62,394,8,0
5,78.6700,14,62,394,8,0
5,78.6700,14,62,394,8,0
5,78.6700,14,62,394,8,0
5,78.5000,0,8,247,27,574
5,78.5000,14,62,394,8,0
5,78.5000,0,8,247,27,574
5,78.5000,0,8,247,27,574
5,78.5000,14,62,394,8,0
5,78.5000,0,8,247,27,574
5,78.3600,0,8,247,27,574
5,78.2400,0,620,22,8,100
5,78.1100,14,62,394,8,0
5,78.0100,0,100,8,114,22
5,77.9500,0,8,461,14,62
