n_nodes,influence,n0,n1,n2,n3,n4
5,994.7400,365,275,825,377,795
5,994.7400,365,275,825,377,795
5,994.7400,365,275,825,377,795
5,994.7400,365,275,825,377,795
5,994.7400,365,275,825,377,795
5,994.7400,365,275,825,377,795
5,994.6500,365,275,825,377,795
5,994.6500,365,275,825,377,795
5,994.5300,365,275,825,377,795
5,994.5300,365,275,825,377,795
5,994.5300,365,275,825,377,795
5,994.5300,365,275,825,377,795
5,994.5300,365,275,825,377,795
5,994.5200,365,275,825,377,795
5,994.5200,365,275,825,377,795
5,994.5200,365,275,825,377,795
