n_nodes,influence,n0,n1,n2,n3,n4
5,5511.2300,967,684,333,731,152
5,5481.6200,967,515,333,731,152
5,5481.6200,967,515,333,731,152
5,5481.6200,967,515,333,731,152
5,5481.6200,967,515,333,731,152
5,5481.6200,967,515,333,731,152
5,5481.6200,967,515,333,731,152
5,5477.7500,271,967,333,731,152
5,5477.7500,271,967,333,731,152
5,5477.7500,271,967,333,731,152
5,5447.9600,967,333,271,817,731
5,5437.0100,967,684,333,731,483
5,5437.0100,967,684,333,731,483
5,5437.0100,967,684,333,731,483
5,5437.0100,967,684,333,731,483
5,5437.0100,967,684,333,731,483
