n_nodes,influence,n0,n1,n2,n3,n4
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
5,16.9900,967,234,821,932,604
