n_nodes,influence,n0,n1,n2,n3,n4
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
5,16.8474,659,261,177,245,895
