n_nodes,influence,n0,n1,n2,n3,n4
5,994.0030,218,332,177,402,180
5,993.5620,832,332,177,402,519
5,993.5620,832,332,177,402,519
5,993.5620,832,332,177,402,519
5,993.5110,402,832,180,332,177
5,993.5110,402,832,180,332,177
5,993.5110,402,832,180,332,177
5,993.5110,402,832,180,332,177
5,993.5110,402,832,180,332,177
5,993.5110,402,832,180,332,177
5,993.5110,402,832,180,332,177
5,993.5110,402,832,180,332,177
5,993.5110,402,832,180,332,177
5,993.4930,402,832,180,332,177
5,993.4930,402,832,180,332,177
5,993.4930,402,832,180,332,177
