n_nodes,influence,n0,n1,n2,n3,n4
5,5293.0100,832,177,402,180,544
5,5293.0100,832,177,402,180,544
5,5293.0100,832,177,402,180,544
5,5293.0100,832,177,402,180,544
5,5293.0100,832,177,402,180,544
5,5293.0100,832,177,402,180,544
5,5293.0100,832,177,402,180,544
5,5293.0100,832,177,402,180,544
5,5290.0100,832,177,402,180,519
5,5290.0100,832,177,402,180,519
5,5290.0100,832,177,402,180,519
5,5290.0100,832,177,402,180,519
5,5290.0100,832,177,402,180,519
5,5290.0100,832,177,402,180,519
5,5290.0100,832,177,402,180,519
5,5280.1100,832,536,177,402,180
