n_nodes,influence,n0,n1,n2,n3,n4
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,137.5000,243,605,557,133,377
5,127.3000,243,605,557,133,377
