n_nodes,influence,n0,n1,n2,n3,n4
5,15.8580,736,396,336,795,895
5,15.8580,736,396,336,795,895
5,15.8340,795,942,895,396,736
5,15.8340,795,942,895,396,736
5,15.8340,795,942,895,396,736
5,15.8340,795,942,895,396,736
5,15.7640,795,942,895,396,736
5,15.7100,795,942,895,396,736
5,15.7100,795,942,895,396,736
5,15.7100,795,942,895,396,736
5,15.7100,795,942,895,396,736
5,15.6840,795,942,895,396,736
5,15.6840,795,942,895,396,736
5,15.6120,795,942,895,396,736
5,15.5960,795,942,895,396,736
5,15.5960,795,942,895,396,736
