n_nodes,influence,n0,n1,n2,n3,n4
5,16.4214,105,241,549,731,157
5,16.4214,105,241,549,731,157
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
5,16.3324,241,157,105,731,405
