n_nodes,influence,n0,n1,n2,n3,n4
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
5,1000.0000,198,168,139,278,317
