n_nodes,influence,n0,n1,n2,n3,n4
5,995.0300,867,394,149,504,317
5,994.9200,867,394,149,504,317
5,994.9200,867,394,149,504,317
5,994.9200,867,394,149,504,317
5,994.9200,867,394,149,504,317
5,994.9200,867,394,149,504,317
5,994.9200,867,394,149,504,317
5,994.8900,867,394,149,504,317
5,994.8900,867,394,149,504,317
5,994.8900,867,394,149,504,317
5,994.8900,867,394,149,504,317
5,994.8900,867,394,149,504,317
5,994.8900,867,394,149,504,317
5,994.8900,867,394,149,504,317
5,994.8900,867,394,149,504,317
5,994.8900,867,394,149,504,317
