n_nodes,influence,n0,n1,n2,n3,n4
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
5,14740.0000,741,119,394,430,597
