n_nodes,influence,n0,n1,n2,n3,n4
5,1000.0000,450,875,277,601,638
5,1000.0000,251,875,688,756,222
5,1000.0000,601,450,139,340,27
5,1000.0000,545,608,133,922,156
5,1000.0000,450,906,688,27,639
5,1000.0000,53,296,977,139,758
5,1000.0000,875,259,832,222,534
5,1000.0000,818,139,130,340,27
5,1000.0000,802,308,340,903,27
5,1000.0000,582,875,277,601,222
5,1000.0000,839,772,806,201,365
5,1000.0000,802,265,308,277,222
5,1000.0000,463,139,347,340,27
5,1000.0000,582,873,791,688,758
5,1000.0000,450,875,688,992,638
5,1000.0000,582,977,714,27,639
5,1000.0000,296,450,875,688,638
5,1000.0000,601,664,308,340,27
5,1000.0000,802,608,133,557,27
5,1000.0000,802,977,714,27,758
5,1000.0000,450,906,688,139,639
5,1000.0000,293,710,875,688,638
5,1000.0000,601,450,750,853,604
5,1000.0000,710,557,133,156,922
5,1000.0000,832,608,853,293,604
5,1000.0000,183,906,939,758,923
5,1000.0000,582,48,984,664,27
5,1000.0000,450,557,832,718,639
5,1000.0000,710,875,28,601,638
5,1000.0000,801,196,293,602,670
5,1000.0000,650,155,247,304,604
5,1000.0000,100,875,555,601,638
5,1000.0000,582,906,688,524,639
5,1000.0000,450,196,620,22,922
5,1000.0000,801,906,688,139,758
5,1000.0000,408,745,461,367,404
5,1000.0000,179,48,822,664,27
5,1000.0000,710,745,688,601,638
5,1000.0000,251,875,461,367,404
5,1000.0000,650,247,82,155,670
5,1000.0000,875,139,832,222,534
5,1000.0000,818,259,347,340,637
5,1000.0000,774,714,977,27,639
5,1000.0000,251,875,688,601,27
5,1000.0000,802,664,308,340,638
5,1000.0000,557,718,787,471,613
5,1000.0000,772,650,367,139,758
5,1000.0000,802,977,688,718,639
5,1000.0000,251,875,688,601,638
5,1000.0000,450,875,277,756,222
5,1000.0000,601,450,875,688,638
5,1000.0000,347,875,139,340,27
5,1000.0000,832,608,133,156,922
5,1000.0000,450,875,28,601,638
5,1000.0000,53,296,977,27,639
5,1000.0000,450,906,688,139,758
5,1000.0000,818,259,832,222,534
5,1000.0000,875,139,130,340,27
5,1000.0000,802,664,308,340,27
5,1000.0000,450,875,277,756,222
5,1000.0000,839,875,277,601,222
5,1000.0000,582,772,806,201,365
5,1000.0000,802,308,461,277,222
5,1000.0000,450,201,875,50,222
