n_nodes,influence,n0,n1,n2,n3,n4
5,996.0300,867,394,46,795,157
5,995.9300,867,394,46,795,157
5,995.9300,867,394,46,795,157
5,995.8700,867,394,46,795,157
5,995.8400,136,333,430,795,157
5,995.8200,867,394,46,795,157
5,995.8200,867,394,46,795,157
5,995.8200,867,394,46,795,157
5,995.7900,867,394,46,795,157
5,995.7100,867,394,46,795,157
5,995.6900,867,365,46,795,157
5,995.6700,867,394,46,795,157
5,995.6600,136,333,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,136,333,430,245,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6600,867,394,46,795,157
5,995.6400,686,394,46,795,157
5,995.6300,867,394,46,795,157
5,995.6200,686,365,46,795,157
5,995.6200,686,365,46,795,157
5,995.6100,867,394,46,795,157
5,995.6100,867,365,46,795,157
5,995.6100,867,365,46,795,157
5,995.6100,867,365,46,795,157
5,995.6100,867,365,46,795,157
5,995.5800,867,365,46,795,157
5,995.5800,136,333,430,245,157
5,995.5800,136,333,430,245,157
5,995.5800,136,333,430,245,157
5,995.5800,136,333,430,245,157
5,995.5600,896,938,46,795,157
5,995.5600,896,938,46,795,157
5,995.5600,896,938,46,795,157
5,995.5600,896,938,46,795,157
5,995.5600,896,938,46,795,157
5,995.5500,867,365,46,795,157
5,995.5500,867,365,46,795,157
5,995.5500,867,365,46,795,157
5,995.5400,867,394,46,795,157
5,995.5100,867,365,46,795,157
5,995.5000,896,938,46,795,157
5,995.5000,867,394,46,795,157
5,995.5000,867,394,46,795,157
5,995.5000,867,394,46,795,157
5,995.4900,867,394,46,795,157
5,995.4900,867,394,46,795,157
5,995.4900,867,394,46,795,157
5,995.4800,867,394,46,795,157
5,995.4700,686,365,46,795,157
5,995.4700,867,365,46,795,157
5,995.4700,867,365,46,795,157
5,995.4700,867,365,46,795,157
5,995.4600,288,365,46,795,157
5,995.4600,867,394,46,795,157
5,995.4500,867,394,46,795,157
5,995.4400,867,365,46,795,157
5,995.4400,867,692,46,795,157
5,995.4300,867,394,46,795,157
5,995.4300,867,394,46,795,157
5,995.4300,867,365,46,795,157
5,995.4200,867,394,46,795,157
5,995.4200,686,365,46,795,157
5,995.4200,867,365,46,795,157
5,995.4200,686,365,46,795,157
5,995.4100,867,394,46,795,157
5,995.3900,867,65,46,795,157
5,995.3900,867,394,46,795,157
5,995.3800,867,65,46,795,157
5,995.3700,867,692,46,795,157
5,995.3700,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3600,867,394,46,795,157
5,995.3200,867,394,46,795,157
5,995.3100,867,365,46,795,157
5,995.3100,867,365,46,795,157
5,995.3100,867,365,46,795,157
5,995.2900,867,365,46,795,157
5,995.2900,867,394,46,795,157
5,995.2900,867,394,46,795,157
5,995.2900,867,394,46,795,157
5,995.2900,867,394,46,795,157
5,995.2900,867,394,46,795,157
5,995.2800,867,394,46,795,157
5,995.2800,867,365,46,795,157
5,995.2800,867,394,46,795,157
5,995.2800,867,394,46,795,157
5,995.2800,400,394,46,795,157
5,995.2800,867,394,46,795,157
5,995.2800,867,394,46,795,157
5,995.2800,867,394,46,795,157
5,995.2800,867,394,46,795,157
5,995.2800,867,394,46,795,157
5,995.2700,686,394,46,795,157
5,995.2700,867,394,46,795,157
5,995.2700,867,365,46,795,157
5,995.2700,867,365,46,795,157
5,995.2700,867,365,46,795,157
5,995.2600,867,394,46,795,157
5,995.2600,867,365,46,795,157
