n_nodes,influence,n0,n1,n2,n3,n4
5,5711.7200,401,966,206,731,157
5,5689.0700,401,622,206,731,157
5,5672.8100,401,206,622,468,157
5,5672.8100,401,206,622,468,157
5,5638.8800,401,966,206,731,789
5,5638.8800,401,966,206,731,789
5,5638.8800,401,966,206,731,789
5,5638.8800,401,966,206,731,789
5,5631.1700,401,206,105,731,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.2800,401,966,583,622,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5629.0400,401,966,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5618.2100,401,622,206,20,157
5,5614.7000,622,117,401,468,157
5,5612.0300,401,966,583,731,789
5,5601.7400,401,966,583,20,157
5,5601.7400,401,966,583,20,157
5,5601.7400,401,966,583,20,157
5,5601.7400,401,966,583,20,157
5,5601.7400,401,966,583,20,157
5,5601.7400,401,966,583,20,157
5,5601.7400,401,966,583,20,157
5,5597.2400,261,622,206,731,157
5,5597.2400,261,622,206,731,157
5,5597.2400,261,622,206,731,157
5,5587.1600,401,206,622,201,157
5,5587.1600,401,206,622,201,157
5,5587.1600,401,206,622,201,157
5,5583.0500,241,206,46,20,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5569.3700,241,622,206,731,157
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5566.8200,401,966,583,622,789
5,5550.6800,241,206,622,468,157
5,5548.4900,261,966,206,20,157
5,5546.5100,261,622,206,731,789
5,5542.9100,165,206,622,731,157
5,5542.9100,165,622,206,731,157
5,5542.9100,165,206,622,731,157
5,5542.9100,165,206,622,731,157
5,5542.6100,165,206,46,20,157
