n_nodes,influence,n0,n1,n2,n3,n4
5,92.6100,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,91.6600,47,473,638,286,531
5,89.2100,241,639,888,749,319
