n_nodes,influence,n0,n1,n2,n3,n4
5,18.2300,401,242,20,793,155
5,17.4200,401,979,155,890,267
5,17.3900,401,979,155,793,20
5,17.3900,401,979,155,793,20
5,17.3200,401,979,155,890,267
5,17.3100,974,401,979,155,572
5,17.2200,401,979,155,793,20
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.2000,267,401,979,572,155
5,17.1800,401,979,155,890,45
5,17.1300,401,979,155,890,20
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,20
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,20
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,20
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,20
5,17.1300,401,979,155,890,267
5,17.1300,401,979,155,890,267
5,17.0700,401,979,20,793,814
5,17.0600,401,979,155,793,20
5,17.0500,401,979,155,890,267
5,17.0500,401,979,714,84,45
5,17.0500,401,979,155,890,267
5,17.0400,401,979,155,890,20
5,17.0400,401,979,155,793,20
5,17.0400,401,979,155,793,20
5,17.0400,401,979,155,793,20
5,17.0400,401,979,155,793,20
5,17.0400,401,979,155,793,20
5,17.0200,401,979,155,890,267
5,17.0100,401,979,155,793,45
5,17.0100,401,979,155,793,45
5,16.9500,401,979,155,793,20
5,16.9400,401,979,20,583,155
5,16.9400,401,979,155,890,267
5,16.9400,401,979,155,793,20
