n_nodes,influence,n0,n1,n2,n3,n4
5,16.7460,597,684,758,507,865
5,16.6267,827,684,758,507,789
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5823,507,680,709,377,430
5,16.5634,597,731,758,507,156
5,16.5402,684,156,758,507,789
5,16.5402,684,156,758,507,789
5,16.5402,684,156,758,507,789
5,16.5253,684,156,789,507,319
5,16.5253,684,156,789,507,319
5,16.5253,684,156,789,507,319
5,16.5253,684,156,789,507,319
5,16.5253,684,156,789,507,319
5,16.5253,684,156,789,507,319
5,16.5253,684,156,789,507,319
5,16.5057,684,789,507,931,319
5,16.5057,684,789,507,931,319
5,16.5057,684,789,507,931,319
5,16.5057,684,789,507,931,319
5,16.5037,597,680,709,377,430
5,16.5037,597,680,709,377,430
5,16.5037,597,680,709,377,430
5,16.4884,709,156,758,507,430
5,16.4864,827,684,758,507,865
5,16.4864,827,684,758,507,865
5,16.4864,827,684,758,507,865
5,16.4825,680,597,365,507,319
5,16.4825,680,597,365,507,319
5,16.4825,680,597,365,507,319
5,16.4825,680,597,365,507,319
5,16.4825,680,597,365,507,319
5,16.4825,680,597,365,507,319
5,16.4822,452,684,507,896,156
5,16.4803,507,680,709,177,319
5,16.4803,507,680,709,177,319
5,16.4803,507,680,709,177,319
5,16.4803,507,680,709,177,319
5,16.4780,827,684,709,377,430
5,16.4738,684,680,709,377,430
5,16.4584,597,680,789,177,319
5,16.4584,597,680,789,177,319
5,16.4573,597,680,343,507,430
5,16.4573,597,680,343,507,430
5,16.4564,865,731,758,507,156
5,16.4564,865,731,758,507,156
