n0,monte_carlo,monte_carlo_max_hop,two_hop
250618,3.07,2.5,2.7999999999999994
226258,2.73,2.2,2.1599999999999997
248467,5.63,2.81,2.9999999999999996
222574,6.25,2.98,2.9199999999999995
14824,4.4,2.65,2.8399999999999994
24008,3.31,2.72,2.7999999999999994
22248,3.85,2.5,2.8399999999999994
94649,4.64,2.53,2.9199999999999995
219021,1.5,1.31,1.3599999999999999
44324,5.65,3.29,2.9199999999999995
192930,4.48,2.96,2.9599999999999995
212064,5.2,2.87,2.9199999999999995
175565,4.87,2.85,2.9199999999999995
223827,4.21,2.92,2.9199999999999995
80776,2.74,2.37,2.32
65951,3.47,2.63,2.8399999999999994
158844,4.08,2.41,2.5199999999999996
55631,4.36,2.59,2.7999999999999994
159069,2.41,1.69,1.7599999999999998
9367,4.46,3.17,2.9599999999999995
152359,3.77,2.92,2.8799999999999994
178584,1.96,1.75,1.92
41519,3.64,2.77,2.7999999999999994
262070,3.67,2.56,2.9199999999999995
112897,3.12,2.94,2.7999999999999994
167371,3.74,3.26,2.9199999999999995
103162,5.19,2.64,2.8399999999999994
210677,5.26,3.33,2.9599999999999995
189533,3.95,2.79,2.76
225507,4.83,3.37,2.9599999999999995
260785,3.66,2.79,2.8799999999999994
133448,3.99,2.78,2.9199999999999995
248878,1.63,1.29,1.3599999999999999
97533,4.39,2.69,2.7999999999999994
142652,4.19,2.81,2.9199999999999995
245291,3.66,2.7,2.8799999999999994
116615,4.44,3.0,2.8399999999999994
131613,6.11,2.74,2.9599999999999995
70317,5.22,2.86,2.8399999999999994
236246,4.5,2.8,2.8
9417,4.46,2.79,2.8799999999999994
228336,3.09,2.51,2.9599999999999995
7194,4.19,2.84,2.8799999999999994
95424,3.25,2.31,2.8399999999999994
121869,3.28,2.21,1.9999999999999998
244277,4.98,2.65,2.9199999999999995
83483,3.72,2.6,2.9599999999999995
237961,3.91,2.44,2.8399999999999994
99618,4.32,3.01,2.8799999999999994
111047,4.9,2.92,2.9599999999999995
233777,5.28,2.95,2.8399999999999994
231752,4.52,2.78,2.9199999999999995
137822,3.85,3.18,2.8399999999999994
43119,3.94,2.68,2.7199999999999998
146934,3.9,2.98,2.8799999999999994
46513,3.26,2.52,2.8399999999999994
61898,5.5,2.54,2.8799999999999994
60451,1.0,1.0,1
6254,5.86,2.61,2.8799999999999994
46326,5.11,2.99,2.9599999999999995
85234,4.63,2.97,2.9599999999999995
45505,3.26,2.79,2.8399999999999994
35834,4.31,2.68,2.9199999999999995
133737,3.42,2.72,2.7999999999999994
133752,3.18,2.74,2.7999999999999994
94290,4.64,3.05,2.84
261798,5.25,2.55,2.8
134673,4.41,2.83,2.9599999999999995
176810,4.52,2.97,2.9199999999999995
146771,2.71,2.07,2.1199999999999997
47669,3.55,2.5,2.6399999999999997
260879,3.64,2.76,2.9599999999999995
234244,4.88,2.81,2.9199999999999995
116821,3.74,2.29,2.6799999999999997
208865,5.36,3.23,2.9199999999999995
108703,4.71,2.96,2.9599999999999995
192518,5.7,2.86,2.9199999999999995
137721,3.15,2.55,2.8799999999999994
237658,5.04,2.9,2.9199999999999995
238152,4.36,2.58,2.8399999999999994
199985,4.26,2.63,2.8399999999999994
95487,2.74,1.85,2.1199999999999997
207027,3.47,2.84,2.9599999999999995
155578,3.92,2.61,2.8399999999999994
92743,3.72,2.87,2.8799999999999994
94866,3.52,2.76,2.7199999999999998
257157,3.44,2.54,2.7999999999999994
225172,3.23,2.52,2.8399999999999994
252156,4.48,2.48,2.7999999999999994
116855,3.91,2.95,2.9199999999999995
42253,3.93,2.81,2.9599999999999995
250329,4.41,2.73,2.8799999999999994
197657,5.1,2.93,2.9599999999999995
104821,4.64,2.65,2.8399999999999994
187472,4.7,2.86,2.9199999999999995
193616,3.46,2.62,2.6399999999999997
120954,5.08,2.6,2.9199999999999995
171680,4.37,2.83,2.9199999999999995
139029,4.34,3.0,2.9199999999999995
65510,5.8,3.02,2.9599999999999995
