n0,monte_carlo,monte_carlo_max_hop,two_hop
62380,1.86,1.65,1.7200000000000006
155357,1.73,1.58,1.7300000000000006
142666,1.41,1.39,1.2900000000000003
34189,1.88,1.68,1.7400000000000007
96981,1.77,1.82,1.7200000000000006
240109,1.77,1.49,1.7100000000000006
158314,1.59,1.56,1.5700000000000005
124270,1.92,1.75,1.6900000000000006
164028,1.75,1.61,1.7400000000000007
152266,1.95,1.76,1.7200000000000006
17177,1.64,1.65,1.7300000000000006
158754,1.77,1.78,1.6900000000000006
3451,1.75,1.72,1.7300000000000006
238241,1.77,1.83,1.6500000000000006
219537,1.82,1.75,1.7300000000000006
123006,1.83,1.69,1.7000000000000006
67988,1.8,1.79,1.7400000000000007
144384,1.84,1.66,1.7400000000000007
61428,1.7,1.71,1.7100000000000006
50264,1.86,1.75,1.7500000000000007
261002,1.92,1.61,1.7200000000000006
187996,1.87,1.74,1.7000000000000006
123276,1.74,1.9,1.7000000000000006
141813,1.85,1.74,1.6800000000000006
219273,1.93,1.73,1.7400000000000007
144082,1.96,1.77,1.7300000000000006
124873,1.78,1.66,1.7300000000000006
104106,1.83,1.86,1.7400000000000007
167527,2.02,1.52,1.7300000000000006
225711,1.87,1.52,1.7300000000000006
39483,1.88,1.63,1.7200000000000006
60796,2.15,1.56,1.7300000000000006
166424,1.65,1.69,1.7200000000000006
39746,1.74,1.68,1.7000000000000006
227552,1.51,1.47,1.4400000000000004
242702,1.77,1.65,1.7300000000000006
137148,1.76,1.78,1.7400000000000007
102219,1.75,1.84,1.7100000000000006
194314,1.79,1.85,1.6500000000000006
3970,1.85,1.65,1.7200000000000006
176006,1.91,1.72,1.6900000000000006
203747,1.74,1.63,1.7400000000000007
16785,1.8,1.74,1.7100000000000006
41785,1.71,1.82,1.7400000000000007
198765,1.69,1.78,1.7400000000000007
251002,1.55,1.31,1.3000000000000003
154953,1.53,1.48,1.7100000000000006
11216,1.82,1.85,1.7100000000000006
78975,1.95,1.75,1.6900000000000006
204492,1.89,1.55,1.6700000000000006
8129,1.93,1.73,1.6900000000000006
215894,1.97,1.96,1.7100000000000006
226892,1.85,1.67,1.7100000000000006
70629,2.01,1.73,1.7100000000000006
123928,2.12,1.71,1.7400000000000007
155910,1.89,1.7,1.7100000000000006
188435,1.93,1.76,1.7100000000000006
241213,1.87,1.65,1.7200000000000006
230375,1.82,1.83,1.7400000000000007
101609,1.85,1.55,1.7100000000000006
187204,1.79,1.76,1.7300000000000006
206598,1.68,1.71,1.6700000000000006
241460,1.62,1.71,1.7000000000000006
111918,1.79,1.86,1.7000000000000006
103537,1.89,1.76,1.7200000000000006
190873,1.93,1.87,1.6900000000000006
209953,1.63,1.61,1.6800000000000006
151233,1.7,1.67,1.7100000000000006
116554,1.59,1.67,1.7000000000000006
252731,1.88,1.75,1.7400000000000007
245258,1.75,1.72,1.7300000000000006
35166,1.76,1.73,1.7400000000000007
230389,1.42,1.54,1.5500000000000005
95818,1.72,1.76,1.7400000000000007
25547,1.94,1.83,1.7400000000000007
9407,1.78,1.74,1.7200000000000006
35643,1.8,1.71,1.7200000000000006
129730,1.74,1.87,1.7400000000000007
56881,1.71,1.45,1.7400000000000007
67628,1.78,1.72,1.7300000000000006
253094,2.0,1.83,1.7400000000000007
176171,1.57,1.81,1.7100000000000006
114337,1.73,1.69,1.7100000000000006
204202,1.6,1.6,1.6600000000000006
164272,1.7,1.75,1.7000000000000006
224192,1.99,1.74,1.7000000000000006
78912,1.76,1.96,1.7100000000000006
110401,1.81,1.83,1.7400000000000007
132970,1.87,1.58,1.7000000000000006
218491,1.66,1.76,1.7300000000000006
101152,1.9,1.5,1.7300000000000006
150476,2.07,1.5,1.7400000000000007
91989,1.84,1.71,1.7300000000000006
140011,1.89,1.63,1.7300000000000006
153373,1.88,1.74,1.7100000000000006
106843,1.83,1.78,1.7400000000000007
153158,1.82,1.88,1.7300000000000006
60918,1.79,1.66,1.7200000000000006
237031,1.21,1.31,1.2900000000000003
88280,1.99,1.59,1.7500000000000007
