n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
62380,155357,142666,34189,96981,240109,158314,124270,164028,152266,17177,42.0,29.92,30.239999999999995
158754,3451,238241,219537,123006,67988,144384,61428,50264,261002,187996,47.63,29.85,31.439999999999998
123276,141813,219273,144082,124873,104106,167527,225711,39483,60796,166424,52.32,32.0,31.79999999999999
39746,227552,242702,137148,102219,194314,3970,176006,203747,16785,41785,47.89,29.46,30.679999999999996
198765,251002,154953,11216,78975,204492,8129,215894,226892,70629,123928,42.77,29.59,30.12
155910,188435,241213,230375,101609,187204,206598,241460,111918,103537,190873,40.25,29.25,31.199999999999996
209953,151233,116554,252731,245258,35166,230389,95818,25547,9407,35643,42.86,29.62,31.279999999999994
129730,56881,67628,253094,176171,114337,204202,164272,224192,78912,110401,47.22,31.4,31.52
132970,218491,101152,150476,91989,140011,153373,106843,153158,60918,237031,47.29,29.96,30.799999999999997
88280,178777,240053,243517,7513,224500,73317,259781,158811,175970,182338,47.45,29.47,30.319999999999997
42755,183137,225610,85561,252872,142020,237160,149934,149188,27282,187122,47.18,29.3,29.84
171838,55345,165930,218001,259017,150348,70014,74699,32619,16635,126353,44.62,29.12,30.919999999999998
223855,167446,259471,126748,23204,90198,209871,17461,107600,235168,39522,48.44,30.69,31.119999999999994
5275,77041,111972,201534,108841,228790,31173,11584,158594,161096,199657,48.2,29.03,30.4
11780,99039,188334,153714,86757,144402,230924,241665,257067,73157,132492,44.78,29.74,31.519999999999992
61853,261753,9440,81178,1896,20177,28342,157224,140398,8225,248747,45.05,27.88,28.36
51743,254654,106938,76444,160030,69041,40946,180809,11124,256871,227483,45.01,29.92,30.55999999999999
89080,82268,94423,251306,36261,235053,225891,99035,98763,120693,228036,48.5,29.19,30.519999999999996
136334,101238,168791,227234,156146,178512,146606,26888,162562,255035,246578,44.83,29.01,30.239999999999995
212733,132914,71119,113034,166275,188825,187595,62294,245481,78928,114673,43.63,29.09,30.36
256323,67694,136610,79427,143767,88842,3003,206673,108844,258855,152034,45.23,30.49,31.0
82542,5256,98701,161427,154456,165722,34935,15749,166076,164453,87149,47.59,31.7,31.119999999999997
122224,92514,178069,240474,92425,159610,185322,73118,193471,128320,5815,47.24,28.7,29.679999999999996
154501,15879,250305,177214,5571,252524,96774,65830,164618,119619,78285,41.5,28.38,29.879999999999995
155365,157667,83892,46509,95408,48561,81964,198733,96771,221207,156138,44.46,30.79,31.359999999999992
69241,78749,206386,98870,27491,202446,213137,7057,254639,149227,179236,40.91,28.5,29.07999999999999
192721,34451,81269,131074,58336,171369,210713,70615,62572,85927,49124,44.87,31.15,31.359999999999992
177750,114094,170272,182993,25433,26697,157476,84401,248813,87491,176928,50.21,31.84,31.719999999999995
218507,58840,114931,212275,224273,251839,44376,20957,88266,194529,170454,48.49,31.12,31.559999999999995
57152,231970,149003,118253,70936,58989,206309,31698,8889,138838,251024,47.35,29.05,29.839999999999993
50018,82612,211491,219206,219801,150689,48126,226421,73031,89157,211609,53.14,31.1,31.679999999999993
217041,168280,22422,211355,162354,90513,154528,33997,110434,76531,135894,45.24,28.25,29.23999999999999
208106,222815,71086,121823,90794,166246,109289,76126,110040,148984,107353,44.66,29.98,31.439999999999998
9317,241333,108335,40893,52316,1222,125135,247272,218245,230681,163226,43.21,29.06,28.879999999999995
258713,133730,113862,146504,249079,258410,243106,188025,58219,8472,195434,46.4,29.94,31.31999999999999
119713,219335,197494,173798,196087,136056,252540,75770,142569,89409,233230,46.35,29.83,31.319999999999997
59628,225845,17843,224914,154318,254532,75238,31456,212386,64103,11816,46.85,30.13,30.239999999999995
9212,236875,210489,181850,134295,242182,52027,235029,231619,235844,112692,48.55,30.46,30.239999999999995
151244,12938,3445,126103,195375,31670,45041,131907,78613,62664,173774,52.45,31.5,31.759999999999998
5202,137616,140770,108462,13958,246164,239359,160475,29776,89483,32874,45.31,29.34,30.559999999999995
66184,254801,225880,141814,125094,212743,205081,16087,92233,57882,51729,42.54,27.16,29.159999999999997
