n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
62380,155357,142666,34189,96981,240109,158314,124270,164028,152266,17177,19.15,18.11,18.360000000000007
158754,3451,238241,219537,123006,67988,144384,61428,50264,261002,187996,20.49,18.69,18.860000000000003
123276,141813,219273,144082,124873,104106,167527,225711,39483,60796,166424,20.93,18.17,18.95000000000001
39746,227552,242702,137148,102219,194314,3970,176006,203747,16785,41785,20.14,18.27,18.570000000000007
198765,251002,154953,11216,78975,204492,8129,215894,226892,70629,123928,19.65,19.15,18.38000000000001
155910,188435,241213,230375,101609,187204,206598,241460,111918,103537,190873,19.76,19.12,18.800000000000008
209953,151233,116554,252731,245258,35166,230389,95818,25547,9407,35643,19.27,18.61,18.770000000000003
129730,56881,67628,253094,176171,114337,204202,164272,224192,78912,110401,19.65,19.25,18.88000000000001
132970,218491,101152,150476,91989,140011,153373,106843,153158,60918,237031,18.97,18.6,18.550000000000004
88280,178777,240053,243517,7513,224500,73317,259781,158811,175970,182338,18.91,17.89,18.430000000000007
42755,183137,225610,85561,252872,142020,237160,149934,149188,27282,187122,19.06,18.3,18.260000000000005
171838,55345,165930,218001,259017,150348,70014,74699,32619,16635,126353,19.71,18.34,18.680000000000007
223855,167446,259471,126748,23204,90198,209871,17461,107600,235168,39522,21.0,18.3,18.680000000000007
5275,77041,111972,201534,108841,228790,31173,11584,158594,161096,199657,19.24,18.22,18.500000000000007
11780,99039,188334,153714,86757,144402,230924,241665,257067,73157,132492,19.76,19.26,18.880000000000006
61853,261753,9440,81178,1896,20177,28342,157224,140398,8225,248747,19.26,17.74,17.740000000000006
51743,254654,106938,76444,160030,69041,40946,180809,11124,256871,227483,19.07,18.23,18.490000000000006
89080,82268,94423,251306,36261,235053,225891,99035,98763,120693,228036,19.6,18.82,18.48000000000001
136334,101238,168791,227234,156146,178512,146606,26888,162562,255035,246578,20.05,17.81,18.410000000000007
212733,132914,71119,113034,166275,188825,187595,62294,245481,78928,114673,19.14,18.08,18.440000000000005
256323,67694,136610,79427,143767,88842,3003,206673,108844,258855,152034,19.23,18.5,18.650000000000006
82542,5256,98701,161427,154456,165722,34935,15749,166076,164453,87149,20.63,19.19,18.780000000000005
122224,92514,178069,240474,92425,159610,185322,73118,193471,128320,5815,19.67,17.96,18.17000000000001
154501,15879,250305,177214,5571,252524,96774,65830,164618,119619,78285,19.01,18.72,18.220000000000002
155365,157667,83892,46509,95408,48561,81964,198733,96771,221207,156138,19.47,18.2,18.790000000000006
69241,78749,206386,98870,27491,202446,213137,7057,254639,149227,179236,18.44,17.81,17.970000000000006
192721,34451,81269,131074,58336,171369,210713,70615,62572,85927,49124,20.13,19.11,18.840000000000007
177750,114094,170272,182993,25433,26697,157476,84401,248813,87491,176928,20.09,18.74,18.930000000000007
218507,58840,114931,212275,224273,251839,44376,20957,88266,194529,170454,19.84,19.08,18.890000000000008
57152,231970,149003,118253,70936,58989,206309,31698,8889,138838,251024,19.8,18.18,18.260000000000005
50018,82612,211491,219206,219801,150689,48126,226421,73031,89157,211609,20.52,18.42,18.92000000000001
217041,168280,22422,211355,162354,90513,154528,33997,110434,76531,135894,19.56,17.09,18.01000000000001
208106,222815,71086,121823,90794,166246,109289,76126,110040,148984,107353,19.83,18.97,18.860000000000007
9317,241333,108335,40893,52316,1222,125135,247272,218245,230681,163226,18.62,17.59,17.870000000000005
258713,133730,113862,146504,249079,258410,243106,188025,58219,8472,195434,19.8,18.79,18.830000000000005
119713,219335,197494,173798,196087,136056,252540,75770,142569,89409,233230,20.41,18.64,18.83000000000001
59628,225845,17843,224914,154318,254532,75238,31456,212386,64103,11816,19.06,18.65,18.410000000000007
9212,236875,210489,181850,134295,242182,52027,235029,231619,235844,112692,19.48,18.82,18.410000000000007
151244,12938,3445,126103,195375,31670,45041,131907,78613,62664,173774,20.04,18.63,18.94000000000001
5202,137616,140770,108462,13958,246164,239359,160475,29776,89483,32874,19.5,18.61,18.540000000000006
66184,254801,225880,141814,125094,212743,205081,16087,92233,57882,51729,18.99,17.87,17.940000000000005
32039,140151,232688,214122,31250,44905,62772,207532,71764,241635,233212,19.21,18.15,18.210000000000008
211301,33681,215875,241369,1967,127795,164785,149656,226113,104930,13089,19.69,18.67,18.990000000000006
198309,71145,65079,70408,162028,138219,136228,110882,13362,123967,84702,20.56,18.76,18.88000000000001
203554,214833,474,224663,14374,203225,33256,12107,32670,13063,17935,18.49,17.35,17.620000000000005
126566,255509,8653,223988,186835,22577,135110,131627,128448,82810,41167,18.92,17.22,17.590000000000007
82465,18815,92088,101134,169584,102140,153777,79722,94590,69449,50090,20.0,18.8,18.710000000000008
259004,86186,112381,32441,33452,145627,914,187706,189540,99677,208481,19.22,18.42,18.300000000000008
20945,148565,46807,11262,97851,120800,158448,170464,205159,141904,99684,19.56,18.61,18.540000000000006
166900,210019,11387,163296,232400,113139,13910,97627,164480,130063,199240,20.72,18.58,18.810000000000006
184255,82561,110235,249112,181960,109652,120806,4698,64247,57317,140466,18.64,18.41,18.510000000000005
70802,182234,154639,18764,210537,111381,58835,111635,34174,230600,7364,19.98,17.7,17.990000000000006
245493,85344,98103,253968,235367,146558,207334,228157,68728,31837,121672,20.35,18.65,18.990000000000006
181024,32281,246169,213181,191765,173615,222767,232611,138983,207741,98678,19.25,17.7,18.560000000000006
174997,28476,192344,83464,147808,139453,27035,212761,154077,187847,1284,20.02,18.54,18.95000000000001
124137,37622,61858,202979,101888,11616,138203,24064,147933,26030,172807,19.04,17.7,17.990000000000002
230809,98503,46964,214812,6157,89517,220603,223425,31793,6676,221234,18.79,17.06,17.69000000000001
30171,176563,126332,219200,182543,249668,74578,151801,78481,209386,23274,20.49,18.4,18.70000000000001
9507,261159,201174,147754,134040,138675,187474,62470,27982,145348,196336,20.09,17.93,18.260000000000005
26191,244989,145049,16027,144210,84999,227913,147843,47296,217070,20273,19.53,18.17,19.010000000000005
63471,261711,47126,169337,65527,119050,161475,183530,197536,247103,103213,19.52,18.21,18.460000000000008
66295,96330,157143,103976,246091,91824,145919,109633,253313,21826,98389,20.13,18.54,18.340000000000007
131153,61673,255080,243660,108221,221145,195928,253517,42105,108860,181099,19.16,17.79,18.03000000000001
149003,198211,151997,176647,242203,135552,179715,126804,40940,168546,105133,19.27,17.78,18.470000000000006
235248,232667,39145,42620,25129,130536,196124,126746,240284,183144,135595,19.44,17.75,17.890000000000004
249218,116143,153739,188458,224947,48787,35726,70086,197146,52213,38418,18.55,17.32,17.440000000000005
153516,135166,82535,245049,60897,223213,181176,141042,249934,204350,77558,20.11,19.21,18.860000000000007
175999,184898,224210,108318,156034,223776,153242,153262,257885,70037,233153,19.6,18.18,18.330000000000005
57043,80537,6062,70279,125695,210789,100335,52592,45153,149392,94495,18.38,18.07,18.160000000000007
62606,84421,126509,202953,226440,37646,109685,259841,182859,125721,183891,20.28,18.6,18.88000000000001
157024,53937,122697,152179,218788,236389,215381,171021,146045,7279,126169,19.07,18.91,18.740000000000006
260253,188929,18972,224565,248395,104926,205288,192305,231171,251726,12018,20.72,18.38,18.910000000000004
122524,238785,60188,233567,61545,169934,188137,203773,177039,18157,251321,20.14,18.19,18.98000000000001
56982,223839,66629,63462,233353,49708,203371,67796,36039,49069,163029,19.46,18.37,18.440000000000005
184741,176984,225075,9636,235866,244783,66848,44488,226780,11802,82160,19.53,18.3,18.42000000000001
48042,110964,23844,191094,209426,22524,30924,24285,69252,218609,239534,19.25,17.88,18.360000000000007
76484,9470,93496,118582,152122,192438,177080,88248,1804,7702,87766,20.37,18.91,18.920000000000005
86892,114352,99529,127375,20438,55075,168900,153381,194607,250435,128446,20.25,18.48,18.970000000000006
102477,32879,142699,83575,31241,231565,72027,19986,174439,113393,29498,20.34,18.64,18.85000000000001
