n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
163289,66963,194455,93987,208455,180996,247057,220597,193959,170926,241781,138946,7603,46.84,32.54,34.12
220292,122060,203412,247295,65287,170124,13593,236165,41117,29676,97463,122963,227657,52.7,36.16,37.16
64637,99813,142543,26731,150455,65360,3437,191675,56814,106994,73264,47730,240214,59.65,37.13,37.8
227399,200730,102088,41839,199734,208967,18856,36377,161985,161861,116611,33213,34666,55.81,36.76,37.08
465,254892,228433,1392,54907,202792,56487,251691,257535,43478,228696,43642,75839,48.91,33.43,33.8
82221,252045,52137,141354,229669,177689,164031,53681,47623,246671,253901,181047,51610,47.77,33.21,34.08
253379,252994,234289,100459,78325,5654,94683,108765,43504,245312,38194,69156,17075,53.08,34.86,35.35999999999999
86993,78999,214276,158101,153653,886,156232,177716,185513,88577,17307,81253,93153,56.86,34.69,35.279999999999994
214569,80232,126024,182562,82783,48437,126148,123873,184724,46168,14942,67156,255616,52.31,35.26,35.75999999999999
246156,5994,248832,196554,93754,221480,105983,4736,143934,206500,109793,95993,98661,56.83,34.56,36.6
151655,220524,2379,118704,12249,185534,47426,163502,250394,250188,51516,31200,198111,54.41,32.9,33.99999999999999
64510,243703,214825,246951,121164,90277,134347,93006,234018,137547,65770,203319,121333,50.96,36.97,36.91999999999999
28325,154602,196188,204731,208988,96284,225363,77558,9602,113502,247935,256466,23902,51.76,34.83,35.239999999999995
54652,89323,134448,160124,95060,240671,38848,89118,72266,242272,184184,142906,24136,49.45,32.37,34.08
81906,179821,83047,80260,46524,209393,20498,164313,39024,189041,180662,81082,261285,50.3,35.01,35.31999999999999
126823,42343,188777,12727,21222,258657,157456,139861,242117,106401,8343,62216,194132,57.19,34.25,35.519999999999996
155703,90133,216608,65590,119449,170646,110561,38175,14603,256652,240142,167332,8577,54.32,37.32,37.04
210151,129384,87604,219789,54279,34228,257242,191801,147861,248983,34806,165255,235011,55.63,36.27,37.63999999999999
206571,108481,27952,44255,113916,97779,39123,15406,221441,110269,77283,37015,118791,58.15,35.44,37.51999999999999
241697,261960,162634,223412,44378,255854,136890,118892,251692,127967,180575,191235,83283,55.75,33.69,35.279999999999994
125578,71836,76289,123228,105850,236417,38405,29507,98828,215496,259099,139395,251609,57.36,35.33,37.12
47027,164355,245666,130894,227488,88730,47217,23366,128938,71384,135051,205001,143681,55.74,34.6,35.72
227380,131812,94719,16543,206051,208444,203134,93244,182084,154005,174068,8996,199134,55.22,35.63,36.99999999999999
80137,95271,146620,184672,175192,73623,218951,127319,69431,201784,257151,181110,187691,50.91,35.15,35.480000000000004
77031,250841,247869,89148,170312,46831,152216,223300,3035,124335,143390,202825,65717,53.09,35.76,36.36
85434,176067,71744,121356,75714,214087,131163,169721,176590,209092,93472,91195,71794,56.37,33.9,36.15999999999999
168837,90592,193417,245763,217104,107077,91762,241784,220955,45212,228042,227271,180443,59.48,34.61,35.63999999999999
117908,255884,95492,250745,87645,135827,37187,138763,256954,43561,52075,219314,94903,58.48,37.49,37.68
245728,223832,125105,74149,181253,20666,188661,175861,191457,109217,45043,161685,204569,52.73,33.39,33.79999999999999
245425,152265,135385,174471,245479,110308,79342,163508,145020,203084,227312,166950,70963,50.12,32.39,32.56
188852,261099,7240,51275,41949,153733,115623,163596,170424,47380,57419,198966,179819,61.66,36.81,37.59999999999999
47325,165377,188340,10973,258596,123623,256838,59308,43449,14193,233782,35003,29053,50.58,33.84,35.27999999999999
83191,253750,47591,126526,50688,143738,9347,108918,121983,92038,99693,173676,160378,50.7,34.27,33.8
18868,154708,53573,62350,188223,236763,98044,173,91886,106266,249589,73014,224357,53.43,35.91,36.519999999999996
107490,227121,30166,180579,217938,143456,98010,252803,9453,144161,160842,79005,24856,58.91,35.03,35.44
77406,142926,134387,88964,249325,152278,76858,251212,92174,214570,33858,109865,107280,58.72,35.34,36.64
213120,147828,168374,141134,96847,122545,37253,41097,156221,100334,147812,125050,250927,50.93,33.93,36.599999999999994
52207,253754,34860,159543,23810,92042,215281,234217,173449,248,100100,28290,85469,55.61,36.12,36.35999999999999
148324,240248,161262,141406,36883,85312,165008,229769,233644,147926,98526,112512,113163,51.31,31.89,32.67999999999999
256030,59332,129344,76413,125717,254923,185676,99557,100634,251956,224123,239533,41688,57.13,35.67,36.99999999999999
156188,155700,68111,194255,257158,78853,130103,65816,108918,5156,83663,247772,258022,58.58,35.88,36.55999999999999
80606,128910,243674,75077,37562,125025,6232,31951,173030,162971,251876,116252,64356,48.56,32.66,33.39999999999999
76835,10479,204919,35766,216742,102862,3461,125906,139608,146883,71771,63824,245170,50.83,34.75,35.519999999999996
124329,204972,9637,64398,128481,70172,221226,40570,189125,259214,74902,76857,129044,51.56,34.7,35.59999999999999
159393,260173,124421,135848,169050,226356,158296,230859,194897,234619,30979,4239,199333,53.49,35.72,36.79999999999999
33038,78824,74015,139853,185605,88112,160844,77810,191699,138901,6977,121723,91688,54.03,35.1,35.59999999999999
94644,178719,195301,213028,154875,34728,9549,743,66171,145025,119436,179760,240274,54.64,35.27,36.63999999999999
28206,232768,180203,143023,50116,3816,112635,204048,211689,112127,155947,150901,180621,55.94,35.09,36.239999999999995
185645,249893,165736,170095,126321,225101,239000,220515,101049,124707,102725,178868,223320,58.83,35.39,37.39999999999999
188641,51502,235640,77712,121919,217585,198756,17315,79600,219225,845,182090,204209,50.11,33.33,34.559999999999995
113461,152597,75067,169972,204663,123849,238728,81513,37403,43371,125412,182251,143942,49.26,34.73,36.04
232964,130464,255045,86700,141018,40246,111558,153577,141926,212814,12728,17935,192055,58.37,35.64,36.199999999999996
60298,70046,214851,22333,207552,16493,173959,246983,6698,87307,189424,112547,256556,50.39,33.77,34.19999999999999
18010,261707,106236,183827,127583,12816,32342,220741,32075,57470,161102,169276,216098,58.4,36.0,37.28
249625,29138,186762,234578,35291,260585,76675,185014,240647,114811,39250,47994,160068,54.62,34.98,35.6
48571,108510,210254,42252,17623,163159,55873,11419,145623,28367,173070,99404,195435,58.23,37.18,37.919999999999995
18875,73366,15089,149711,150799,31025,194599,104472,230282,163504,35214,2613,113159,49.04,33.16,33.519999999999996
23969,82462,179693,157343,128304,128340,92642,246032,172007,98093,239807,14614,36236,54.55,34.58,35.239999999999995
182792,77260,39612,149067,165503,177719,132603,76083,238661,246932,145461,144148,162759,57.91,36.04,37.67999999999999
57826,69008,16563,144618,61769,66634,218263,196759,74302,135527,255617,35069,211819,61.87,36.42,37.12
61451,226362,97311,118839,193135,101948,47007,34388,186986,4899,171707,89549,22346,56.78,37.47,37.199999999999996
150267,175099,9423,23901,226331,32713,132767,155706,118882,62543,102197,229881,121277,56.92,37.11,37.279999999999994
125951,252523,84747,28199,208788,139120,7723,142108,190056,100825,14066,222361,39531,57.09,37.13,37.559999999999995
247626,249571,112547,178549,208249,58481,196505,30429,21961,254986,238920,174342,128829,51.39,34.5,36.879999999999995
215114,55443,36638,183891,163786,98531,92877,219104,61608,75969,87363,243935,160892,56.17,35.79,36.92
184896,91402,208677,101121,99126,35763,189457,217868,93929,169840,77571,210895,165502,47.27,35.18,35.04
113611,251985,223235,94953,135657,9529,155353,260327,150276,56329,194028,47326,103680,58.88,35.9,36.99999999999999
16588,25427,9726,8694,48848,53059,51274,10342,128458,233113,245659,126089,173342,63.91,36.19,37.16
199320,91361,115,111932,123256,78786,233249,245001,162389,241621,112366,84740,122047,46.77,33.62,34.44
121083,26148,50227,40546,171274,41691,18662,98208,227820,101097,227781,230776,123118,58.41,34.18,35.919999999999995
39875,144720,66602,28897,72727,214545,42346,196704,75249,176157,61647,8690,126362,53.91,32.74,32.879999999999995
234974,8413,90255,242357,197131,96722,82854,245875,15438,180280,5699,176636,119710,54.66,33.31,35.11999999999999
123661,222507,247832,40886,30910,205874,175260,85010,76310,118981,176807,62901,191181,53.78,35.94,37.07999999999999
260465,42789,8790,52696,187382,6535,150659,60416,172089,20500,161895,105138,238989,53.83,36.51,37.19999999999999
255221,185260,95486,178395,81746,48359,122693,94754,74224,17531,191980,260471,188200,56.19,35.45,36.959999999999994
122693,42822,203382,63054,46044,176209,54727,246541,11513,169311,159562,112891,190427,62.84,37.1,37.31999999999999
255703,70965,1644,121088,15955,118760,204279,178605,107523,44500,11782,8721,143764,57.26,37.01,36.92
219031,259419,219484,136036,148163,91753,246285,24592,187835,18669,62126,235612,210552,55.38,36.71,36.959999999999994
128754,24103,245297,123539,14093,178989,63822,168885,13227,130395,104154,204878,15765,56.04,35.6,36.96
12556,66959,218478,106816,116883,80202,167901,13458,229398,9857,249072,254705,50986,51.43,31.62,33.48
47025,182381,133334,167917,105475,49298,139279,61269,22114,242990,82283,207303,28306,51.44,36.04,36.959999999999994
22759,142065,258255,241513,42450,156837,19758,224596,191402,56206,163826,4563,115660,56.56,36.62,37.28
141461,93746,127543,110934,149794,201358,98730,136922,163866,34796,190221,3238,239337,50.08,33.95,34.68
198227,80638,180513,117713,233703,216639,262060,58713,145349,30326,36363,81714,126673,53.04,34.96,34.95999999999999
22972,204447,202481,69069,214810,105538,82018,34778,34029,140708,21491,123629,64185,57.31,37.0,37.75999999999999
182759,22105,209403,112368,253695,151252,174666,64326,72307,16106,129147,183658,65215,53.83,36.54,37.11999999999999
12591,184445,52390,208714,74977,231383,97979,232136,25829,18841,110251,201708,82294,50.93,33.86,34.879999999999995
99579,197215,201657,145774,19,234904,74949,171467,246498,199155,34483,150661,7423,49.68,33.62,33.599999999999994
115915,37610,214119,180243,171824,204823,250285,4905,190846,12372,183809,112091,70174,51.42,35.84,37.44
27928,212880,211092,100245,147306,34142,84221,17282,80332,44397,36000,68836,130474,54.87,34.04,35.67999999999999
177182,84728,74847,8922,16652,142184,200222,193713,146073,7311,7201,31893,13272,49.42,32.88,33.63999999999999
254157,34109,216655,93624,114283,225390,67677,248832,249419,160432,4357,60580,138264,58.14,35.54,37.16
112434,32852,95003,52739,86605,93911,3262,42806,153202,162322,216772,42772,190534,51.2,35.51,36.8
257670,24981,70296,139018,158839,44877,165299,185973,37757,116972,200457,246031,113917,50.73,34.81,34.36
208345,112579,30986,87421,83119,116871,239859,59845,120847,156297,113810,44964,115716,51.13,34.97,35.879999999999995
12695,201195,175107,245444,42096,139618,124075,254191,128823,156241,423,27148,33260,47.97,31.79,33.04
213453,222955,109958,179699,13713,54409,256379,284,8616,238281,151254,61820,126351,53.83,34.01,35.599999999999994
184826,231155,92874,102948,121684,56523,52776,72625,215405,52731,79489,147438,135220,54.03,36.9,37.199999999999996
93582,200426,196891,205847,63323,96115,92214,212032,65074,213445,257535,173837,220255,61.05,37.61,37.839999999999996
238136,222778,16270,162045,129597,105082,91533,37500,37441,218019,62476,128480,100027,54.75,34.31,34.76
