n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
59429,97101,252259,98400,33116,50624,184763,11476,22330,35872,64865,212668,261915,22.09,20.77,20.500000000000007
132739,54892,105043,168261,7941,120359,127769,118785,102361,129756,150241,50392,235232,24.29,21.63,22.210000000000008
217716,105561,23479,127165,61389,198973,5240,183805,69931,136361,106866,124340,236470,22.37,21.46,21.30000000000001
238854,99372,190317,29813,173791,67726,25471,259942,213446,16538,101284,162573,217456,23.12,21.42,21.580000000000005
98882,28240,173236,15218,88719,61451,181220,22558,130437,236818,170320,135478,236290,23.1,22.16,21.520000000000007
54504,152446,211915,37260,159047,16875,141483,248001,9821,128101,183977,50817,38851,23.01,20.93,21.31000000000001
247999,225525,151771,119606,191087,153188,230938,116689,74882,146098,93505,224143,230182,23.07,21.8,21.73000000000001
111704,35383,41497,200355,157630,25589,139410,180926,82257,184063,93593,249036,168796,23.44,21.97,22.24000000000001
221116,129664,132021,163574,51812,80947,39363,93254,138600,74541,133638,172243,18722,22.22,21.09,21.31000000000001
211844,236773,224584,133016,239354,183840,142851,57659,90230,63933,238001,3123,77517,24.57,22.1,22.320000000000007
89976,57616,69951,8822,110992,66787,98808,78211,218710,184915,233692,109292,45940,23.18,22.5,22.210000000000008
172344,103878,30477,43563,244460,173846,223375,255549,6719,52902,255085,200926,42120,23.83,22.27,22.25000000000001
78654,30535,3464,208776,200356,99733,89604,219256,44605,149192,114191,237275,60743,22.75,21.3,21.73000000000001
36448,107505,147848,116930,106733,109566,21008,154274,18343,75692,187916,24932,8921,23.2,22.14,22.14000000000001
22349,173857,27924,200351,136562,138224,94414,40280,211733,245487,132362,127988,185644,23.73,22.23,22.110000000000007
38937,256919,158451,16508,49723,4441,239236,36802,89336,101274,172545,150384,31653,23.31,21.64,21.68000000000001
194970,78488,92129,85310,252959,95956,770,169304,219068,130814,55071,15903,229422,23.63,22.33,22.10000000000001
161811,8682,231448,253011,227777,199066,211945,259643,214024,152045,45081,46608,88479,23.89,21.29,21.840000000000007
254245,112992,115742,31706,21850,52549,158702,58715,130340,212697,124043,207148,40506,23.46,22.89,22.490000000000006
99899,31987,28432,152236,188995,118669,169847,33148,188572,115207,134868,190191,23705,22.55,21.2,21.350000000000005
187561,243407,123547,147812,103219,214030,94583,119363,59118,13350,51775,12825,116974,22.6,22.17,21.99000000000001
29201,28359,55368,190091,1206,185682,157455,160305,237647,5929,171759,95446,217386,22.91,21.46,21.930000000000007
113356,138380,24467,256548,253699,196337,198084,157339,131749,214767,184856,149153,52606,24.21,21.99,22.310000000000013
131472,60144,84963,137819,100692,195022,136260,169678,51426,1752,75905,160738,77721,23.87,21.89,22.33000000000001
238249,20938,194849,84156,243159,237767,257354,105613,58633,165764,77704,20872,143481,22.45,20.99,21.300000000000004
109964,256063,195094,96797,211492,246788,194187,222948,84103,135338,79212,163869,217908,20.8,19.65,19.790000000000006
250885,93551,205330,234689,77549,170756,221699,28651,51312,127195,96985,99246,251286,22.26,21.39,21.28000000000001
153346,222050,240820,81786,53804,76151,104077,160703,100525,220892,240901,179395,137273,22.48,21.42,21.940000000000005
245379,181045,190849,93267,215199,177214,158580,153389,94944,176447,112066,51348,128435,23.39,22.12,22.23000000000001
215663,138656,132990,219727,21490,70476,42846,17990,130611,192185,227122,71010,259194,23.91,22.13,22.25000000000001
110031,204488,30681,163723,217404,216258,71812,258665,76453,71853,210822,216352,132182,22.99,22.45,22.37000000000001
70413,72700,260904,232888,165720,107951,64104,94728,64429,253085,65015,207136,132308,22.7,21.89,21.60000000000001
195922,120044,65509,61402,213194,212580,156394,137690,217507,51218,96453,130193,204673,21.25,21.12,21.000000000000007
27721,207994,29262,101696,22078,171623,44750,204535,148568,260330,112086,241290,11832,23.4,22.88,22.34000000000001
206110,238580,35862,5790,159982,50133,179578,69372,22818,25017,121291,120517,227727,23.38,21.22,21.460000000000008
175430,237352,73986,242565,148403,24300,33119,159144,93735,226757,257089,171103,17294,24.99,21.99,22.230000000000008
83864,207253,10147,219048,241118,22008,225199,35994,171348,210922,96010,260818,217171,22.86,20.98,20.690000000000005
19654,213596,60485,189979,9715,157217,207164,83701,58282,77750,195049,93714,253548,22.6,21.28,21.410000000000007
85666,17330,136329,235960,29882,240255,189106,159785,91238,113916,41874,41178,66824,23.21,21.61,21.78000000000001
234238,102050,38996,113043,190786,205049,17073,26155,140106,58354,21533,76849,242491,21.44,20.8,20.850000000000005
46316,88331,196452,52147,28576,247862,13337,14988,145713,206158,192982,46578,216289,23.72,21.73,22.220000000000006
