n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
221360,100989,198693,233372,110250,10612,67873,253090,134027,127383,106151,240709,205468,217540,79511,66.21,41.22,41.92
253702,124937,93860,152930,233743,238056,57263,132300,36509,73882,36633,198129,24859,162101,209558,55.98,38.39,38.55999999999999
65668,258804,238484,139608,257631,184856,212393,157785,236497,38525,81303,25890,191321,19331,235625,65.26,39.06,40.239999999999995
222946,179302,86559,123769,146751,26398,92744,113815,82889,160140,167883,239340,53602,253390,144840,62.4,41.65,41.07999999999999
125045,116049,226835,136669,68286,16326,211033,240770,143838,240122,3680,24450,188666,220224,104549,68.07,43.23,42.67999999999999
186188,216228,205795,175152,163909,299,160405,129388,217071,227436,87329,63939,191438,85250,184455,61.76,40.79,40.559999999999995
228188,16510,50087,240391,148769,58118,62551,210592,253634,37354,210548,142341,117432,23911,21088,62.62,39.47,41.48
260367,83900,229398,133153,261612,244536,128263,28588,79022,144511,76307,185220,32718,143508,87228,60.31,40.17,41.15999999999999
213507,241762,141632,53268,252664,209565,158121,143453,154040,75407,116651,24020,156313,209173,100899,61.67,40.9,41.87999999999998
83111,150903,63466,76108,48200,49647,215342,48950,8643,160634,257241,172139,68172,124919,18110,66.96,40.02,40.72
23546,177923,198601,34137,229840,39203,242058,10129,220845,21036,235450,183323,241980,217411,141715,60.31,38.91,40.47999999999999
179175,102575,219641,184885,137513,72255,136784,212763,61735,222687,56413,234629,178120,154612,216337,56.57,36.55,37.959999999999994
248975,109949,151963,72144,118112,129146,173079,168085,261163,183559,240370,257546,207965,93681,21593,59.02,40.71,41.279999999999994
85019,160637,30238,127518,153898,165189,87889,221532,49906,63710,4249,191755,71050,30706,184898,55.83,36.85,38.15999999999999
57792,97533,208295,44690,87172,111707,213886,16303,26373,205289,38366,224217,182890,57350,11857,71.61,41.17,42.039999999999985
214203,150435,166253,238555,245503,140036,157855,178412,19397,6998,32622,166461,49419,158947,217602,67.73,41.66,43.039999999999985
150982,31377,102553,23994,97029,218587,257036,30420,9539,158729,5671,51010,251928,254461,48489,68.87,41.65,43.519999999999996
188249,32478,125628,55201,190619,209910,16013,245620,178086,5972,142668,111573,162686,26607,219126,67.05,41.85,42.28
68136,18351,57889,18866,169587,78921,91827,114312,47269,16001,132025,122455,10322,156364,26455,67.06,42.77,41.76
183323,259059,102570,52259,68192,93993,237082,191784,123264,219762,236533,240774,149361,44413,182897,61.19,38.07,39.519999999999996
176328,53323,253374,201155,15217,206739,177262,41473,221622,42455,89735,138798,65716,30726,156445,70.61,41.23,41.879999999999995
241544,115949,174484,45827,3461,123633,178593,107454,235955,149189,229324,133326,240520,81643,170114,56.17,36.94,39.47999999999998
93625,101880,219587,172390,65780,40216,146957,181095,3260,120049,194399,20728,88058,193728,11979,61.52,41.36,41.43999999999998
142690,73631,35346,62948,199797,249857,126308,92333,159943,75465,176528,94162,154737,248225,233817,63.66,41.36,43.07999999999999
166133,223811,162811,34693,187595,81342,101716,196211,108637,217291,170611,21161,399,155864,50412,65.54,42.39,43.319999999999986
183129,87661,41963,62761,58483,167090,117475,99260,186213,229486,176626,148937,229254,108634,8269,66.61,41.3,42.23999999999999
105451,228507,183980,148759,109635,202423,173590,185861,12263,43430,116746,16747,67954,183898,41336,70.39,42.87,43.51999999999999
117011,138300,231983,127733,238037,147168,158329,198045,18,231702,10200,129651,85444,81804,219607,55.75,38.88,40.239999999999995
122392,13069,212086,215671,229380,255374,212969,108825,49283,143802,261992,252454,165960,256526,21880,60.23,40.3,42.359999999999985
219532,190199,34215,258689,3861,105333,248918,177868,109441,82883,889,55974,3746,188042,197854,64.18,42.33,43.03999999999999
618,256965,215674,177146,138502,160448,25633,49927,31169,159477,170201,52039,229023,79276,73395,69.67,42.97,43.35999999999999
180496,256511,47768,26261,124677,223854,241898,103991,164531,21324,5726,72014,239568,118745,209669,63.74,42.05,42.16
207707,30350,225800,67236,34975,171328,136541,214243,170598,169067,90977,30175,228553,40485,72983,55.21,37.38,39.00000000000001
223147,4869,11088,10659,53932,178519,68070,146369,82500,248119,96179,246006,148758,238512,222675,62.91,41.11,41.44
11011,221868,196381,251973,183848,159277,171799,129626,186740,168858,236640,120236,167809,114148,97635,67.14,41.07,42.519999999999996
228435,141014,46737,54485,98455,153911,76293,2332,36295,39589,71138,87401,88476,206994,96259,63.02,39.87,40.959999999999994
188350,24564,88671,204319,162670,9349,10801,70679,42955,39168,257402,152948,75898,94609,103492,66.12,40.45,41.239999999999995
259339,143781,33984,76914,30119,125321,191501,62837,244778,12650,80708,47077,224666,137114,191014,64.97,40.63,41.35999999999999
18576,79343,105688,219036,86119,78440,108716,28482,26057,147018,238199,126136,124257,88363,220423,66.87,41.11,42.6
209157,255912,212947,90086,32591,125589,30410,183394,130478,111813,9915,79142,87839,192610,180121,69.64,41.95,42.839999999999996
