n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
121374,160750,97861,70027,36317,48796,227163,177378,1686,88690,131801,121561,235483,158518,21185,87562,145298,75.14,46.91,48.15999999999999
245467,161651,183526,10720,190891,99357,44410,184413,248044,118494,249370,190071,110778,41197,44152,62393,13456,70.64,47.89,46.72
29084,34714,132715,228517,242176,259780,154777,16600,202954,180470,100575,206987,195584,232590,26652,240898,76330,73.04,46.88,48.72
53729,176746,58799,190239,207879,110560,233197,22993,202527,69922,238912,55021,103951,73710,89564,212208,11323,74.44,47.04,47.96000000000001
52293,185807,232364,1381,230522,107790,14362,234831,99304,221723,128899,36475,6155,62058,111339,192999,237610,78.05,46.57,48.11999999999998
223014,29372,252710,156459,1015,31780,200373,151702,51818,234698,223398,53229,86564,2163,233957,21889,34913,68.51,44.9,45.92
141497,240558,4578,131282,22239,150202,130217,140925,241415,51950,110128,18040,104368,50374,167435,200513,24488,73.56,44.91,47.59999999999999
183723,151991,38104,45234,246340,159616,188648,251219,10800,14201,70777,145505,179103,158959,223343,39139,195336,66.64,45.31,47.03999999999999
70336,193169,260802,150806,261610,8975,31807,227714,184934,105478,249278,237539,62072,42399,160203,132359,11280,71.3,44.52,46.03999999999999
192936,95930,221686,176717,136854,154732,148172,203063,180280,22738,227376,91015,28826,226501,231134,153128,95831,65.44,43.71,45.4
118305,55058,105426,52106,258492,248225,150584,195480,4814,99337,209550,159317,86169,161,113658,29283,55948,71.66,45.43,46.99999999999999
58118,116395,70683,85120,213568,23282,80518,165022,74681,27019,135660,205546,14460,6656,99976,204661,146914,77.45,47.69,48.47999999999999
211694,112364,130372,90722,185977,203891,65080,148380,193361,17374,111413,169830,60543,25106,252726,199423,105094,77.05,46.88,48.2
133661,97771,250568,225418,146922,96825,36473,174982,76099,44842,181572,221059,229511,67872,7700,13239,246276,66.35,44.12,46.23999999999998
255658,212228,45286,68933,248124,43047,258517,31526,159005,38881,3112,12799,15967,118079,54683,206196,101942,74.17,45.05,46.52
77132,160313,3878,253344,209370,92938,74713,36869,126069,147307,72804,35992,252122,22698,195952,145741,77597,69.78,44.41,46.35999999999999
182449,30914,17195,110081,118331,37360,184508,147305,200322,208375,100401,154186,232568,210434,44323,173850,187555,67.66,45.71,47.16
71868,202297,156575,230753,159509,129613,91454,26011,242008,12703,72574,138631,33644,45437,209298,165067,215057,72.0,46.08,47.95999999999999
22091,42526,204511,207001,58302,225210,3411,53187,46098,124160,119720,155064,146602,143001,101786,21809,45363,67.85,46.79,46.51999999999999
143817,126369,155433,248102,68796,140359,17454,246752,170672,7542,152310,260349,153423,233044,114229,142699,80939,72.82,47.53,47.31999999999999
