n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
250618,226258,248467,222574,14824,24008,22248,94649,219021,44324,192930,212064,175565,223827,80776,65951,158844,55631,159069,33.35,30.78,31.080000000000013
9367,152359,178584,41519,262070,112897,167371,103162,210677,189533,225507,260785,133448,248878,97533,142652,245291,116615,131613,33.34,31.09,31.770000000000017
70317,236246,9417,228336,7194,95424,121869,244277,83483,237961,99618,111047,233777,231752,137822,43119,146934,46513,61898,34.8,31.65,32.320000000000014
60451,6254,46326,85234,45505,35834,133737,133752,94290,261798,134673,176810,146771,47669,260879,234244,116821,208865,108703,34.07,30.49,31.620000000000015
192518,137721,237658,238152,199985,95487,207027,155578,92743,94866,257157,225172,252156,116855,42253,250329,197657,104821,187472,34.79,32.38,32.360000000000014
193616,120954,171680,139029,65510,128454,73164,242439,130564,131292,135106,217979,208723,92779,173456,231434,119193,235851,236762,35.11,32.98,32.66000000000001
120851,91953,148820,190286,241259,146166,189732,119682,127561,172722,58146,246571,85109,213564,183388,218897,43534,229820,238011,33.29,31.16,31.930000000000014
161571,70290,202633,238912,125767,81150,79507,250966,209520,185127,217859,132185,147374,135724,133000,170764,161430,154126,106606,32.88,31.54,31.830000000000013
81748,191608,54478,128163,134189,96101,244882,179367,163385,231229,19759,205594,215062,89511,190303,2207,237935,213662,50175,33.42,30.37,31.25000000000001
261375,195240,27828,15403,150579,171156,12821,71591,155110,59406,178907,229504,240082,27856,197753,136934,35782,223856,69688,33.7,31.33,31.59000000000001
64181,216202,55175,247354,230839,15829,110865,235396,187947,199074,8355,14888,94989,94429,45057,65405,176361,6145,21732,34.88,32.26,32.45000000000001
30205,250232,17685,6643,10715,191213,240813,5543,97805,67027,33498,213215,245357,41187,192620,48166,137125,181271,507,34.02,32.25,32.320000000000014
101073,154522,11314,208183,259522,64966,39693,254493,9507,1099,90230,246012,161281,164562,194631,195999,29652,74980,88398,34.01,31.35,31.210000000000008
128125,8076,80841,117611,144573,200794,158637,193972,11998,236459,69190,198092,105343,226084,162947,184901,40227,123936,251339,33.7,31.77,31.780000000000012
59120,24498,173232,180196,82917,219781,26751,6344,117393,206676,229313,248537,33432,135865,153342,204750,103010,127643,134952,34.46,32.66,32.59000000000002
85972,37704,229230,251587,89404,67920,68639,158879,254458,110036,171262,4727,183362,146263,251396,36849,175783,14884,66313,35.19,33.32,32.77000000000002
8796,34524,42248,44750,25132,118853,166481,60726,133237,240228,257809,185622,244876,8231,260708,64686,60941,187136,116574,34.81,31.24,31.66000000000001
19280,65740,21084,154989,59822,163620,207508,209769,163554,185990,94327,67268,179453,110891,73069,137937,196785,1264,39614,34.62,32.11,32.24000000000001
9305,100860,107145,42004,29143,134239,189731,23021,63141,26715,26154,5190,47647,196761,60693,27583,56977,6406,136507,33.92,32.28,31.950000000000006
175502,121740,118976,81192,140386,168233,99615,55692,179486,237649,199367,252475,55087,191084,211308,113700,111568,134087,5589,32.15,31.39,31.23000000000001
152325,155016,13430,231063,109580,243500,137642,152395,47507,241334,24585,173878,210411,125777,95992,5107,136107,251833,241552,33.5,31.86,31.74000000000001
31087,160041,96071,75911,180982,257824,244435,97576,80812,4995,229204,179650,108069,26518,27529,80195,52007,220361,203250,34.0,31.69,31.39000000000001
176310,216372,4121,212876,118337,15726,107655,167063,127366,121461,54590,233188,154335,160840,19343,1396,74543,6328,97754,33.78,32.42,32.53000000000001
80169,245175,189678,20066,57452,197914,128567,50425,30347,149829,97883,102703,187675,121431,36612,197546,90423,103558,232703,33.85,31.67,32.110000000000014
31910,66627,31921,32232,21105,161622,222840,87682,168032,102525,251571,55577,181574,27630,6466,162052,172794,123305,203741,34.59,31.88,31.80000000000002
11319,189665,185022,130534,76219,93738,251553,119809,37084,209380,98281,70501,126930,137967,226962,125189,188624,250268,190818,34.62,32.77,32.56000000000001
210855,109829,244332,129006,219153,178316,77794,103460,60719,40999,128133,156383,68001,143802,112106,182352,178032,183292,240800,33.5,31.3,32.000000000000014
22101,153590,190788,214395,150929,25152,18654,93338,46172,261553,142937,38404,211367,109253,235458,17521,209340,22583,238909,33.64,32.21,32.01000000000001
234750,178613,259165,212286,169890,9849,33689,255305,77694,102391,60738,185703,175828,232038,178546,86354,115040,45227,137362,32.46,31.37,31.62000000000001
75232,29378,40899,141791,258653,249020,253980,198122,111073,25206,86204,135397,65169,187528,134785,67439,44450,234591,41290,34.22,32.51,32.390000000000015
120832,248351,184347,61458,105949,229236,260868,93992,205210,200366,150323,191083,37949,122331,115653,188447,7703,212266,156018,34.04,32.0,32.34000000000001
100467,231163,193135,47297,102984,133738,14043,126473,71814,106145,66511,186242,191692,245542,108041,184914,169850,123862,94399,34.1,32.2,32.510000000000005
252176,143544,86698,186976,195457,239067,172617,21342,199651,214874,223365,190261,58982,139684,162856,49250,105571,213985,174842,32.02,32.64,31.35000000000001
100284,256176,230932,166417,239853,3042,82033,121778,137251,186535,237689,231531,122239,170415,46496,213927,24754,4492,105623,34.78,32.29,32.55000000000001
247261,56761,191224,149230,158975,101131,237325,56491,231913,254958,26334,102232,213810,146203,201064,210132,52307,71934,195099,33.73,31.51,31.37000000000001
241536,153676,152101,50199,128399,210813,160412,36142,2224,160516,177916,113874,126368,66503,134595,148398,45499,122444,186833,34.2,31.21,31.94000000000002
53738,254905,253435,199271,19090,91812,796,237417,127250,139766,219464,175397,172596,17155,197832,155074,127139,242466,176895,32.57,31.09,31.340000000000014
241762,87789,120404,69978,230037,131832,120670,7216,258758,20921,160821,197646,91130,45534,199130,196675,246026,205619,261548,33.68,31.06,31.850000000000016
106034,66923,176945,163874,206418,218480,226498,188629,35355,14176,42616,130936,100050,260124,121806,177124,77284,40854,2726,33.23,31.28,31.390000000000015
74096,146124,122524,253470,477,96065,8917,141033,222831,100225,147929,116077,53586,228194,177318,80853,130620,170148,34965,36.33,33.63,32.78000000000001
126821,180781,141182,186412,239783,79353,20110,67628,216103,82071,79736,87479,169425,248617,208624,81834,171287,168498,103013,35.31,31.79,32.02000000000001
135812,220385,241302,24365,133289,166019,55210,102531,156288,139058,222338,223069,39200,209155,132296,164846,23366,80761,10740,33.47,31.68,32.26000000000002
61056,248927,119940,147142,60846,137004,72741,16061,251069,29337,29351,177046,214595,206409,99408,224551,95578,56024,83464,34.17,32.04,32.08000000000001
93344,20286,87743,119899,95079,43646,130438,115869,227909,76542,120864,234506,35090,241629,188346,115866,259713,167672,56597,32.37,31.02,30.83000000000002
243700,71574,85518,41676,26097,232709,62348,122916,49688,197218,177857,221830,97986,48584,93348,36764,208430,35489,61124,34.82,32.85,32.74000000000001
70421,211952,144336,165912,99092,104925,211941,215880,196455,89719,73595,230314,188761,242725,156001,131755,152268,180874,191919,34.57,32.61,32.240000000000016
248717,84013,194657,104706,196871,187123,227884,184682,245254,165712,197534,254155,256657,187790,76442,139444,163181,166983,175808,33.87,32.16,32.13000000000001
19049,96320,80893,103593,126877,45816,67612,251058,236279,92799,115535,124946,22989,234242,242093,48876,82543,251833,99356,33.82,32.15,32.47000000000001
33306,253752,7347,27333,91954,43800,94155,20194,240554,230268,231524,191976,199638,170853,114406,2198,142261,83988,62067,32.97,30.64,31.290000000000013
216287,218504,155882,102212,141858,74620,122918,167197,236113,39473,94325,82929,52986,242791,130666,24915,254467,37276,205489,33.95,30.91,31.32000000000001
53567,86856,65792,37058,110204,94479,65582,23367,89834,49156,64613,185424,62937,190850,160066,12282,88200,246440,97724,35.02,31.57,31.850000000000016
