n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
62380,155357,142666,34189,96981,240109,158314,124270,164028,152266,17177,158754,3451,238241,219537,123006,67988,144384,61428,74.74,51.27,52.99999999999999
50264,261002,187996,123276,141813,219273,144082,124873,104106,167527,225711,39483,60796,166424,39746,227552,242702,137148,102219,89.15,54.03,54.15999999999999
194314,3970,176006,203747,16785,41785,198765,251002,154953,11216,78975,204492,8129,215894,226892,70629,123928,155910,188435,73.01,51.37,52.799999999999976
241213,230375,101609,187204,206598,241460,111918,103537,190873,209953,151233,116554,252731,245258,35166,230389,95818,25547,9407,73.03,49.79,53.92
35643,129730,56881,67628,253094,176171,114337,204202,164272,224192,78912,110401,132970,218491,101152,150476,91989,140011,153373,86.21,52.57,54.68
106843,153158,60918,237031,88280,178777,240053,243517,7513,224500,73317,259781,158811,175970,182338,42755,183137,225610,85561,77.91,48.67,50.679999999999986
252872,142020,237160,149934,149188,27282,187122,171838,55345,165930,218001,259017,150348,70014,74699,32619,16635,126353,223855,83.6,51.51,53.87999999999999
167446,259471,126748,23204,90198,209871,17461,107600,235168,39522,5275,77041,111972,201534,108841,228790,31173,11584,158594,87.71,52.0,53.75999999999999
161096,199657,11780,99039,188334,153714,86757,144402,230924,241665,257067,73157,132492,61853,261753,9440,81178,1896,20177,75.07,50.44,51.48
28342,157224,140398,8225,248747,51743,254654,106938,76444,160030,69041,40946,180809,11124,256871,227483,89080,82268,94423,77.8,49.96,51.24
251306,36261,235053,225891,99035,98763,120693,228036,136334,101238,168791,227234,156146,178512,146606,26888,162562,255035,246578,80.92,51.2,53.27999999999999
212733,132914,71119,113034,166275,188825,187595,62294,245481,78928,114673,256323,67694,136610,79427,143767,88842,3003,206673,77.13,50.2,52.599999999999994
108844,258855,152034,82542,5256,98701,161427,154456,165722,34935,15749,166076,164453,87149,122224,92514,178069,240474,92425,87.55,53.51,54.36
159610,185322,73118,193471,128320,5815,154501,15879,250305,177214,5571,252524,96774,65830,164618,119619,78285,155365,157667,73.51,48.13,50.679999999999986
83892,46509,95408,48561,81964,198733,96771,221207,156138,69241,78749,206386,98870,27491,202446,213137,7057,254639,149227,76.1,50.96,52.83999999999999
179236,192721,34451,81269,131074,58336,171369,210713,70615,62572,85927,49124,177750,114094,170272,182993,25433,26697,157476,80.87,51.89,53.519999999999996
84401,248813,87491,176928,218507,58840,114931,212275,224273,251839,44376,20957,88266,194529,170454,57152,231970,149003,118253,84.0,53.25,53.72
70936,58989,206309,31698,8889,138838,251024,50018,82612,211491,219206,219801,150689,48126,226421,73031,89157,211609,217041,87.87,52.46,53.36000000000001
168280,22422,211355,162354,90513,154528,33997,110434,76531,135894,208106,222815,71086,121823,90794,166246,109289,76126,110040,79.88,50.74,52.519999999999996
148984,107353,9317,241333,108335,40893,52316,1222,125135,247272,218245,230681,163226,258713,133730,113862,146504,249079,258410,77.91,50.25,51.839999999999996
243106,188025,58219,8472,195434,119713,219335,197494,173798,196087,136056,252540,75770,142569,89409,233230,59628,225845,17843,80.82,53.48,54.12
224914,154318,254532,75238,31456,212386,64103,11816,9212,236875,210489,181850,134295,242182,52027,235029,231619,235844,112692,82.3,51.12,51.75999999999999
151244,12938,3445,126103,195375,31670,45041,131907,78613,62664,173774,5202,137616,140770,108462,13958,246164,239359,160475,86.17,51.69,53.839999999999996
29776,89483,32874,66184,254801,225880,141814,125094,212743,205081,16087,92233,57882,51729,32039,140151,232688,214122,31250,68.61,48.26,50.319999999999986
44905,62772,207532,71764,241635,233212,211301,33681,215875,241369,1967,127795,164785,149656,226113,104930,13089,198309,71145,81.97,52.56,54.719999999999985
65079,70408,162028,138219,136228,110882,13362,123967,84702,203554,214833,474,224663,14374,203225,33256,12107,32670,13063,72.81,49.42,50.91999999999999
17935,126566,255509,8653,223988,186835,22577,135110,131627,128448,82810,41167,82465,18815,92088,101134,169584,102140,153777,79.5,49.32,50.8
79722,94590,69449,50090,259004,86186,112381,32441,33452,145627,914,187706,189540,99677,208481,20945,148565,46807,11262,77.36,51.25,52.63999999999999
97851,120800,158448,170464,205159,141904,99684,166900,210019,11387,163296,232400,113139,13910,97627,164480,130063,199240,184255,73.24,50.97,53.23999999999998
82561,110235,249112,181960,109652,120806,4698,64247,57317,140466,70802,182234,154639,18764,210537,111381,58835,111635,34174,75.27,51.13,51.239999999999995
230600,7364,245493,85344,98103,253968,235367,146558,207334,228157,68728,31837,121672,181024,32281,246169,213181,191765,173615,84.78,53.2,53.87999999999999
222767,232611,138983,207741,98678,174997,28476,192344,83464,147808,139453,27035,212761,154077,187847,1284,124137,37622,61858,75.65,52.18,53.839999999999996
202979,101888,11616,138203,24064,147933,26030,172807,230809,98503,46964,214812,6157,89517,220603,223425,31793,6676,221234,67.8,47.44,49.16
30171,176563,126332,219200,182543,249668,74578,151801,78481,209386,23274,9507,261159,201174,147754,134040,138675,187474,62470,81.07,50.32,52.4
27982,145348,196336,26191,244989,145049,16027,144210,84999,227913,147843,47296,217070,20273,63471,261711,47126,169337,65527,78.1,52.38,53.879999999999995
119050,161475,183530,197536,247103,103213,66295,96330,157143,103976,246091,91824,145919,109633,253313,21826,98389,131153,61673,86.14,52.29,53.12
255080,243660,108221,221145,195928,253517,42105,108860,181099,149003,198211,151997,176647,242203,135552,179715,126804,40940,168546,76.13,47.35,50.87999999999998
105133,235248,232667,39145,42620,25129,130536,196124,126746,240284,183144,135595,249218,116143,153739,188458,224947,48787,35726,69.49,46.05,47.64
70086,197146,52213,38418,153516,135166,82535,245049,60897,223213,181176,141042,249934,204350,77558,175999,184898,224210,108318,79.35,52.94,53.079999999999984
156034,223776,153242,153262,257885,70037,233153,57043,80537,6062,70279,125695,210789,100335,52592,45153,149392,94495,62606,79.28,50.63,52.59999999999998
84421,126509,202953,226440,37646,109685,259841,182859,125721,183891,157024,53937,122697,152179,218788,236389,215381,171021,146045,82.87,52.18,54.19999999999999
7279,126169,260253,188929,18972,224565,248395,104926,205288,192305,231171,251726,12018,122524,238785,60188,233567,61545,169934,78.82,52.97,54.76
188137,203773,177039,18157,251321,56982,223839,66629,63462,233353,49708,203371,67796,36039,49069,163029,184741,176984,225075,78.12,51.17,53.55999999999999
9636,235866,244783,66848,44488,226780,11802,82160,48042,110964,23844,191094,209426,22524,30924,24285,69252,218609,239534,76.79,49.75,51.599999999999994
76484,9470,93496,118582,152122,192438,177080,88248,1804,7702,87766,86892,114352,99529,127375,20438,55075,168900,153381,85.21,53.69,54.83999999999998
194607,250435,128446,102477,32879,142699,83575,31241,231565,72027,19986,174439,113393,29498,114928,232571,138276,238226,65779,78.91,52.1,54.64
25403,138330,246752,183684,98100,177845,202485,96582,198527,118072,77472,173775,177179,175627,171462,247521,211302,214263,69623,82.19,50.95,52.88000000000001
28092,197706,247581,252005,88743,176377,148385,140553,137803,29699,174819,129467,133348,92316,15603,188243,77181,177876,190813,81.74,54.2,54.23999999999999
148476,194579,47704,169301,169257,191417,165382,39201,46951,97197,233286,241167,171801,119075,32278,28368,244277,146743,37063,81.19,51.93,53.519999999999996
241384,86908,169077,188868,170285,156613,110136,145469,78791,169734,48995,119984,126451,81904,205052,46237,184933,17982,28159,74.46,49.95,52.52
187651,47510,197782,145157,142379,150957,193891,102722,94167,26176,69689,70999,100500,14017,228731,35788,11039,125488,132307,77.68,53.12,54.4
71111,64801,182307,201562,134931,92827,229441,87257,247737,105732,117501,141950,212115,202299,18147,92506,130549,222005,260999,80.67,51.23,52.24
29394,39736,70906,154696,26122,178646,29539,147943,204205,238536,190654,29384,48456,183021,49589,148659,109223,175675,194856,82.32,53.29,54.8
102546,213843,257795,196267,33679,155167,159355,38396,225318,104443,209242,50761,142795,138307,44651,148994,46894,52973,227690,72.2,49.19,50.19999999999998
65575,96888,204908,76812,7887,220803,210542,116611,233622,106752,248859,213519,100439,82823,144862,237545,152844,81161,166105,75.34,50.45,51.679999999999986
130499,256108,138694,179995,185320,78486,234802,225446,175018,126896,7909,157643,49934,190535,166209,622,28175,201970,198171,73.35,50.59,50.92
173522,61288,128941,45379,137269,163845,120726,52142,50708,205036,138817,55545,9715,213050,131189,242757,169334,248179,116450,78.96,51.93,54.35999999999999
29248,148374,74253,251401,172362,233845,40005,35543,122484,207716,23261,163388,242097,13266,6689,94345,162094,61188,132632,75.18,50.96,52.63999999999999
20404,130704,141264,4954,243747,89033,84703,86074,228199,90125,182100,181775,35220,21106,224995,219963,157581,203252,243001,87.51,51.56,52.8
8903,187682,20964,193913,260606,90070,261582,211466,53761,244250,16603,225826,52423,114563,183247,198403,57904,127140,82787,75.57,50.33,53.48
28605,206277,11193,107079,20432,221578,52508,185030,42158,102627,130322,124067,183311,17821,140885,223290,110653,54627,170194,73.31,50.99,51.16
128193,79862,6126,121741,119952,198468,181216,105239,114916,47340,119374,235775,9762,188662,67273,96189,222504,97248,117373,76.11,51.03,53.12
138760,94772,156362,105331,58680,254208,707,210814,54786,67809,205306,96896,37611,224239,120583,139938,51196,41705,54863,74.19,47.84,48.16
5826,44764,153230,105839,132029,44112,166911,7204,36505,28854,159562,44101,116061,128522,48444,15654,220617,5879,105672,80.94,52.3,52.52
117446,83324,106887,8608,184403,187170,13399,62715,105723,10259,103968,129300,6989,238276,253107,231493,57386,63324,24712,78.13,49.89,51.03999999999999
101996,124409,49976,43190,87288,163171,30447,90795,239255,32491,155822,13602,211671,190755,76232,72112,257238,206527,246935,76.39,49.25,50.639999999999986
122002,206901,244559,252094,78786,128075,65528,147094,69681,7894,213560,88332,164915,260256,90371,83111,24567,14868,178886,84.02,53.71,54.15999999999999
114135,254087,23431,155256,161908,958,27469,7943,178476,23733,5000,44652,131867,9596,126312,14141,49572,171523,133622,77.92,52.45,54.43999999999999
236008,86833,52609,235894,255288,198550,125010,89124,210655,125471,240484,92154,246438,172654,8968,100221,79881,197022,159103,73.29,47.82,49.64000000000001
165543,248129,103377,23010,248332,76921,48263,222797,108282,30061,133032,102200,143461,87603,140644,178270,204036,243405,105593,81.24,52.73,53.319999999999986
45778,219536,193932,226624,192400,101151,219062,245799,145053,94171,242090,48215,95112,210158,108717,114936,60137,116517,204332,82.57,53.91,53.59999999999999
184218,125990,90482,70636,215202,44497,132920,188908,197327,158781,239877,186286,182696,101397,248894,127693,11202,40341,45003,75.8,47.48,48.44
186305,197044,6017,215691,122402,24116,198823,181366,177558,173172,25450,83908,62172,157465,221159,210067,168396,14796,230302,88.36,51.45,54.040000000000006
160483,228657,12629,117939,122276,235115,227742,192114,169499,87480,261342,97017,436,18889,51076,104682,206275,250528,240047,81.78,51.23,52.199999999999996
27524,88727,149132,81611,28870,118050,21204,215463,170167,55154,63094,180405,12797,256283,40022,245222,168966,37510,153500,80.43,51.16,52.48
258295,3055,29388,60273,75366,253558,54725,57693,223019,147443,135152,110001,132367,204773,237817,158427,83601,206737,231443,77.26,52.99,53.759999999999984
140304,205041,49324,122548,46559,163156,20742,10831,216403,211365,29499,156801,6290,225151,253339,26582,52233,247248,234168,76.77,46.05,46.879999999999995
66855,22484,28587,121958,104628,58393,216389,217441,178427,161329,28532,168245,127292,199596,175245,228510,183364,90714,105607,75.76,49.03,51.55999999999999
158100,173296,116810,203898,29083,76511,218989,247745,155817,116314,213595,99459,53998,30649,141343,1980,121680,78454,190843,86.01,53.2,54.800000000000004
168468,20247,89539,90740,50319,127019,197552,18750,242203,144887,179921,192759,95590,110848,205549,169976,17564,158825,135972,80.35,50.18,50.319999999999986
56142,65505,91893,219667,261028,16382,87871,61902,112939,115083,22069,65782,57117,84732,43327,196486,244038,54246,190411,82.02,52.53,54.04
57339,229302,229506,258624,192709,160469,121520,244146,186452,140434,223494,109770,96410,248526,50107,236740,163517,248933,107288,74.36,49.04,50.07999999999999
126927,234280,202757,257704,106687,123048,261436,154028,241252,9166,76557,250997,244893,4749,48387,233944,25131,7410,189362,74.3,48.55,48.63999999999999
39501,77148,131995,136172,16086,167575,123757,10633,51069,195345,54352,72347,128910,113349,9863,90384,122733,194534,51573,80.19,50.99,52.28000000000001
195766,204997,75314,37475,27095,116409,78468,238149,107762,116351,20331,53898,40163,127745,199945,212332,183611,74539,255958,83.73,52.39,54.279999999999994
98305,256809,211291,229675,166266,97669,247153,42295,113061,81773,246418,121412,124282,137872,261770,142101,58356,94296,250748,76.84,50.27,51.879999999999995
