n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
163289,66963,194455,93987,208455,180996,247057,220597,193959,170926,241781,138946,7603,220292,122060,203412,247295,65287,170124,13593,236165,35.87,33.89,34.59000000000001
41117,29676,97463,122963,227657,64637,99813,142543,26731,150455,65360,3437,191675,56814,106994,73264,47730,240214,227399,200730,102088,38.67,35.98,36.120000000000005
41839,199734,208967,18856,36377,161985,161861,116611,33213,34666,465,254892,228433,1392,54907,202792,56487,251691,257535,43478,228696,36.35,34.72,34.61000000000001
43642,75839,82221,252045,52137,141354,229669,177689,164031,53681,47623,246671,253901,181047,51610,253379,252994,234289,100459,78325,5654,37.04,35.1,34.58000000000002
94683,108765,43504,245312,38194,69156,17075,86993,78999,214276,158101,153653,886,156232,177716,185513,88577,17307,81253,93153,214569,36.58,35.15,34.760000000000005
80232,126024,182562,82783,48437,126148,123873,184724,46168,14942,67156,255616,246156,5994,248832,196554,93754,221480,105983,4736,143934,37.91,34.8,35.51000000000001
206500,109793,95993,98661,151655,220524,2379,118704,12249,185534,47426,163502,250394,250188,51516,31200,198111,64510,243703,214825,246951,36.45,34.96,34.70000000000002
121164,90277,134347,93006,234018,137547,65770,203319,121333,28325,154602,196188,204731,208988,96284,225363,77558,9602,113502,247935,256466,37.73,35.49,35.16000000000002
23902,54652,89323,134448,160124,95060,240671,38848,89118,72266,242272,184184,142906,24136,81906,179821,83047,80260,46524,209393,20498,36.52,33.89,34.63000000000001
164313,39024,189041,180662,81082,261285,126823,42343,188777,12727,21222,258657,157456,139861,242117,106401,8343,62216,194132,155703,90133,37.51,34.82,34.93000000000001
216608,65590,119449,170646,110561,38175,14603,256652,240142,167332,8577,210151,129384,87604,219789,54279,34228,257242,191801,147861,248983,38.43,35.77,35.96000000000001
34806,165255,235011,206571,108481,27952,44255,113916,97779,39123,15406,221441,110269,77283,37015,118791,241697,261960,162634,223412,44378,37.81,34.69,35.81000000000001
255854,136890,118892,251692,127967,180575,191235,83283,125578,71836,76289,123228,105850,236417,38405,29507,98828,215496,259099,139395,251609,38.37,35.69,35.570000000000014
47027,164355,245666,130894,227488,88730,47217,23366,128938,71384,135051,205001,143681,227380,131812,94719,16543,206051,208444,203134,93244,38.24,34.87,35.31000000000002
182084,154005,174068,8996,199134,80137,95271,146620,184672,175192,73623,218951,127319,69431,201784,257151,181110,187691,77031,250841,247869,36.85,35.57,35.410000000000004
89148,170312,46831,152216,223300,3035,124335,143390,202825,65717,85434,176067,71744,121356,75714,214087,131163,169721,176590,209092,93472,38.12,35.55,35.51000000000002
91195,71794,168837,90592,193417,245763,217104,107077,91762,241784,220955,45212,228042,227271,180443,117908,255884,95492,250745,87645,135827,38.61,35.02,35.38000000000001
37187,138763,256954,43561,52075,219314,94903,245728,223832,125105,74149,181253,20666,188661,175861,191457,109217,45043,161685,204569,245425,37.27,34.88,34.26000000000001
152265,135385,174471,245479,110308,79342,163508,145020,203084,227312,166950,70963,188852,261099,7240,51275,41949,153733,115623,163596,170424,36.68,34.82,34.74000000000002
47380,57419,198966,179819,47325,165377,188340,10973,258596,123623,256838,59308,43449,14193,233782,35003,29053,83191,253750,47591,126526,35.59,34.91,34.61
50688,143738,9347,108918,121983,92038,99693,173676,160378,18868,154708,53573,62350,188223,236763,98044,173,91886,106266,249589,73014,37.23,35.32,35.19000000000001
224357,107490,227121,30166,180579,217938,143456,98010,252803,9453,144161,160842,79005,24856,77406,142926,134387,88964,249325,152278,76858,38.51,35.68,35.390000000000015
251212,92174,214570,33858,109865,107280,213120,147828,168374,141134,96847,122545,37253,41097,156221,100334,147812,125050,250927,52207,253754,37.97,34.97,35.48000000000002
34860,159543,23810,92042,215281,234217,173449,248,100100,28290,85469,148324,240248,161262,141406,36883,85312,165008,229769,233644,147926,36.31,33.84,34.03000000000001
98526,112512,113163,256030,59332,129344,76413,125717,254923,185676,99557,100634,251956,224123,239533,41688,156188,155700,68111,194255,257158,37.9,35.86,35.920000000000016
78853,130103,65816,108918,5156,83663,247772,258022,80606,128910,243674,75077,37562,125025,6232,31951,173030,162971,251876,116252,64356,35.54,34.2,34.44000000000002
