n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
250618,226258,248467,11.47,7.31,7.959999999999999
222574,14824,24008,13.78,8.29,8.559999999999999
22248,94649,219021,9.05,6.97,7.119999999999999
44324,192930,212064,16.6,8.7,8.799999999999999
175565,223827,80776,12.16,7.97,8.159999999999998
65951,158844,55631,11.99,7.87,8.159999999999998
159069,9367,152359,11.5,7.14,7.599999999999998
178584,41519,262070,9.51,7.19,7.639999999999999
112897,167371,103162,12.75,8.31,8.559999999999999
210677,189533,225507,15.25,8.78,8.679999999999998
260785,133448,248878,9.38,6.61,7.159999999999998
97533,142652,245291,12.38,8.19,8.599999999999998
116615,131613,70317,15.81,8.47,8.639999999999999
236246,9417,228336,12.24,8.1,8.639999999999999
7194,95424,121869,9.89,7.51,7.719999999999999
244277,83483,237961,12.07,8.05,8.719999999999999
99618,111047,233777,15.21,8.5,8.679999999999998
231752,137822,43119,12.81,8.05,8.479999999999999
146934,46513,61898,12.24,8.21,8.599999999999998
60451,6254,46326,11.2,6.37,6.839999999999999
85234,45505,35834,13.2,8.54,8.719999999999999
133737,133752,94290,11.22,8.38,8.439999999999998
261798,134673,176810,14.05,8.68,8.68
146771,47669,260879,9.47,7.47,7.719999999999999
234244,116821,208865,13.02,8.75,8.52
108703,192518,137721,13.8,8.0,8.759999999999998
237658,238152,199985,13.53,8.32,8.599999999999998
95487,207027,155578,10.02,7.6,7.919999999999998
92743,94866,257157,11.41,7.89,8.399999999999999
225172,252156,116855,11.43,8.27,8.559999999999999
42253,250329,197657,14.2,8.23,8.799999999999999
104821,187472,193616,12.67,8.42,8.399999999999999
120954,171680,139029,13.75,8.45,8.759999999999998
65510,128454,73164,14.71,8.1,8.679999999999998
242439,130564,131292,14.58,8.17,8.679999999999998
135106,217979,208723,13.59,8.41,8.639999999999999
92779,173456,231434,11.04,8.21,8.559999999999999
119193,235851,236762,13.41,8.69,8.679999999999998
120851,91953,148820,13.16,8.77,8.759999999999998
190286,241259,146166,11.2,8.0,7.959999999999999
189732,119682,127561,13.0,8.5,8.519999999999998
172722,58146,246571,14.4,8.3,8.679999999999998
85109,213564,183388,11.07,8.16,8.399999999999999
218897,43534,229820,14.85,8.04,8.759999999999998
238011,161571,70290,9.17,6.41,6.239999999999999
202633,238912,125767,12.05,7.85,7.719999999999999
81150,79507,250966,14.58,7.87,8.36
209520,185127,217859,13.56,8.62,8.839999999999998
132185,147374,135724,13.59,8.33,8.639999999999999
133000,170764,161430,12.47,8.26,8.599999999999998
154126,106606,81748,13.53,8.1,8.719999999999999
191608,54478,128163,9.81,6.93,7.479999999999999
134189,96101,244882,15.12,8.93,8.759999999999998
179367,163385,231229,10.63,7.34,7.639999999999999
19759,205594,215062,11.18,8.53,8.679999999999998
89511,190303,2207,11.53,8.28,8.719999999999999
237935,213662,50175,9.65,6.26,6.759999999999999
261375,195240,27828,11.59,7.6,7.839999999999998
15403,150579,171156,11.79,7.86,7.56
12821,71591,155110,11.8,7.97,8.36
59406,178907,229504,13.13,7.85,7.719999999999999
240082,27856,197753,12.87,8.58,8.759999999999998
136934,35782,223856,12.56,8.9,8.639999999999999
69688,64181,216202,12.89,8.21,8.399999999999999
55175,247354,230839,13.12,8.41,8.559999999999999
15829,110865,235396,14.73,8.04,8.439999999999998
187947,199074,8355,12.9,8.59,8.759999999999998
14888,94989,94429,12.31,8.4,8.519999999999998
45057,65405,176361,11.79,8.53,8.559999999999999
6145,21732,30205,11.87,7.4,8.36
250232,17685,6643,15.37,8.57,8.679999999999998
10715,191213,240813,11.33,7.85,7.479999999999999
5543,97805,67027,11.21,8.83,8.679999999999998
33498,213215,245357,13.09,8.98,8.719999999999999
41187,192620,48166,14.59,8.33,8.599999999999998
137125,181271,507,13.48,8.42,8.799999999999999
101073,154522,11314,13.1,8.04,8.519999999999998
208183,259522,64966,10.48,7.89,8.04
39693,254493,9507,8.72,5.26,5.4399999999999995
1099,90230,246012,13.1,8.36,8.719999999999999
161281,164562,194631,14.14,8.67,8.599999999999998
195999,29652,74980,15.82,8.5,8.479999999999999
88398,128125,8076,11.61,7.85,8.479999999999999
80841,117611,144573,13.49,8.38,8.599999999999998
200794,158637,193972,12.8,8.72,8.479999999999999
11998,236459,69190,12.65,8.33,8.399999999999999
198092,105343,226084,15.23,8.46,8.799999999999999
162947,184901,40227,7.51,6.17,6.519999999999999
123936,251339,59120,13.78,8.22,8.559999999999999
24498,173232,180196,11.54,8.06,8.479999999999999
82917,219781,26751,13.86,8.56,8.519999999999998
6344,117393,206676,14.98,8.84,8.719999999999999
229313,248537,33432,10.96,8.23,8.479999999999999
135865,153342,204750,12.24,9.05,8.759999999999998
103010,127643,134952,13.57,8.27,8.52
85972,37704,229230,13.54,8.02,8.52
251587,89404,67920,12.83,8.46,8.799999999999999
68639,158879,254458,15.25,9.17,8.599999999999998
110036,171262,4727,14.08,8.66,8.639999999999999
183362,146263,251396,12.13,8.5,8.679999999999998
