n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
59429,97101,252259,4.44,4.2,4.420000000000002
98400,33116,50624,5.79,5.39,5.180000000000002
184763,11476,22330,4.55,4.62,4.4700000000000015
35872,64865,212668,4.88,4.6,4.710000000000002
261915,132739,54892,6.07,5.09,5.140000000000002
105043,168261,7941,5.53,5.25,5.070000000000002
120359,127769,118785,5.58,5.1,5.160000000000002
102361,129756,150241,5.58,5.08,5.150000000000002
50392,235232,217716,5.07,5.23,5.150000000000002
105561,23479,127165,4.36,4.29,4.400000000000001
61389,198973,5240,5.59,5.03,5.1800000000000015
183805,69931,136361,5.24,5.28,5.200000000000002
106866,124340,236470,5.1,4.83,4.780000000000001
238854,99372,190317,5.98,5.2,5.180000000000002
29813,173791,67726,5.65,4.93,5.170000000000002
25471,259942,213446,5.17,4.67,4.820000000000002
16538,101284,162573,5.24,4.57,4.730000000000001
217456,98882,28240,5.34,5.49,5.130000000000002
173236,15218,88719,5.39,4.84,5.120000000000002
61451,181220,22558,5.44,5.36,5.190000000000002
130437,236818,170320,5.89,4.98,5.030000000000002
135478,236290,54504,4.67,4.53,4.440000000000001
152446,211915,37260,4.57,4.28,4.400000000000001
159047,16875,141483,5.27,4.89,4.860000000000001
248001,9821,128101,5.74,5.04,5.160000000000002
183977,50817,38851,5.24,5.53,5.1800000000000015
247999,225525,151771,5.28,4.9,5.130000000000002
119606,191087,153188,5.39,5.03,4.870000000000002
230938,116689,74882,5.31,5.2,5.110000000000001
146098,93505,224143,5.66,5.2,5.1800000000000015
230182,111704,35383,5.27,4.96,4.880000000000002
41497,200355,157630,5.02,4.81,5.1800000000000015
25589,139410,180926,5.8,5.18,5.050000000000002
82257,184063,93593,5.56,4.95,5.120000000000002
249036,168796,221116,5.59,4.91,5.1800000000000015
129664,132021,163574,5.32,4.72,4.850000000000001
51812,80947,39363,5.4,4.8,5.140000000000002
93254,138600,74541,4.62,4.32,4.420000000000002
133638,172243,18722,5.47,5.1,5.170000000000002
211844,236773,224584,5.37,5.55,5.150000000000002
133016,239354,183840,5.62,4.9,5.110000000000002
142851,57659,90230,5.73,5.2,5.1800000000000015
63933,238001,3123,5.81,4.99,5.170000000000002
77517,89976,57616,5.09,5.19,5.120000000000002
69951,8822,110992,5.31,5.12,5.110000000000002
66787,98808,78211,5.22,5.4,5.160000000000002
218710,184915,233692,5.49,5.02,5.1400000000000015
109292,45940,172344,5.6,5.01,5.0500000000000025
103878,30477,43563,5.32,5.15,5.150000000000002
244460,173846,223375,5.34,5.3,5.160000000000002
255549,6719,52902,6.0,5.28,5.110000000000002
255085,200926,42120,5.34,5.0,5.170000000000002
78654,30535,3464,5.42,5.06,5.200000000000002
208776,200356,99733,5.02,5.32,5.100000000000001
89604,219256,44605,4.54,4.36,4.560000000000001
149192,114191,237275,5.37,4.78,5.150000000000002
60743,36448,107505,5.86,5.14,5.170000000000002
147848,116930,106733,5.04,5.26,5.130000000000003
109566,21008,154274,5.26,5.13,5.1800000000000015
18343,75692,187916,5.42,4.87,4.900000000000001
24932,8921,22349,5.65,4.97,5.1800000000000015
173857,27924,200351,5.61,5.22,5.1800000000000015
136562,138224,94414,5.42,5.2,5.200000000000002
40280,211733,245487,5.02,4.63,4.910000000000002
132362,127988,185644,5.5,5.3,5.120000000000002
38937,256919,158451,5.33,4.5,4.570000000000002
16508,49723,4441,5.82,5.11,5.160000000000002
239236,36802,89336,5.31,5.16,5.110000000000002
101274,172545,150384,5.64,5.0,5.150000000000002
31653,194970,78488,5.73,5.35,5.140000000000002
92129,85310,252959,5.2,5.11,5.130000000000003
95956,770,169304,5.51,5.17,5.200000000000002
219068,130814,55071,5.08,5.05,4.860000000000001
15903,229422,161811,5.47,4.64,4.750000000000002
8682,231448,253011,5.81,5.02,5.040000000000002
227777,199066,211945,5.34,5.37,5.1800000000000015
259643,214024,152045,5.3,5.46,5.1800000000000015
45081,46608,88479,5.2,4.97,5.150000000000002
254245,112992,115742,5.14,5.13,5.170000000000002
31706,21850,52549,5.42,4.94,5.200000000000002
158702,58715,130340,5.49,5.23,5.200000000000002
212697,124043,207148,5.95,5.39,5.1800000000000015
40506,99899,31987,5.52,5.02,5.110000000000001
28432,152236,188995,5.75,5.1,5.210000000000003
118669,169847,33148,5.0,4.39,4.650000000000001
188572,115207,134868,5.16,4.53,4.6800000000000015
190191,23705,187561,5.24,5.04,5.140000000000002
243407,123547,147812,4.97,5.14,5.1800000000000015
103219,214030,94583,5.54,5.08,5.130000000000002
119363,59118,13350,5.44,4.76,5.000000000000002
51775,12825,116974,5.33,5.02,4.980000000000002
29201,28359,55368,5.24,4.84,5.140000000000002
190091,1206,185682,5.86,5.0,5.190000000000001
157455,160305,237647,4.86,4.69,4.700000000000001
5929,171759,95446,5.73,4.83,5.1800000000000015
217386,113356,138380,5.0,5.14,5.140000000000002
24467,256548,253699,5.7,5.24,5.150000000000002
196337,198084,157339,5.36,5.39,5.1800000000000015
131749,214767,184856,5.29,4.59,5.080000000000002
149153,52606,131472,5.54,5.5,5.190000000000002
